type1	type2	bin1	bin2	gc_rate	aromaticity	instability	mean_flexibility	hydropathy	length	hca	disord	aggreg	inter_gc_rate	A_use	C_use	D_use	E_use	F_use	G_use	H_use	I_use	K_use	L_use	M_use	N_use	P_use	Q_use	R_use	S_use	T_use	V_use	W_use	Y_use
cds	cds	0	1	0.30000000000000004	0.5	0.6	0.09999999999999998	0.5	0.5	0.0	1.0	1.0	0.0	0.4	0.30000000000000004	0.19999999999999996	0.4	0.6	0.30000000000000004	0.30000000000000004	0.09999999999999998	0.0	0.4	0.4	0.5	0.4	0.6	0.19999999999999996	0.8	0.4	0.19999999999999996	0.30000000000000004	0.4
denovo	cds	0	0	0.0	0.19999999999999996	0.0	0.09999999999999998	0.0	0.0	0.5	1.0	1.0	0.09999999999999998	0.0	0.0	0.0	0.0	0.6	0.09999999999999998	0.0	0.09999999999999998	0.09999999999999998	0.30000000000000004	0.0	0.9	0.0	0.6	0.19999999999999996	0.0	0.0	0.6	0.0	0.0
denovo	cds	0	1	0.0	0.30000000000000004	0.09999999999999998	0.19999999999999996	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.30000000000000004	0.30000000000000004	0.0	0.0	0.8	0.7	0.30000000000000004	0.0	0.4	0.0	0.6	0.7	0.0	0.0	0.30000000000000004	0.0	0.09999999999999998
denovo	cds	1	0	0.0	0.5	0.0	0.19999999999999996	0.5	0.0	0.0	1.0	1.0	0.6	0.19999999999999996	0.4	0.0	0.0	0.30000000000000004	0.7	0.0	0.0	0.4	0.5	0.09999999999999998	0.5	0.0	0.30000000000000004	0.0	0.0	0.4	0.0	0.09999999999999998	0.0
denovo	cds	1	1	0.0	0.4	0.0	0.9	0.4	0.0	0.0	1.0	1.0	0.0	0.6	0.5	0.0	0.0	0.09999999999999998	0.30000000000000004	0.0	0.0	0.19999999999999996	0.6	0.0	0.0	0.0	0.5	0.30000000000000004	0.0	0.30000000000000004	0.0	0.09999999999999998	0.0
denovo	denovo	0	1	0.7	0.09999999999999998	0.09999999999999998	0.19999999999999996	0.0	0.0	0.0	1.0	1.0	0.6	0.0	0.5	0.09999999999999998	0.19999999999999996	0.0	0.0	0.0	0.0	0.5	0.19999999999999996	0.0	0.5	0.0	0.6	0.4	0.8	0.5	0.0	0.5	0.19999999999999996
denovo	trg	0	0	0.6	0.09999999999999998	0.09999999999999998	0.30000000000000004	0.6	0.0	0.4	1.0	1.0	0.7	0.6	0.6	0.0	0.30000000000000004	0.6	0.30000000000000004	0.4	0.19999999999999996	0.5	0.5	0.0	0.5	0.6	0.6	0.5	0.0	0.0	0.5	0.0	0.19999999999999996
denovo	trg	0	1	0.5	0.0	0.0	0.09999999999999998	0.4	0.0	0.0	1.0	1.0	0.09999999999999998	0.0	0.7	0.0	0.5	0.09999999999999998	0.0	0.0	0.5	0.4	0.4	0.0	0.5	0.4	0.5	0.6	0.30000000000000004	0.09999999999999998	0.19999999999999996	0.0	0.09999999999999998
denovo	trg	1	0	0.5	0.19999999999999996	0.0	0.19999999999999996	0.19999999999999996	0.30000000000000004	0.0	1.0	1.0	0.30000000000000004	0.09999999999999998	0.7	0.09999999999999998	0.09999999999999998	0.4	0.19999999999999996	0.0	0.0	0.8	0.0	0.19999999999999996	0.30000000000000004	0.0	0.6	0.0	0.09999999999999998	0.19999999999999996	0.0	0.19999999999999996	0.09999999999999998
denovo	trg	1	1	0.4	0.09999999999999998	0.0	0.09999999999999998	0.0	0.0	0.4	1.0	1.0	0.4	0.30000000000000004	0.6	0.0	0.0	0.4	0.5	0.0	0.0	0.09999999999999998	0.30000000000000004	0.19999999999999996	0.0	0.0	0.5	0.09999999999999998	0.19999999999999996	0.4	0.0	0.0	0.09999999999999998
trg	cds	0	0	0.0	0.4	0.5	0.0	0.19999999999999996	0.0	0.4	1.0	1.0	0.09999999999999998	0.30000000000000004	0.4	0.0	0.09999999999999998	0.4	0.19999999999999996	0.0	0.6	0.30000000000000004	0.0	0.4	0.5	0.30000000000000004	0.5	0.30000000000000004	0.19999999999999996	0.7	0.4	0.30000000000000004	0.6
trg	cds	0	1	0.0	0.4	0.7	0.19999999999999996	0.19999999999999996	0.0	0.0	1.0	1.0	0.0	0.09999999999999998	0.6	0.09999999999999998	0.0	0.19999999999999996	0.0	0.0	0.19999999999999996	0.30000000000000004	0.4	0.4	0.30000000000000004	0.09999999999999998	0.5	0.09999999999999998	0.19999999999999996	0.4	0.4	0.4	0.4
trg	cds	1	0	0.09999999999999998	0.30000000000000004	0.7	0.0	0.09999999999999998	0.0	0.0	1.0	1.0	0.4	0.6	0.7	0.09999999999999998	0.09999999999999998	0.19999999999999996	0.9	0.19999999999999996	0.0	0.0	0.4	0.19999999999999996	0.30000000000000004	0.30000000000000004	0.09999999999999998	0.4	0.19999999999999996	0.6	0.30000000000000004	0.0	0.6
trg	cds	1	1	0.0	0.19999999999999996	0.5	0.0	0.09999999999999998	0.0	0.09999999999999998	1.0	1.0	0.0	0.4	0.30000000000000004	0.0	0.19999999999999996	0.30000000000000004	0.30000000000000004	0.19999999999999996	0.5	0.19999999999999996	0.09999999999999998	1.0	0.8	0.19999999999999996	0.7	0.4	0.19999999999999996	0.6	0.6	0.30000000000000004	0.7
trg	trg	0	1	0.6	0.4	0.4	0.4	0.5	0.5	0.0	1.0	1.0	0.09999999999999998	0.19999999999999996	0.5	0.4	0.7	0.6	0.19999999999999996	0.5	0.0	0.09999999999999998	0.6	0.5	0.30000000000000004	0.30000000000000004	0.4	0.7	0.5	0.5	0.30000000000000004	0.6	0.8
