descriptor	type_1	type_2	p_value
denovo	trg	gc_rate	0.65799
denovo	trg	aromaticity	0.00808
denovo	trg	instability	0.00036
denovo	trg	mean_flexibility	0.04177
denovo	trg	hydropathy	0.09473
denovo	trg	length	9e-05
denovo	cds	gc_rate	1e-05
denovo	cds	aromaticity	0.17957
denovo	cds	instability	2e-05
denovo	cds	mean_flexibility	0.72754
denovo	cds	hydropathy	0.61288
denovo	cds	length	0.0
trg	cds	gc_rate	0.00021
trg	cds	aromaticity	0.06093
trg	cds	instability	0.49802
trg	cds	mean_flexibility	0.00799
trg	cds	hydropathy	0.07453
trg	cds	length	2e-05
