génome	genre	espèce ANI	Mash	AAI	rename the species
Thermococcus_aegaeus_DSM_12767	Oleothermococcus	Thermococcus aegaeus	Thermococcus aegaeus	Thermococcus aegaeus	
GCA_024022995@Thermococcus_aggregans_TY	Oleothermococcus	Thermococcus aggregans	Thermococcus aggregans	Thermococcus aggregans	
Thermococcus_aggregans_DSM_12819	Oleothermococcus	Thermococcus aggregans	Thermococcus aggregans	Thermococcus aggregans	
GCA_023746595@Thermococcus_argininiproducens_IOH2	Oleothermococcus	Thermococcus argininiproducens IOH2	Thermococcus argininiproducens IOH2	Thermococcus argininiproducens IOH2	
GCA_020386975@Thermococcus_bergensis_T7324	Oleothermococcus	Thermococcus bergensis	Thermococcus bergensis	Thermococcus bergensis	
GCA_000246985@Thermococcus_litoralis_DSM_5473	Oleothermococcus	Thermococcus litoralis	Thermococcus litoralis	Thermococcus litoralis	
Thermococcus_alcaliphilus_DSM_10322	Oleothermococcus	Thermococcus litoralis	Thermococcus litoralis	Thermococcus litoralis	
GCA_000022545@Thermococcus_sibiricus_MM_739	Oleothermococcus	Thermococcus sibiricus	Thermococcus sibiricus	Thermococcus sibiricus	
GCA_001484685@Thermococcus_sp_2319x1	Oleothermococcus	Thermococcus sp 2319x1	Thermococcus sp 2319x1	Thermococcus sp 2319x1	X
GCA_902813195@Thermococcus_sp_2319x1_Essen	Oleothermococcus	Thermococcus sp 2319x1	Thermococcus sp 2319x1	Thermococcus sp 2319x1	
GCA_000966265@Palaeococcus_ferrophilus_DSM_13482	Palaeococcus	Palaeococcus ferrophilus	Palaeococcus ferrophilus	Palaeococcus ferrophilus	
Palaeococcus_helgesoni_DSM_15127	Palaeococcus	Palaeococcus helgesoni	Palaeococcus helgesoni	Palaeococcus helgesoni	
GCA_000725425@Palaeococcus_pacificus_DY20341	Palaeococcus	Palaeococcus pacificus	Palaeococcus pacificus	Palaeococcus pacificus	
GCA_000151105@Thermococcus_barophilus_MP	Piezococcus	Thermococcus barophilus	Thermococcus barophilus	Thermococcus barophilus	
GCA_001433455@Thermococcus_barophilus_CH5	Piezococcus	Thermococcus barophilus	Thermococcus barophilus	Thermococcus barophilus	
Thermococcus_barophilus_CH1	Piezococcus	Thermococcus barophilus	Thermococcus barophilus	Thermococcus barophilus	
Thermococcus_barophilus_423_3_23	Piezococcus	Thermococcus barophilus 423 3 23	Thermococcus barophilus 423 3 23	Thermococcus barophilus 423 3 23	X
Thermococcus_barophilus_DT4	Piezococcus	Thermococcus barophilus DT4	Thermococcus barophilus DT4	Thermococcus barophilus DT4	X
GCA_000517445@Thermococcus_paralvinellae_ES1	Piezococcus	Thermococcus paralvinellae	Thermococcus paralvinellae	Thermococcus paralvinellae	
GCA_035621495@Thermococcus_sp_SY098	Piezococcus	Thermococcus sp SY098	Thermococcus sp SY098	Thermococcus sp SY098	X
Thermococcus_sp_CIR_10a	Piezococcus	Thermococcus sp CIR 10a	Thermococcus_barophilus_423_3_23	Thermococcus_barophilus_423_3_23	
GCA_000195935@Pyrococcus_abyssi_GE5	Pyrococcus	Pyrococcus abyssi	Pyrococcus abyssi	Pyrococcus abyssi	
Pyrococcus_sp_GE_23	Pyrococcus	Pyrococcus abyssi	Pyrococcus abyssi	Pyrococcus abyssi	
Pyrococcus_abyssi_GE2	Pyrococcus	Pyrococcus abyssi	Pyrococcus abyssi	Pyrococcus abyssi	
Pyrococcus_endeavori_ES4	Pyrococcus	Pyrococcus endeavori	Pyrococcus endeavori	Pyrococcus endeavori	
GCA_000263735@Pyrococcus_sp_ST04	Pyrococcus	Pyrococcus endeavori	Pyrococcus endeavori	Pyrococcus endeavori	
GCA_000007305@Pyrococcus_furiosus_DSM_3638	Pyrococcus	Pyrococcus furiosus	Pyrococcus furiosus	Pyrococcus furiosus	
GCA_000275605@Pyrococcus_furiosus_COM1	Pyrococcus	Pyrococcus furiosus	Pyrococcus furiosus	Pyrococcus furiosus	
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	Pyrococcus	Pyrococcus furiosus	Pyrococcus furiosus	Pyrococcus furiosus	
