type1	type2	bin1	bin2	gc_rate	aromaticity	instability	mean_flexibility	hydropathy	length	hca	disord	aggreg	inter_gc_rate	gc_species	inter_gc_species	A_use	C_use	D_use	E_use	F_use	G_use	H_use	I_use	K_use	L_use	M_use	N_use	P_use	Q_use	R_use	S_use	T_use	V_use	W_use	Y_use	polar_use	hydrophobic_use	positive_use	negative_use	proline-glycine_use	alanine_use	cysteine_use
cds	cds	0	1	0.36153	0.49346	0.50076	0.43957999999999997	0.50363	0.50718	0.43798000000000004	0.46064000000000005	1.0	0.18196999999999997	0.0	0.0	0.38298	0.50525	0.48814	0.50183	0.49837	0.38441000000000003	0.49417	0.09184999999999999	0.12605	0.48584000000000005	0.5068900000000001	0.40730999999999995	0.46275999999999995	0.45938	0.28881999999999997	0.5029399999999999	0.48717999999999995	0.38114000000000003	0.49253	0.48890999999999996	0.47522	0.42332000000000003	0.46440000000000003	0.49438000000000004	0.35649	0.38298	0.50525
cds	iorf	0	0	0.06640999999999997	0.15825	0.13092000000000004	0.06845999999999997	0.38478999999999997	0.0	0.21572000000000002	0.08006999999999997	1.0	0.06867000000000001	0.51676	0.5158499999999999	0.01637999999999995	0.13288999999999995	0.014959999999999973	0.0008399999999999519	0.08509999999999995	0.04193000000000002	0.12812999999999997	0.15256999999999998	0.18850999999999996	0.32223	0.04569000000000001	0.18016	0.31547000000000003	0.14605	0.43866000000000005	0.0018000000000000238	0.42722000000000004	0.005220000000000002	0.14788	0.41081	0.00019000000000002348	0.39300999999999997	0.43745999999999996	0.00048000000000003595	0.32026	0.01637999999999995	0.13288999999999995
cds	iorf	0	1	0.023809999999999998	0.47285	0.014549999999999952	0.34504999999999997	0.19996999999999998	0.0	0.0017700000000000493	9.999999999998899e-05	1.0	0.05981000000000003	0.0	0.0	0.20536	0.15278000000000003	0.019399999999999973	0.0016399999999999748	0.32332000000000005	0.40369	0.17152999999999996	0.0010700000000000154	0.024190000000000045	0.44521999999999995	0.020870000000000055	0.43277	0.016170000000000018	0.15713	0.04374	0.0012400000000000189	0.37322	0.012369999999999992	0.22614	0.05883000000000005	0.00038000000000004697	0.013859999999999983	0.34336999999999995	0.0007300000000000084	0.08877999999999997	0.20536	0.15278000000000003
cds	iorf	1	0	0.017000000000000015	0.12644	0.13598	0.09641	0.39334	0.0	0.28818	0.0857	1.0	0.006380000000000052	0.0	0.0	0.004469999999999974	0.13905999999999996	0.010120000000000018	0.0010099999999999554	0.06445000000000001	0.01748000000000005	0.14431000000000005	0.36763	0.42239000000000004	0.37227	0.04352999999999996	0.09950000000000003	0.36605	0.12090999999999996	0.36763	0.0014699999999999713	0.44616	0.0013999999999999568	0.14066	0.42137	9.00000000000345e-05	0.36622	0.42696999999999996	0.00036999999999998145	0.19691999999999998	0.004469999999999974	0.13905999999999996
cds	iorf	1	1	0.003929999999999989	0.4596	0.01649999999999996	0.38913	0.20133	0.0	0.0039000000000000146	0.00031999999999998696	1.0	0.004229999999999956	0.5074799999999999	0.50737	0.08889000000000002	0.15493999999999997	0.012789999999999968	0.0019299999999999873	0.28222	0.32625000000000004	0.19233999999999996	0.021540000000000004	0.18230999999999997	0.42013	0.01976	0.39039	0.028249999999999997	0.12156	0.15622000000000003	0.0008299999999999974	0.40925999999999996	0.00380999999999998	0.22797999999999996	0.07643	0.00026999999999999247	0.02668999999999999	0.28173000000000004	0.0007399999999999629	0.18581000000000003	0.08889000000000002	0.15493999999999997
denovo	cds	0	0	0.0013900000000000023	0.03315000000000001	0.37090999999999996	0.041789999999999994	0.14966000000000002	0.0	0.27201	0.06189	1.0	0.0017300000000000093	0.17589	0.12251999999999996	0.0013499999999999623	0.13353000000000004	4.0000000000040004e-05	0.005719999999999947	0.43072	0.024819999999999953	0.02139000000000002	0.59868	0.08875999999999995	0.23404999999999998	0.0011999999999999789	0.09965000000000002	9.00000000000345e-05	0.5019100000000001	0.34060999999999997	0.56073	0.0006500000000000394	0.46748	0.0013900000000000023	0.6185	9.99999999995449e-06	0.32471000000000005	0.27937999999999996	0.0027399999999999647	0.006360000000000032	0.0013499999999999623	0.13353000000000004
denovo	cds	0	1	0.0006599999999999939	0.051590000000000025	0.38248000000000004	0.05671999999999999	0.16157999999999995	0.0	0.51303	0.11112	1.0	0.00034999999999996145	0.0	0.0	7.00000000000145e-05	0.2066	2.0000000000020002e-05	0.006970000000000032	0.49078	0.009319999999999995	0.013469999999999982	0.043440000000000034	0.53789	0.33006	0.0016399999999999748	0.02198	0.00012000000000000899	0.35333000000000003	0.73331	0.58613	0.0013699999999999823	0.22338999999999998	0.0006300000000000194	0.6092	9.99999999995449e-06	0.19288000000000005	0.42774	0.0024600000000000177	0.0023100000000000342	7.00000000000145e-05	0.2066
denovo	cds	1	0	0.06337000000000004	0.5716600000000001	0.013759999999999994	0.45936	0.54759	2.999999999997449e-05	0.10907	0.008260000000000045	1.0	0.12885999999999997	0.0	0.0	0.30139000000000005	0.35205	0.0015600000000000058	0.018650000000000055	0.13876999999999995	0.5775399999999999	0.07101000000000002	9.99999999995449e-06	0.39651000000000003	0.5226999999999999	0.16762	0.43359000000000003	0.19327000000000005	0.49229999999999996	0.25953000000000004	0.01100000000000001	0.35979000000000005	0.04147999999999996	0.51942	0.07930000000000004	0.00034000000000000696	0.05388000000000004	0.13393	0.005739999999999967	0.16423	0.30139000000000005	0.35205
denovo	cds	1	1	0.009159999999999946	0.54611	0.015730000000000022	0.5658099999999999	0.54033	9.99999999995449e-06	0.19962999999999997	0.014539999999999997	1.0	0.00814999999999999	0.44710000000000005	0.33196000000000003	0.45582999999999996	0.34043999999999996	0.0009400000000000519	0.023050000000000015	0.09511999999999998	0.47646999999999995	0.09994000000000003	0.0016800000000000148	0.48168999999999995	0.55419	0.18093000000000004	0.20454000000000006	0.35245000000000004	0.32976000000000005	0.48733000000000004	0.009530000000000038	0.39696	0.01429999999999998	0.49859	0.09872999999999998	0.00027999999999994696	0.15335	0.0807	0.005070000000000019	0.41145	0.45582999999999996	0.34043999999999996
denovo	denovo	0	1	0.35251	0.042080000000000006	0.07716	0.12985999999999998	0.06857000000000002	0.015149999999999997	0.75702	0.61005	1.0	0.20350999999999997	0.0	0.0	0.00044999999999995044	0.1975	0.023719999999999963	0.64152	0.017240000000000033	0.026370000000000005	0.010260000000000047	9.999999999998899e-05	0.51745	0.35679000000000005	0.07126999999999994	0.33899	9.99999999995449e-06	0.67424	0.72533	0.025440000000000018	0.23253999999999997	0.27405	0.05132000000000003	0.10638999999999998	0.58429	0.02561000000000002	0.034009999999999985	0.50255	0.00029999999999996696	0.00044999999999995044	0.1975
