	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	29	758	8	734	466	517	615	664	351
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	92	840	28	825	670	693	739	782	639
GCA_000011105@Pyrococcus_horikoshii_OT3	0	20	736	16	712	450	491	573	640	351
GCA_000018365@Thermococcus_onnurineus_NA1	0	65	807	25	795	700	720	749	771	681
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	66	797	26	777	596	627	675	724	582
GCA_000022545@Thermococcus_sibiricus_MM_739	0	16	738	13	719	457	500	601	659	327
GCA_000151105@Thermococcus_barophilus_MP	0	30	806	23	786	562	593	682	739	461
GCA_000151205@Thermococcus_sp_AM4	0	71	829	18	815	642	671	728	761	625
GCA_000195935@Pyrococcus_abyssi_GE5	0	26	740	10	713	478	521	597	653	403
GCA_000211475@Pyrococcus_sp_NA2	0	26	748	18	722	462	502	595	646	363
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	771	20	751	533	574	641	690	494
GCA_000221185@Thermococcus_sp_4557	0	101	856	28	843	756	766	786	809	747
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	29	795	30	773	546	582	660	718	460
GCA_000258515@Thermococcus_zilligii_AN1	0	44	763	23	747	579	603	661	693	550
GCA_000263735@Pyrococcus_sp_ST04	0	27	753	20	733	463	521	593	662	374
GCA_000265525@Thermococcus_cleftensis_CL1	0	130	886	14	872	799	807	820	842	794
GCA_000275605@Pyrococcus_furiosus_COM1	0	30	760	9	735	469	520	616	663	352
GCA_000517445@Thermococcus_paralvinellae_ES1	0	27	784	22	766	534	578	663	714	430
GCA_000585495@Thermococcus_nautili_30_1	0	87	836	43	817	679	701	744	777	652
GCA_000725425@Palaeococcus_pacificus_DY20341	0	27	774	14	759	530	577	655	701	449
GCA_000769655@Thermococcus_eurythermalis_A501	0	77	841	33	822	666	690	739	776	636
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	67	801	32	783	612	642	688	718	588
GCA_001433455@Thermococcus_barophilus_CH5	0	39	830	25	817	583	607	706	762	487
GCA_001484685@Thermococcus_sp_2319x1	0	27	768	20	749	535	571	633	691	448
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	31	765	10	728	482	543	603	655	414
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	56	824	24	799	646	666	722	757	614
GCA_001647085@Thermococcus_piezophilus_CDGS	0	63	796	34	770	665	686	711	745	639
