	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	15	779	45	760	568	598	637	695	483
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	30	824	46	805	558	607	676	744	485
GCA_000011105@Pyrococcus_horikoshii_OT3	0	21	778	33	752	539	565	621	676	433
GCA_000018365@Thermococcus_onnurineus_NA1	0	29	805	69	792	617	647	703	752	534
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	44	823	43	802	555	595	679	742	466
GCA_000022545@Thermococcus_sibiricus_MM_739	0	18	801	69	775	641	649	681	721	582
GCA_000151105@Thermococcus_barophilus_MP	0	62	897	289	888	822	830	847	859	815
GCA_000151205@Thermococcus_sp_AM4	0	46	826	48	806	558	595	677	750	458
GCA_000195935@Pyrococcus_abyssi_GE5	0	23	794	39	776	564	595	647	703	459
GCA_000211475@Pyrococcus_sp_NA2	0	15	773	38	755	561	582	631	684	468
GCA_000215995@Pyrococcus_yayanosii_CH1	0	21	783	46	764	540	582	644	709	468
GCA_000221185@Thermococcus_sp_4557	0	31	820	61	799	557	603	693	749	472
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	29	843	81	819	686	711	738	780	628
GCA_000258515@Thermococcus_zilligii_AN1	0	23	774	37	740	493	543	597	668	429
GCA_000263735@Pyrococcus_sp_ST04	0	22	777	40	757	570	593	634	704	480
GCA_000265525@Thermococcus_cleftensis_CL1	0	34	817	67	794	550	599	678	744	468
GCA_000275605@Pyrococcus_furiosus_COM1	0	15	776	45	755	568	595	635	694	483
GCA_000517445@Thermococcus_paralvinellae_ES1	0	61	881	371	867	815	817	827	845	809
GCA_000585495@Thermococcus_nautili_30_1	0	31	824	47	810	532	594	681	743	457
GCA_000725425@Palaeococcus_pacificus_DY20341	0	28	819	79	793	662	671	713	754	603
GCA_000769655@Thermococcus_eurythermalis_A501	0	22	815	55	797	546	604	676	738	451
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	31	808	48	784	558	599	668	725	474
GCA_001433455@Thermococcus_barophilus_CH5	0	66	898	296	888	831	833	853	867	823
GCA_001484685@Thermococcus_sp_2319x1	0	17	809	80	788	661	675	710	750	600
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	23	817	41	792	581	617	658	722	499
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	26	815	46	790	557	594	665	719	476
GCA_001647085@Thermococcus_piezophilus_CDGS	0	22	790	64	766	586	626	673	717	519
GCA_002197185@Thermococcus_sp_5_4	0	31	824	54	803	581	630	699	754	489
GCA_002214365@Thermococcus_celer_Vu_13	0	30	808	59	789	521	577	667	735	418
GCA_002214385@Thermococcus_gorgonarius_W_12	0	26	782	41	755	531	568	630	696	449
GCA_002214465@Thermococcus_barossii_SHCK_94	0	41	837	61	822	598	634	706	766	497
GCA_002214485@Thermococcus_pacificus_P4	0	20	799	50	779	554	605	664	717	469
GCA_002214505@Thermococcus_siculi_RG_20	0	31	829	49	806	571	600	685	747	474
GCA_002214525@Thermococcus_sp_P6	0	19	733	39	710	469	517	595	654	390
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	43	851	62	828	593	644	719	775	514
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	26	833	52	817	574	621	700	765	483
GCA_002214585@Thermococcus_profundus_DT_5432	0	28	799	48	781	522	574	652	721	456
GCA_002214605@Thermococcus_chitonophagus	0	17	800	42	782	578	615	660	722	479
GCA_006274605@Thermococcus_indicus_IOH1	0	35	837	57	817	571	611	689	761	489
GCA_008152015@Thermococcus_aciditolerans_SY113	0	28	830	57	810	580	623	707	758	478
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	15	777	45	758	570	596	639	693	481
GCA_020386975@Thermococcus_bergensis_T7324	0	17	797	76	776	646	664	700	742	595
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	22	821	79	806	671	688	719	758	612
GCA_024022995@Thermococcus_aggregans_TY	0	18	806	79	784	660	676	708	749	600
GCA_024707485@Thermococcus_sp_813A4	0	33	851	66	830	606	661	728	778	522
GCA_028471785@Thermococcus_kodakarensis_TS900	0	30	823	46	804	559	605	676	743	482
GCA_028471865@Thermococcus_kodakarensis_TS901	0	30	823	46	805	560	606	676	741	481
GCA_035621495@Thermococcus_sp_SY098	0	76	902	302	886	818	828	845	858	812
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	16	800	42	783	574	614	659	719	484
GCA_900198835@Thermococcus_henrietii_EXT12c	0	32	826	46	803	530	579	665	731	448
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	18	806	82	784	655	664	706	738	592
GCA_904067545@Thermococcus_camini_IRI35c	0	32	828	58	803	569	609	680	746	486
Palaeococcus_helgesoni_DSM_15127	0	28	810	62	787	627	649	692	730	559
Pyrococcus_31_3	0	17	805	42	789	573	606	658	720	480
Pyrococcus_32_1	0	17	805	42	790	570	604	658	721	476
Pyrococcus_abyssi_GE2	0	31	799	41	777	560	599	645	696	456
Pyrococcus_endeavori_ES4	0	21	771	41	753	562	589	627	702	473
Pyrococcus_EXT16	0	17	800	42	785	569	613	661	725	480
Pyrococcus_sp_32_3	0	17	805	42	790	572	604	659	721	479
Pyrococcus_sp_32_4	0	17	804	42	787	570	602	655	722	476
Pyrococcus_sp_EXT_15c	0	24	810	44	795	577	610	658	729	482
Pyrococcus_sp_GE_23	0	22	800	39	781	551	595	648	694	451
Pyrococcus_sp_IRI_42C	0	23	784	36	757	567	594	624	691	472
Thermococcus_15_2	0	35	824	53	801	556	591	674	748	462
Thermococcus_23_2	0	31	823	54	802	582	625	698	759	489
Thermococcus_29_3	0	36	829	48	811	544	585	677	733	457
Thermococcus_31_3	0	39	846	70	829	584	637	702	770	491
Thermococcus_aegaeus_DSM_12767	0	18	820	83	799	670	684	715	754	610
Thermococcus_aggregans_DSM_12819	0	18	806	79	785	659	674	711	749	606
Thermococcus_alcaliphilus_DSM_10322	0	26	839	84	818	695	716	737	785	635
Thermococcus_AMTc11	0	33	858	64	842	603	635	724	784	503
Thermococcus_AMTc30	0	38	830	43	809	538	588	676	735	453
Thermococcus_AMTc51	0	26	826	46	810	538	595	672	740	446
Thermococcus_AMTc85	0	38	821	44	801	531	597	668	725	442
Thermococcus_atlanticus_DSM_15226	0	43	867	81	851	680	706	763	807	616
Thermococcus_barophilus_423_3_23	0	75	888	304	870	807	814	830	845	800
Thermococcus_barophilus_CH1	0	73	913	295	896	828	834	855	871	815
Thermococcus_barophilus_DT4	0	184	1000	578	1000	1000	1000	1000	1000	1000
Thermococcus_coalescens_TS1	0	34	844	57	820	591	636	717	774	507
Thermococcus_E15P35	0	43	835	51	817	539	591	686	744	454
Thermococcus_EXT11c	0	41	820	45	796	523	579	662	720	435
Thermococcus_fumicolans_ST557	0	32	826	49	800	537	580	656	740	449
Thermococcus_IRI_06c	0	27	842	62	817	582	630	700	768	491
Thermococcus_IRI15c	0	38	830	62	807	570	626	683	757	491
Thermococcus_marinus_DSM_15227	0	27	822	51	800	542	597	678	745	451
Thermococcus_prieuri_Col3	0	32	825	55	807	562	593	677	754	467
Thermococcus_profundus_DSM_9503	0	28	799	49	780	521	578	652	721	459
Thermococcus_sp_23_4	0	31	824	54	803	581	631	699	758	487
Thermococcus_sp_26_2	0	28	805	48	786	513	583	659	716	431
Thermococcus_sp_33_3	0	38	830	48	812	525	584	670	738	453
Thermococcus_sp_9_3	0	44	835	50	818	532	600	674	744	455
Thermococcus_sp_AMTc09	0	30	806	48	784	505	576	651	714	429
Thermococcus_sp_AMTc102	0	27	798	49	778	510	575	644	710	430
Thermococcus_sp_AMTc71	0	29	818	62	796	551	601	674	742	469
Thermococcus_sp_AMTc72	0	29	818	62	796	548	604	674	743	471
Thermococcus_sp_AMTc79	0	35	829	50	812	550	602	683	745	466
Thermococcus_sp_AMTc94	0	36	830	51	814	545	599	681	745	457
Thermococcus_sp_CIR_03a	0	39	852	58	831	599	652	710	781	510
Thermococcus_sp_CIR_10a	0	77	904	306	892	837	841	860	876	826
Thermococcus_sp_DS1	0	46	862	64	842	622	670	735	792	543
Thermococcus_sp_E10P11	0	38	831	49	814	540	593	678	740	460
Thermococcus_sp_E10P8	0	38	831	49	814	542	589	677	738	460
Thermococcus_sp_E15p33	0	42	834	51	816	538	591	686	743	450
Thermococcus_sp_EXT09c	0	37	830	42	812	529	578	667	735	443
Thermococcus_sp_IRI_05c	0	45	849	63	831	628	668	741	785	531
Thermococcus_sp_IRI10c	0	38	832	61	810	573	629	691	758	491
Thermococcus_sp_IRI14c	0	38	830	62	807	569	625	688	758	490
Thermococcus_sp_IRI24c	0	44	840	60	814	565	622	689	751	489
Thermococcus_sp_IRI25c	0	38	830	62	808	571	628	688	758	487
