	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	26	876	17	863	732	740	778	818	641
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	22	845	16	823	574	619	690	766	470
GCA_000011105@Pyrococcus_horikoshii_OT3	0	25	874	24	859	773	780	801	828	711
GCA_000018365@Thermococcus_onnurineus_NA1	0	11	777	14	752	538	582	637	688	441
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	14	811	12	782	533	574	639	709	437
GCA_000022545@Thermococcus_sibiricus_MM_739	0	8	783	20	760	569	589	637	696	431
GCA_000151105@Thermococcus_barophilus_MP	0	13	821	22	802	617	638	684	736	512
GCA_000151205@Thermococcus_sp_AM4	0	14	790	15	769	534	570	645	698	431
GCA_000195935@Pyrococcus_abyssi_GE5	0	36	880	26	870	781	793	816	838	733
GCA_000211475@Pyrococcus_sp_NA2	0	99	1000	397	1000	1000	1000	1000	1000	1000
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	833	18	808	629	655	708	756	551
GCA_000221185@Thermococcus_sp_4557	0	11	813	14	792	526	575	646	711	437
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	863	26	836	649	666	716	784	515
GCA_000258515@Thermococcus_zilligii_AN1	0	17	772	18	755	538	574	636	692	424
GCA_000263735@Pyrococcus_sp_ST04	0	25	852	25	839	718	733	757	789	657
GCA_000265525@Thermococcus_cleftensis_CL1	0	14	790	14	771	512	558	638	693	413
GCA_000275605@Pyrococcus_furiosus_COM1	0	27	874	16	862	730	737	775	816	640
GCA_000517445@Thermococcus_paralvinellae_ES1	0	7	807	16	780	610	619	671	722	498
GCA_000585495@Thermococcus_nautili_30_1	0	16	807	16	786	529	574	660	728	429
GCA_000725425@Palaeococcus_pacificus_DY20341	0	7	796	15	766	566	584	648	708	422
GCA_000769655@Thermococcus_eurythermalis_A501	0	18	825	16	805	552	590	677	742	430
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	16	795	21	774	528	559	642	704	423
GCA_001433455@Thermococcus_barophilus_CH5	0	16	872	21	851	660	685	738	785	561
GCA_001484685@Thermococcus_sp_2319x1	0	18	804	22	780	601	607	652	722	478
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	26	867	17	849	719	739	766	806	658
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	14	803	15	780	553	589	652	724	445
GCA_001647085@Thermococcus_piezophilus_CDGS	0	14	785	13	750	531	577	631	681	428
GCA_002197185@Thermococcus_sp_5_4	0	8	789	14	768	562	601	668	710	448
GCA_002214365@Thermococcus_celer_Vu_13	0	13	799	14	774	500	559	645	708	421
GCA_002214385@Thermococcus_gorgonarius_W_12	0	13	748	15	724	519	545	618	672	413
GCA_002214465@Thermococcus_barossii_SHCK_94	0	6	804	17	781	537	582	653	707	422
GCA_002214485@Thermococcus_pacificus_P4	0	10	768	17	748	521	560	636	692	414
GCA_002214505@Thermococcus_siculi_RG_20	0	11	798	13	777	532	575	643	705	432
GCA_002214525@Thermococcus_sp_P6	0	7	750	15	727	481	520	595	656	394
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	19	815	14	791	546	588	668	731	437
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	7	797	11	769	547	588	657	714	444
GCA_002214585@Thermococcus_profundus_DT_5432	0	11	793	14	772	534	575	642	701	430
GCA_002214605@Thermococcus_chitonophagus	0	27	893	21	879	748	760	789	833	674
GCA_006274605@Thermococcus_indicus_IOH1	0	21	838	17	822	563	601	684	746	451
GCA_008152015@Thermococcus_aciditolerans_SY113	0	19	845	15	827	555	593	698	750	460
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	27	876	16	865	737	743	779	819	642
GCA_020386975@Thermococcus_bergensis_T7324	0	6	781	20	760	565	583	634	693	423
