	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	23	768	46	749	480	526	618	688	365
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	78	835	112	819	625	658	717	760	589
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	737	44	720	451	488	586	651	349
GCA_000018365@Thermococcus_onnurineus_NA1	0	56	806	209	792	696	714	734	752	681
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	66	804	105	784	587	629	681	723	579
GCA_000022545@Thermococcus_sibiricus_MM_739	0	18	767	60	751	526	552	651	703	407
GCA_000151105@Thermococcus_barophilus_MP	0	34	841	68	820	604	647	727	773	526
GCA_000151205@Thermococcus_sp_AM4	0	69	830	112	807	629	665	716	747	597
GCA_000195935@Pyrococcus_abyssi_GE5	0	25	749	50	732	499	547	610	673	421
GCA_000211475@Pyrococcus_sp_NA2	0	25	754	45	734	499	532	608	669	393
GCA_000215995@Pyrococcus_yayanosii_CH1	0	32	766	55	747	536	572	638	686	493
GCA_000221185@Thermococcus_sp_4557	0	86	855	243	840	722	734	772	789	707
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	21	808	60	788	587	622	699	740	494
GCA_000258515@Thermococcus_zilligii_AN1	0	37	777	94	757	578	599	656	692	540
GCA_000263735@Pyrococcus_sp_ST04	0	22	760	45	736	473	520	598	671	362
GCA_000265525@Thermococcus_cleftensis_CL1	0	103	858	217	834	699	719	753	784	675
GCA_000275605@Pyrococcus_furiosus_COM1	0	25	768	48	747	480	526	614	686	365
GCA_000517445@Thermococcus_paralvinellae_ES1	0	34	800	62	781	595	629	690	731	482
GCA_000585495@Thermococcus_nautili_30_1	0	89	850	143	832	658	687	741	773	627
GCA_000725425@Palaeococcus_pacificus_DY20341	0	22	791	56	773	561	597	677	716	465
GCA_000769655@Thermococcus_eurythermalis_A501	0	76	812	129	794	625	654	699	736	596
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	63	790	114	770	609	644	681	725	577
GCA_001433455@Thermococcus_barophilus_CH5	0	49	859	73	835	624	668	750	789	546
GCA_001484685@Thermococcus_sp_2319x1	0	23	770	64	745	550	587	644	694	473
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	28	781	48	754	511	549	636	695	434
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	48	801	125	779	623	646	704	731	582
GCA_001647085@Thermococcus_piezophilus_CDGS	0	44	783	179	762	656	669	694	713	630
GCA_002197185@Thermococcus_sp_5_4	0	70	838	288	827	758	768	790	803	748
GCA_002214365@Thermococcus_celer_Vu_13	0	53	801	217	782	681	691	719	744	673
GCA_002214385@Thermococcus_gorgonarius_W_12	0	44	780	95	759	582	606	665	700	550
GCA_002214465@Thermococcus_barossii_SHCK_94	0	86	869	282	852	765	770	795	821	751
GCA_002214485@Thermococcus_pacificus_P4	0	58	786	172	772	648	656	700	724	623
GCA_002214505@Thermococcus_siculi_RG_20	0	81	853	201	839	710	725	760	797	685
GCA_002214525@Thermococcus_sp_P6	0	32	727	128	714	598	605	631	663	579
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	111	887	326	878	796	802	824	844	788
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	74	851	280	841	747	760	779	802	732
GCA_002214585@Thermococcus_profundus_DT_5432	0	50	816	116	795	607	643	700	735	568
GCA_002214605@Thermococcus_chitonophagus	0	20	768	44	742	508	556	615	673	432
GCA_006274605@Thermococcus_indicus_IOH1	0	89	866	237	845	720	736	777	795	701
GCA_008152015@Thermococcus_aciditolerans_SY113	0	98	850	236	835	723	742	774	790	707
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	25	767	48	746	474	523	615	685	365
GCA_020386975@Thermococcus_bergensis_T7324	0	16	763	58	746	554	583	654	710	483
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	20	795	57	771	537	570	656	722	388
GCA_024022995@Thermococcus_aggregans_TY	0	20	784	64	760	541	581	660	714	467
GCA_024707485@Thermococcus_sp_813A4	0	97	885	308	872	795	807	824	841	788
GCA_028471785@Thermococcus_kodakarensis_TS900	0	78	834	112	818	622	660	716	758	585
GCA_028471865@Thermococcus_kodakarensis_TS901	0	78	834	112	817	622	660	715	757	584
GCA_035621495@Thermococcus_sp_SY098	0	48	850	70	825	600	644	724	777	503
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	20	768	44	743	511	558	616	675	432
GCA_900198835@Thermococcus_henrietii_EXT12c	0	65	821	142	801	633	662	708	738	599
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	23	777	66	754	549	585	653	702	472
GCA_904067545@Thermococcus_camini_IRI35c	0	104	871	270	853	732	757	782	808	729
Palaeococcus_helgesoni_DSM_15127	0	23	788	60	767	565	580	661	713	472
Pyrococcus_31_3	0	25	786	45	760	517	563	631	690	432
Pyrococcus_32_1	0	25	786	45	759	518	564	632	688	432
Pyrococcus_abyssi_GE2	0	26	751	49	730	496	538	604	670	418
Pyrococcus_endeavori_ES4	0	19	757	43	731	477	518	595	663	366
Pyrococcus_EXT16	0	24	776	48	749	514	558	626	680	420
Pyrococcus_sp_32_3	0	25	786	45	758	513	565	629	689	429
Pyrococcus_sp_32_4	0	25	785	45	757	517	562	632	687	432
Pyrococcus_sp_EXT_15c	0	25	780	45	756	515	551	627	693	426
Pyrococcus_sp_GE_23	0	25	754	45	732	499	542	603	667	414
Pyrococcus_sp_IRI_42C	0	19	761	43	738	490	523	600	666	375
Thermococcus_15_2	0	73	832	165	810	667	689	736	766	633
Thermococcus_23_2	0	70	838	284	827	760	767	791	803	748
Thermococcus_29_3	0	69	831	136	812	639	671	719	754	609
