	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	16	860	73	836	638	651	712	767	524
GCA_000009965@Thermococcus_kodakarensis_KOD1	1	16	865	61	836	614	651	715	770	519
GCA_000011105@Pyrococcus_horikoshii_OT3	1	10	818	44	779	583	605	664	721	444
GCA_000018365@Thermococcus_onnurineus_NA1	1	9	826	61	791	598	634	682	735	527
GCA_000022365@Thermococcus_gammatolerans_EJ3	1	12	826	49	786	549	584	643	713	477
GCA_000022545@Thermococcus_sibiricus_MM_739	1	15	865	188	837	763	771	787	805	735
GCA_000151105@Thermococcus_barophilus_MP	0	13	869	93	841	720	738	767	812	658
GCA_000151205@Thermococcus_sp_AM4	1	12	828	44	786	538	583	660	722	467
GCA_000195935@Pyrococcus_abyssi_GE5	0	8	819	50	789	565	598	669	725	456
GCA_000211475@Pyrococcus_sp_NA2	0	13	834	46	804	598	628	693	741	485
GCA_000215995@Pyrococcus_yayanosii_CH1	1	8	820	58	783	557	603	668	727	463
GCA_000221185@Thermococcus_sp_4557	1	17	859	54	830	599	651	712	768	516
GCA_000246985@Thermococcus_litoralis_DSM_5473	1	42	934	322	918	872	881	891	905	866
GCA_000258515@Thermococcus_zilligii_AN1	1	11	835	51	804	561	609	679	748	504
GCA_000263735@Pyrococcus_sp_ST04	0	7	819	45	781	587	617	673	723	472
GCA_000265525@Thermococcus_cleftensis_CL1	1	14	838	50	805	562	609	680	739	496
GCA_000275605@Pyrococcus_furiosus_COM1	0	16	860	72	835	642	654	712	768	523
GCA_000517445@Thermococcus_paralvinellae_ES1	0	9	847	84	819	686	703	733	781	648
GCA_000585495@Thermococcus_nautili_30_1	1	7	830	47	788	548	590	664	727	472
GCA_000725425@Palaeococcus_pacificus_DY20341	1	12	846	75	818	682	711	743	781	594
GCA_000769655@Thermococcus_eurythermalis_A501	1	14	854	61	820	575	609	698	754	495
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	1	13	837	58	797	570	610	671	726	499
GCA_001433455@Thermococcus_barophilus_CH5	0	23	878	95	855	733	750	779	819	670
GCA_001484685@Thermococcus_sp_2319x1	2	65	945	469	931	903	907	914	917	902
GCA_001577775@Pyrococcus_kukulkanii_NCB100	1	13	840	47	801	574	615	666	732	458
GCA_001592435@Thermococcus_peptonophilus_OG_1	1	11	845	57	812	604	648	710	762	518
GCA_001647085@Thermococcus_piezophilus_CDGS	1	19	840	78	784	585	609	669	728	499
GCA_002197185@Thermococcus_sp_5_4	1	9	844	50	811	610	647	711	756	521
GCA_002214365@Thermococcus_celer_Vu_13	1	15	854	65	833	609	636	721	767	522
