	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	1	109	998	457	997	992	993	994	995	993
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	20	838	50	819	579	623	683	753	473
GCA_000011105@Pyrococcus_horikoshii_OT3	0	24	829	96	811	699	707	736	767	632
GCA_000018365@Thermococcus_onnurineus_NA1	0	13	773	49	756	534	575	643	697	431
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	27	799	42	775	517	559	640	718	418
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	795	54	769	601	625	663	715	479
GCA_000151105@Thermococcus_barophilus_MP	0	14	832	57	815	620	653	692	757	525
GCA_000151205@Thermococcus_sp_AM4	0	25	791	51	765	504	555	644	705	403
GCA_000195935@Pyrococcus_abyssi_GE5	0	31	849	84	834	700	720	755	797	614
GCA_000211475@Pyrococcus_sp_NA2	0	33	874	95	854	741	752	782	824	648
GCA_000215995@Pyrococcus_yayanosii_CH1	0	28	815	67	794	596	629	693	743	506
GCA_000221185@Thermococcus_sp_4557	0	15	805	44	787	499	552	634	726	406
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	12	879	72	861	687	695	759	814	562
GCA_000258515@Thermococcus_zilligii_AN1	0	12	787	46	769	528	562	633	712	426
GCA_000263735@Pyrococcus_sp_ST04	0	17	844	89	829	713	720	756	787	636
GCA_000265525@Thermococcus_cleftensis_CL1	0	17	789	44	766	504	544	637	710	394
GCA_000275605@Pyrococcus_furiosus_COM1	1	111	999	459	997	993	993	994	995	992
GCA_000517445@Thermococcus_paralvinellae_ES1	0	8	811	55	791	622	640	686	737	526
GCA_000585495@Thermococcus_nautili_30_1	0	14	792	50	771	495	561	642	716	402
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	804	43	792	590	615	665	731	474
GCA_000769655@Thermococcus_eurythermalis_A501	0	22	825	53	799	534	572	666	743	430
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	19	800	48	774	529	576	643	717	416
GCA_001433455@Thermococcus_barophilus_CH5	0	15	842	49	823	640	660	698	767	535
GCA_001484685@Thermococcus_sp_2319x1	0	17	861	74	840	662	675	730	788	540
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	24	835	83	817	686	696	736	776	618
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	20	798	50	774	556	590	654	719	440
GCA_001647085@Thermococcus_piezophilus_CDGS	0	13	766	54	737	521	553	623	686	430
GCA_002197185@Thermococcus_sp_5_4	0	10	794	53	774	529	566	655	718	400
GCA_002214365@Thermococcus_celer_Vu_13	0	14	822	57	805	492	568	662	751	389
GCA_002214385@Thermococcus_gorgonarius_W_12	0	14	755	50	733	525	542	603	670	401
GCA_002214465@Thermococcus_barossii_SHCK_94	0	14	800	45	780	529	566	647	726	405
GCA_002214485@Thermococcus_pacificus_P4	0	11	804	47	781	538	578	665	731	425
GCA_002214505@Thermococcus_siculi_RG_20	0	20	805	45	784	524	558	635	713	397
GCA_002214525@Thermococcus_sp_P6	0	11	765	55	740	474	502	601	677	368
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	20	821	52	803	543	572	667	746	442
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	9	793	48	772	516	563	654	722	412
GCA_002214585@Thermococcus_profundus_DT_5432	0	18	788	46	770	525	559	649	719	409
GCA_002214605@Thermococcus_chitonophagus	0	34	864	91	847	712	725	757	809	636
GCA_006274605@Thermococcus_indicus_IOH1	0	24	818	46	798	520	568	659	743	417
GCA_008152015@Thermococcus_aciditolerans_SY113	0	23	823	51	800	521	579	662	741	408
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	1	111	1000	461	1000	1000	1000	1000	1000	1000
GCA_020386975@Thermococcus_bergensis_T7324	0	8	818	69	791	625	641	675	737	506
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	798	55	776	617	634	671	729	500
GCA_024022995@Thermococcus_aggregans_TY	0	10	802	59	775	606	624	671	731	492
GCA_024707485@Thermococcus_sp_813A4	0	17	817	50	798	536	569	658	739	416
GCA_028471785@Thermococcus_kodakarensis_TS900	0	20	837	50	817	578	623	683	751	473
