	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	17	837	50	824	568	626	705	775	449
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	42	910	107	896	754	775	831	867	721
GCA_000011105@Pyrococcus_horikoshii_OT3	0	7	838	49	822	538	604	700	764	422
GCA_000018365@Thermococcus_onnurineus_NA1	0	31	860	88	846	701	740	782	808	661
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	44	888	105	874	744	766	812	845	719
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	826	43	813	533	598	705	766	398
GCA_000151105@Thermococcus_barophilus_MP	0	15	851	51	835	598	640	739	794	496
GCA_000151205@Thermococcus_sp_AM4	0	49	895	99	884	762	785	826	857	738
GCA_000195935@Pyrococcus_abyssi_GE5	0	11	823	43	806	580	627	710	759	476
GCA_000211475@Pyrococcus_sp_NA2	0	15	842	46	825	564	629	709	763	463
GCA_000215995@Pyrococcus_yayanosii_CH1	0	15	839	58	824	617	659	733	777	559
GCA_000221185@Thermococcus_sp_4557	0	30	879	102	866	720	745	787	827	689
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	882	50	867	642	691	769	826	535
GCA_000258515@Thermococcus_zilligii_AN1	2	98	1000	493	1000	1000	1000	1000	1000	1000
GCA_000263735@Pyrococcus_sp_ST04	0	16	841	45	823	564	618	699	775	439
GCA_000265525@Thermococcus_cleftensis_CL1	0	33	876	104	861	731	761	804	823	698
GCA_000275605@Pyrococcus_furiosus_COM1	0	17	837	51	823	566	620	707	774	447
GCA_000517445@Thermococcus_paralvinellae_ES1	0	15	825	47	812	582	630	722	764	461
GCA_000585495@Thermococcus_nautili_30_1	0	40	883	98	871	715	750	803	826	681
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	850	44	840	620	649	746	788	500
GCA_000769655@Thermococcus_eurythermalis_A501	0	41	913	95	899	750	788	834	855	716
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	43	891	108	882	757	781	827	848	722
GCA_001433455@Thermococcus_barophilus_CH5	0	19	886	48	875	619	671	764	818	505
GCA_001484685@Thermococcus_sp_2319x1	0	10	862	50	846	641	687	764	812	535
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	14	855	44	832	596	631	724	785	477
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	33	897	105	883	741	766	821	849	710
GCA_001647085@Thermococcus_piezophilus_CDGS	0	26	849	79	828	679	724	765	787	639
GCA_002197185@Thermococcus_sp_5_4	0	17	848	94	836	704	735	774	795	666
GCA_002214365@Thermococcus_celer_Vu_13	0	26	863	86	854	722	746	791	818	667
GCA_002214385@Thermococcus_gorgonarius_W_12	0	47	866	236	851	797	803	817	828	791
GCA_002214465@Thermococcus_barossii_SHCK_94	0	22	864	92	848	703	732	785	812	666
GCA_002214485@Thermococcus_pacificus_P4	0	33	867	141	859	751	775	816	831	725
GCA_002214505@Thermococcus_siculi_RG_20	0	26	862	108	853	718	748	791	815	689
GCA_002214525@Thermococcus_sp_P6	0	17	825	72	804	657	683	740	760	621
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	32	881	95	865	720	745	801	828	681
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	18	859	90	840	706	734	783	802	670
GCA_002214585@Thermococcus_profundus_DT_5432	0	44	913	121	902	795	815	851	878	773
GCA_002214605@Thermococcus_chitonophagus	0	12	844	50	828	592	657	731	781	492
GCA_006274605@Thermococcus_indicus_IOH1	0	37	914	104	900	753	777	838	862	713
GCA_008152015@Thermococcus_aciditolerans_SY113	0	34	894	104	881	738	769	813	840	705
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	17	838	50	825	572	625	712	775	449
GCA_020386975@Thermococcus_bergensis_T7324	0	8	849	55	833	623	665	754	790	534
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	12	833	46	815	529	594	701	774	389
GCA_024022995@Thermococcus_aggregans_TY	0	6	838	58	818	606	646	730	781	515
GCA_024707485@Thermococcus_sp_813A4	0	28	884	101	871	741	754	810	831	695
GCA_028471785@Thermococcus_kodakarensis_TS900	0	42	908	106	894	753	775	831	866	718
GCA_028471865@Thermococcus_kodakarensis_TS901	0	42	908	106	895	754	774	832	866	717
GCA_035621495@Thermococcus_sp_SY098	0	18	853	46	836	615	663	748	796	514
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	12	844	50	829	589	655	732	784	490
GCA_900198835@Thermococcus_henrietii_EXT12c	0	43	896	97	880	729	754	809	839	684
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	10	861	56	844	642	682	757	811	541
GCA_904067545@Thermococcus_camini_IRI35c	0	41	879	106	871	735	760	805	838	708
Palaeococcus_helgesoni_DSM_15127	0	7	849	51	822	595	639	730	782	507
Pyrococcus_31_3	0	12	844	48	830	591	650	726	785	481
Pyrococcus_32_1	0	12	844	48	830	591	650	726	785	479
Pyrococcus_abyssi_GE2	0	13	822	43	805	583	625	704	755	479
Pyrococcus_endeavori_ES4	0	14	835	45	818	548	611	684	765	428
Pyrococcus_EXT16	0	13	836	46	824	585	634	721	773	489
