	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	16	773	36	754	456	504	591	674	343
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	60	872	131	859	685	713	764	807	668
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	778	33	759	498	532	624	696	386
GCA_000018365@Thermococcus_onnurineus_NA1	0	31	822	95	803	620	651	713	737	584
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	66	883	124	870	725	747	798	826	695
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	768	45	747	458	500	626	687	340
GCA_000151105@Thermococcus_barophilus_MP	0	17	820	55	797	525	579	679	732	414
GCA_000151205@Thermococcus_sp_AM4	0	76	909	131	897	754	775	829	863	724
GCA_000195935@Pyrococcus_abyssi_GE5	0	14	784	34	762	500	545	626	689	408
GCA_000211475@Pyrococcus_sp_NA2	0	13	778	32	753	484	528	606	683	381
GCA_000215995@Pyrococcus_yayanosii_CH1	0	16	781	40	758	517	556	632	692	451
GCA_000221185@Thermococcus_sp_4557	0	40	846	121	830	659	684	739	777	628
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	831	46	808	566	582	691	749	448
GCA_000258515@Thermococcus_zilligii_AN1	0	33	829	123	808	678	696	731	763	643
GCA_000263735@Pyrococcus_sp_ST04	0	16	780	32	761	498	540	621	686	380
GCA_000265525@Thermococcus_cleftensis_CL1	0	36	831	102	813	631	664	721	750	596
GCA_000275605@Pyrococcus_furiosus_COM1	0	16	774	36	754	463	503	592	673	344
GCA_000517445@Thermococcus_paralvinellae_ES1	0	18	792	44	765	513	553	647	706	404
GCA_000585495@Thermococcus_nautili_30_1	0	50	871	99	855	667	696	759	794	635
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	795	41	773	526	551	643	709	409
GCA_000769655@Thermococcus_eurythermalis_A501	0	37	863	89	849	662	692	762	800	622
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	46	866	108	855	703	733	786	805	675
GCA_001433455@Thermococcus_barophilus_CH5	0	19	844	51	819	541	591	692	756	435
GCA_001484685@Thermococcus_sp_2319x1	0	10	781	46	764	541	571	658	709	457
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	17	819	36	795	519	563	652	720	436
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	37	860	144	847	682	710	760	797	652
GCA_001647085@Thermococcus_piezophilus_CDGS	0	23	788	89	760	595	627	680	709	546
GCA_002197185@Thermococcus_sp_5_4	0	29	824	108	807	651	686	726	756	622
GCA_002214365@Thermococcus_celer_Vu_13	0	25	812	92	796	614	651	714	747	585
GCA_002214385@Thermococcus_gorgonarius_W_12	0	45	816	116	796	655	668	712	749	614
GCA_002214465@Thermococcus_barossii_SHCK_94	0	33	847	113	832	655	692	745	783	625
GCA_002214485@Thermococcus_pacificus_P4	0	31	809	111	791	641	658	716	745	609
GCA_002214505@Thermococcus_siculi_RG_20	0	39	852	133	837	673	694	751	783	647
GCA_002214525@Thermococcus_sp_P6	0	22	755	59	735	549	581	634	673	524
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	45	847	118	831	636	663	730	772	599
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	32	838	108	825	660	687	744	775	628
GCA_002214585@Thermococcus_profundus_DT_5432	0	117	1000	512	1000	999	999	1000	1000	998
GCA_002214605@Thermococcus_chitonophagus	0	17	797	38	774	521	547	640	702	410
GCA_006274605@Thermococcus_indicus_IOH1	0	44	877	109	856	678	709	775	809	636
GCA_008152015@Thermococcus_aciditolerans_SY113	0	42	858	111	839	651	691	747	781	624
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	16	773	36	753	454	505	593	675	344
GCA_020386975@Thermococcus_bergensis_T7324	0	14	783	43	762	533	573	658	711	431
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	780	47	751	468	498	614	697	316
GCA_024022995@Thermococcus_aggregans_TY	0	11	791	45	770	518	559	647	700	421
GCA_024707485@Thermococcus_sp_813A4	0	39	849	109	830	648	680	740	782	601
GCA_028471785@Thermococcus_kodakarensis_TS900	0	60	870	131	857	683	706	760	804	665
GCA_028471865@Thermococcus_kodakarensis_TS901	0	60	870	131	857	682	711	762	808	664
GCA_035621495@Thermococcus_sp_SY098	0	18	818	53	798	529	573	678	734	436
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	17	797	38	773	523	550	642	703	410
GCA_900198835@Thermococcus_henrietii_EXT12c	0	42	864	97	852	661	693	762	791	632
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	787	44	768	534	565	646	716	451
GCA_904067545@Thermococcus_camini_IRI35c	0	57	854	114	833	648	690	737	780	617
Palaeococcus_helgesoni_DSM_15127	0	9	779	42	750	501	545	639	699	429
Pyrococcus_31_3	0	16	802	37	779	518	548	638	695	420
Pyrococcus_32_1	0	16	802	37	778	517	548	640	697	418
Pyrococcus_abyssi_GE2	0	16	783	35	759	495	543	620	687	405
Pyrococcus_endeavori_ES4	0	15	775	31	752	484	524	615	675	370
Pyrococcus_EXT16	0	13	798	37	775	514	542	635	700	415
Pyrococcus_sp_32_3	0	16	802	36	778	516	543	639	697	416
Pyrococcus_sp_32_4	0	16	802	37	777	521	545	637	697	419
Pyrococcus_sp_EXT_15c	0	15	802	37	784	518	547	644	715	427
Pyrococcus_sp_GE_23	0	16	782	33	755	498	544	612	683	414
Pyrococcus_sp_IRI_42C	0	12	771	29	745	429	489	582	674	318
Thermococcus_15_2	0	28	827	103	803	617	653	706	753	588
Thermococcus_23_2	0	29	824	106	807	651	687	726	758	623
Thermococcus_29_3	0	49	867	104	850	663	698	761	797	633
Thermococcus_31_3	0	36	830	104	817	630	660	713	751	591
Thermococcus_aegaeus_DSM_12767	0	10	791	47	768	530	564	647	712	433
Thermococcus_aggregans_DSM_12819	0	11	792	45	771	514	558	647	700	417
Thermococcus_alcaliphilus_DSM_10322	0	13	798	49	777	541	575	656	716	445
Thermococcus_AMTc11	0	43	874	104	857	686	713	780	814	638
Thermococcus_AMTc30	0	43	855	96	843	665	691	756	784	624
Thermococcus_AMTc51	0	44	848	98	838	654	692	749	785	620
Thermococcus_AMTc85	0	41	847	96	835	640	680	736	763	607
Thermococcus_atlanticus_DSM_15226	0	25	844	61	828	603	648	720	765	542
Thermococcus_barophilus_423_3_23	0	17	804	53	781	517	567	659	719	418
Thermococcus_barophilus_CH1	0	15	830	53	808	527	586	684	744	429
Thermococcus_barophilus_DT4	0	23	809	45	786	510	553	654	709	409
Thermococcus_coalescens_TS1	0	42	840	103	827	627	671	727	772	606
Thermococcus_E15P35	0	52	870	105	854	668	696	764	798	636
Thermococcus_EXT11c	0	43	866	97	849	662	704	761	786	634
Thermococcus_fumicolans_ST557	0	76	901	192	874	770	794	817	841	764
Thermococcus_IRI_06c	0	42	852	104	837	650	675	749	769	610
Thermococcus_IRI15c	0	53	860	112	840	652	692	737	779	621
Thermococcus_marinus_DSM_15227	0	42	868	92	853	657	695	759	801	621
Thermococcus_prieuri_Col3	0	30	826	104	804	616	654	704	751	584
Thermococcus_profundus_DSM_9503	0	118	1000	515	1000	1000	1000	1000	1000	1000
Thermococcus_sp_23_4	0	29	824	106	806	651	685	725	759	619
Thermococcus_sp_26_2	0	49	850	89	830	641	676	735	768	611
Thermococcus_sp_33_3	0	50	872	98	857	670	698	765	796	634
Thermococcus_sp_9_3	0	53	876	105	860	679	709	771	805	646
Thermococcus_sp_AMTc09	0	48	852	90	836	644	680	741	773	613
Thermococcus_sp_AMTc102	0		850	92	835	644	679	739	772	612
Thermococcus_sp_AMTc71	0	43	856	113	837	671	705	755	783	636
Thermococcus_sp_AMTc72	0	43	856	113	836	669	703	755	782	636
Thermococcus_sp_AMTc79	0	37	850	101	836	661	686	751	780	629
Thermococcus_sp_AMTc94	0	44	867	102	854	676	707	766	795	638
Thermococcus_sp_CIR_03a	0	33	869	110	857	673	714	768	802	636
Thermococcus_sp_CIR_10a	0	22	834	45	809	532	579	674	737	420
