	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	27	795	36	759	523	554	635	702	402
GCA_000009965@Thermococcus_kodakarensis_KOD1	1	225	1000	521	1000	1000	1000	1000	1000	1000
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	794	32	758	508	549	612	681	410
GCA_000018365@Thermococcus_onnurineus_NA1	0	44	817	92	785	624	662	697	724	598
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	65	849	95	809	628	655	707	753	599
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	796	38	756	478	528	622	691	388
GCA_000151105@Thermococcus_barophilus_MP	0	29	825	42	794	552	586	675	733	456
GCA_000151205@Thermococcus_sp_AM4	0	68	844	90	811	624	658	718	751	596
GCA_000195935@Pyrococcus_abyssi_GE5	0	19	797	40	761	509	558	624	683	443
GCA_000211475@Pyrococcus_sp_NA2	0	24	812	39	775	522	554	638	708	415
GCA_000215995@Pyrococcus_yayanosii_CH1	0	25	805	48	767	534	575	637	697	491
GCA_000221185@Thermococcus_sp_4557	0	66	842	99	813	638	666	718	754	613
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	25	864	49	825	603	634	703	771	529
GCA_000258515@Thermococcus_zilligii_AN1	0	43	833	93	797	631	660	704	743	592
GCA_000263735@Pyrococcus_sp_ST04	0	24	784	44	746	501	549	617	677	418
GCA_000265525@Thermococcus_cleftensis_CL1	0	75	843	104	810	644	669	718	757	625
GCA_000275605@Pyrococcus_furiosus_COM1	0	27	794	37	758	523	559	634	702	406
GCA_000517445@Thermococcus_paralvinellae_ES1	0	27	806	41	767	536	565	653	711	448
GCA_000585495@Thermococcus_nautili_30_1	0	82	864	122	835	676	701	745	785	645
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	788	37	756	531	555	642	695	430
GCA_000769655@Thermococcus_eurythermalis_A501	0	94	883	120	855	702	739	785	810	681
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	67	851	108	818	641	672	727	760	603
GCA_001433455@Thermococcus_barophilus_CH5	0	44	864	44	833	569	610	706	759	487
GCA_001484685@Thermococcus_sp_2319x1	0	27	819	44	784	581	614	676	733	501
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	27	831	44	794	550	590	648	719	450
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	77	857	280	831	746	752	766	788	740
GCA_001647085@Thermococcus_piezophilus_CDGS	0	54	834	81	790	616	650	690	736	573
GCA_002197185@Thermococcus_sp_5_4	0	45	811	105	780	635	669	698	723	611
GCA_002214365@Thermococcus_celer_Vu_13	0	38	828	83	793	623	668	709	748	596
GCA_002214385@Thermococcus_gorgonarius_W_12	0	46	802	106	765	615	635	674	715	587
GCA_002214465@Thermococcus_barossii_SHCK_94	0	51	837	99	808	648	666	719	752	606
GCA_002214485@Thermococcus_pacificus_P4	0	55	819	109	789	661	681	718	747	640
GCA_002214505@Thermococcus_siculi_RG_20	0	57	840	128	810	653	681	720	758	626
GCA_002214525@Thermococcus_sp_P6	0	29	756	59	724	555	583	633	667	521
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	87	879	109	848	659	697	753	793	618
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	43	818	99	791	633	663	711	741	611
GCA_002214585@Thermococcus_profundus_DT_5432	0	63	833	137	806	658	682	721	765	640
GCA_002214605@Thermococcus_chitonophagus	0	24	825	41	781	553	590	657	705	468
GCA_006274605@Thermococcus_indicus_IOH1	0	83	877	111	854	682	718	763	803	663
GCA_008152015@Thermococcus_aciditolerans_SY113	0	100	888	118	863	676	731	773	808	648
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	27	795	37	762	526	562	638	706	405
GCA_020386975@Thermococcus_bergensis_T7324	0	14	776	47	739	544	565	639	690	470
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	21	810	39	775	493	535	629	705	373
GCA_024022995@Thermococcus_aggregans_TY	0	23	798	42	759	544	568	644	695	456
GCA_024707485@Thermococcus_sp_813A4	0	67	863	100	832	649	685	732	783	612
GCA_028471785@Thermococcus_kodakarensis_TS900	1	225	999	520	999	997	997	998	998	997
GCA_028471865@Thermococcus_kodakarensis_TS901	1	225	998	520	998	995	995	996	997	995
GCA_035621495@Thermococcus_sp_SY098	0	40	850	40	818	557	595	688	750	463
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	24	827	41	781	554	586	660	708	468
GCA_900198835@Thermococcus_henrietii_EXT12c	0	78	872	120	848	679	717	751	796	647
