	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	6	788	22	771	596	616	659	713	481
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	13	822	25	804	582	611	686	744	498
GCA_000011105@Pyrococcus_horikoshii_OT3	0	4	750	14	727	525	548	600	658	407
GCA_000018365@Thermococcus_onnurineus_NA1	0	7	758	27	744	563	590	639	688	481
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	12	754	22	742	500	541	599	658	415
GCA_000022545@Thermococcus_sibiricus_MM_739	0	15	804	34	788	687	694	712	752	665
GCA_000151105@Thermococcus_barophilus_MP	0	17	811	37	799	671	683	721	752	603
GCA_000151205@Thermococcus_sp_AM4	0	10	744	24	728	500	534	614	659	430
GCA_000195935@Pyrococcus_abyssi_GE5	0	4	761	22	744	540	560	623	675	431
GCA_000211475@Pyrococcus_sp_NA2	0	9	782	23	758	550	583	629	696	446
GCA_000215995@Pyrococcus_yayanosii_CH1	0	3	762	19	737	522	557	628	683	453
GCA_000221185@Thermococcus_sp_4557	0	6	773	25	759	531	585	654	699	468
GCA_000246985@Thermococcus_litoralis_DSM_5473	1	112	1000	593	1000	1000	1000	1000	1000	1000
GCA_000258515@Thermococcus_zilligii_AN1	0	8	758	20	737	530	557	611	670	460
GCA_000263735@Pyrococcus_sp_ST04	0	4	742	25	723	539	541	599	662	428
GCA_000265525@Thermococcus_cleftensis_CL1	0	3	751	26	735	517	553	612	673	436
GCA_000275605@Pyrococcus_furiosus_COM1	0	6	787	22	770	593	612	657	712	478
GCA_000517445@Thermococcus_paralvinellae_ES1	0	9	790	26	777	651	657	696	730	586
GCA_000585495@Thermococcus_nautili_30_1	0	5	767	26	746	521	554	630	683	440
GCA_000725425@Palaeococcus_pacificus_DY20341	0	4	781	24	764	625	644	680	715	558
GCA_000769655@Thermococcus_eurythermalis_A501	0	9	794	33	779	552	592	657	710	466
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	5	763	32	752	537	577	636	682	452
GCA_001433455@Thermococcus_barophilus_CH5	0	21	838	40	823	695	713	748	776	630
GCA_001484685@Thermococcus_sp_2319x1	0	25	846	17	832	746	760	772	796	739
