	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	3	833	24	817	647	648	702	755	514
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	5	833	17	815	587	625	700	750	511
GCA_000011105@Pyrococcus_horikoshii_OT3	0	1	793	21	776	582	607	665	712	466
GCA_000018365@Thermococcus_onnurineus_NA1	0	3	801	21	786	596	640	699	734	531
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	3	805	19	789	541	581	654	717	459
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	869	33	855	781	781	799	818	762
GCA_000151105@Thermococcus_barophilus_MP	0	9	878	23	867	739	767	788	831	686
GCA_000151205@Thermococcus_sp_AM4	0	4	807	18	793	525	581	667	718	456
GCA_000195935@Pyrococcus_abyssi_GE5	0	2	806	14	792	578	601	668	723	469
GCA_000211475@Pyrococcus_sp_NA2	0	4	804	22	784	606	621	673	733	489
GCA_000215995@Pyrococcus_yayanosii_CH1	0	1	804	21	787	564	600	670	721	474
GCA_000221185@Thermococcus_sp_4557	0	6	852	18	836	591	636	706	760	489
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	15	931	22	919	877	880	888	900	868
GCA_000258515@Thermococcus_zilligii_AN1	0	5	793	22	777	552	592	664	728	471
GCA_000263735@Pyrococcus_sp_ST04	0	3	808	18	788	582	610	656	719	482
GCA_000265525@Thermococcus_cleftensis_CL1	0	5	834	16	813	585	617	698	746	475
GCA_000275605@Pyrococcus_furiosus_COM1	0	3	831	26	814	643	646	705	754	512
GCA_000517445@Thermococcus_paralvinellae_ES1	0	6	849	19	837	719	735	757	801	663
GCA_000585495@Thermococcus_nautili_30_1	0	4	813	23	799	554	590	684	735	455
GCA_000725425@Palaeococcus_pacificus_DY20341	0	5	847	19	835	713	730	760	792	633
GCA_000769655@Thermococcus_eurythermalis_A501	0	5	823	24	803	569	612	690	741	472
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	4	816	25	803	575	604	673	731	493
