	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	16	809	10	788	538	568	645	718	426
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	40	887	20	875	711	740	790	823	672
GCA_000011105@Pyrococcus_horikoshii_OT3	0	6	794	12	767	514	557	624	704	413
GCA_000018365@Thermococcus_onnurineus_NA1	0	108	1000	517	1000	1000	1000	1000	1000	1000
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	35	863	22	846	678	713	764	794	636
GCA_000022545@Thermococcus_sibiricus_MM_739	0	17	812	16	798	572	603	685	737	467
GCA_000151105@Thermococcus_barophilus_MP	0	21	873	17	863	670	720	776	823	584
GCA_000151205@Thermococcus_sp_AM4	0	35	868	21	855	691	722	780	808	658
GCA_000195935@Pyrococcus_abyssi_GE5	0	11	812	14	793	570	611	673	733	486
GCA_000211475@Pyrococcus_sp_NA2	0	9	818	13	795	550	599	666	735	474
GCA_000215995@Pyrococcus_yayanosii_CH1	0	17	832	18	810	629	660	708	757	577
GCA_000221185@Thermococcus_sp_4557	0	47	865	25	852	739	760	797	820	718
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	852	17	836	642	685	748	783	542
GCA_000258515@Thermococcus_zilligii_AN1	0	27	849	15	832	658	687	720	769	621
GCA_000263735@Pyrococcus_sp_ST04	0	17	830	14	806	563	597	672	738	459
GCA_000265525@Thermococcus_cleftensis_CL1	0	54	892	36	877	740	760	795	825	726
GCA_000275605@Pyrococcus_furiosus_COM1	0	17	809	10	788	540	569	646	718	426
GCA_000517445@Thermococcus_paralvinellae_ES1	0	21	876	20	863	696	744	791	821	610
GCA_000585495@Thermococcus_nautili_30_1	0	38	884	29	869	709	745	790	826	685
GCA_000725425@Palaeococcus_pacificus_DY20341	0	20	860	17	850	629	672	751	795	531
GCA_000769655@Thermococcus_eurythermalis_A501	0	32	870	30	856	702	730	783	812	672
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	24	840	22	828	669	699	749	771	629
GCA_001433455@Thermococcus_barophilus_CH5	0	23	896	19	880	691	734	806	846	606
GCA_001484685@Thermococcus_sp_2319x1	0	13	841	14	823	612	650	712	769	539
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	14	822	11	804	577	619	678	735	492
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	29	879	24	870	702	741	788	824	675
GCA_001647085@Thermococcus_piezophilus_CDGS	0	47	894	29	876	797	804	826	843	787
GCA_002197185@Thermococcus_sp_5_4	0	39	876	28	864	755	768	801	825	733
GCA_002214365@Thermococcus_celer_Vu_13	0	33	860	27	846	739	754	781	812	719
GCA_002214385@Thermococcus_gorgonarius_W_12	0	29	832	17	817	639	692	731	764	608
GCA_002214465@Thermococcus_barossii_SHCK_94	0	41	883	25	872	747	769	797	824	730
GCA_002214485@Thermococcus_pacificus_P4	0	37	846	34	831	722	743	772	793	687
GCA_002214505@Thermococcus_siculi_RG_20	0	43	873	33	861	734	750	790	815	711
GCA_002214525@Thermococcus_sp_P6	0	22	792	21	777	644	666	700	728	621
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	48	889	26	884	758	785	811	843	746
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	39	874	24	863	752	764	789	824	728
GCA_002214585@Thermococcus_profundus_DT_5432	0	30	864	29	844	689	713	766	794	643
GCA_002214605@Thermococcus_chitonophagus	0	13	838	12	819	578	613	696	745	505
GCA_006274605@Thermococcus_indicus_IOH1	0	42	886	30	872	748	779	807	832	738
GCA_008152015@Thermococcus_aciditolerans_SY113	0	51	898	25	889	772	800	829	855	756
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	17	809	10	787	536	570	647	719	426
GCA_020386975@Thermococcus_bergensis_T7324	0	11	824	15	807	613	672	724	763	536
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	11	848	12	836	598	634	713	765	458
GCA_024022995@Thermococcus_aggregans_TY	0	14	828	17	810	617	659	712	761	532
GCA_024707485@Thermococcus_sp_813A4	0	52	904	28	896	798	824	847	867	780
GCA_028471785@Thermococcus_kodakarensis_TS900	0	40	886	20	875	708	738	787	823	669
GCA_028471865@Thermococcus_kodakarensis_TS901	0	40	886	20	874	713	738	785	823	671
GCA_035621495@Thermococcus_sp_SY098	0	24	868	21	860	657	725	778	818	588
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	13	838	12	818	586	615	698	748	507
GCA_900198835@Thermococcus_henrietii_EXT12c	0	39	890	20	875	703	739	798	834	670
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	11	833	17	815	607	643	712	763	530
GCA_904067545@Thermococcus_camini_IRI35c	0	54	878	26	864	739	764	796	820	727
Palaeococcus_helgesoni_DSM_15127	0	14	837	15	822	606	644	717	768	511
Pyrococcus_31_3	0	13	852	8	831	592	634	715	762	511
Pyrococcus_32_1	0	13	852	8	831	593	632	713	762	514
Pyrococcus_abyssi_GE2	0	13	810	13	789	571	607	664	733	475
Pyrococcus_endeavori_ES4	0	12	827	15	803	557	591	663	733	448
Pyrococcus_EXT16	0	13	846	12	826	593	624	712	755	515
Pyrococcus_sp_32_3	0	13	852	8	832	590	631	714	763	514
Pyrococcus_sp_32_4	0	13	852	8	831	592	635	716	762	513
Pyrococcus_sp_EXT_15c	0	17	831	12	811	566	610	685	747	492
Pyrococcus_sp_GE_23	0	13	803	11	784	550	597	662	724	476
Pyrococcus_sp_IRI_42C	0	11	804	11	781	546	584	655	718	435
Thermococcus_15_2	0	36	880	29	860	705	723	765	805	665
Thermococcus_23_2	0	39	876	26	864	755	769	799	824	734
Thermococcus_29_3	0	38	875	32	860	685	735	775	811	666
Thermococcus_31_3	0	46	883	27	874	745	763	794	829	731
Thermococcus_aegaeus_DSM_12767	0	11	839	16	824	605	652	716	766	521
Thermococcus_aggregans_DSM_12819	0	14	828	17	810	623	661	713	761	541
Thermococcus_alcaliphilus_DSM_10322	0	11	849	20	836	628	668	732	779	543
Thermococcus_AMTc11	0	41	907	34	899	789	803	836	859	760
Thermococcus_AMTc30	0	38	890	26	874	718	749	801	830	687
Thermococcus_AMTc51	0	34	886	26	878	711	744	794	831	687
Thermococcus_AMTc85	0	38	893	28	881	710	748	800	837	690
Thermococcus_atlanticus_DSM_15226	0	26	883	26	871	699	736	789	831	656
Thermococcus_barophilus_423_3_23	0	25	869	22	856	670	715	776	812	590
Thermococcus_barophilus_CH1	0	25	873	19	863	668	720	778	821	584
Thermococcus_barophilus_DT4	0	29	878	22	864	693	727	783	814	608
Thermococcus_coalescens_TS1	0	47	897	30	881	761	783	814	840	748
Thermococcus_E15P35	0	39	877	29	864	696	745	788	820	682
Thermococcus_EXT11c	0	39	885	24	863	705	735	794	826	680
Thermococcus_fumicolans_ST557	0	34	874	19	856	685	719	761	793	658
Thermococcus_IRI_06c	0	58	902	33	889	794	811	834	856	765
Thermococcus_IRI15c	0	52	891	25	876	743	775	806	830	730
Thermococcus_marinus_DSM_15227	0	36	882	28	865	713	739	790	816	683
Thermococcus_prieuri_Col3	0	35	886	32	871	715	737	775	814	678
Thermococcus_profundus_DSM_9503	0	30	861	28	841	682	710	766	793	646
Thermococcus_sp_23_4	0	39	876	26	864	754	768	799	825	736
Thermococcus_sp_26_2	0	39	856	20	837	672	708	755	783	646
Thermococcus_sp_33_3	0	40	886	29	874	712	747	793	825	684
Thermococcus_sp_9_3	0	41	882	33	869	709	747	794	819	680
Thermococcus_sp_AMTc09	0	37	856	20	834	662	700	750	777	641
Thermococcus_sp_AMTc102	0	36	854	24	834	668	700	754	778	641
