	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	22	876	81	867	755	764	794	832	690
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	15	857	38	839	595	654	727	780	484
GCA_000011105@Pyrococcus_horikoshii_OT3	0	77	1000	371	1000	1000	1000	1000	1000	1000
GCA_000018365@Thermococcus_onnurineus_NA1	0	9	795	36	777	558	599	670	726	453
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	16	812	35	795	516	584	668	737	424
GCA_000022545@Thermococcus_sibiricus_MM_739	0	5	805	34	780	593	617	673	734	454
GCA_000151105@Thermococcus_barophilus_MP	0	9	839	45	823	630	659	711	778	527
GCA_000151205@Thermococcus_sp_AM4	0	20	817	38	797	527	588	675	745	424
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	879	110	874	803	810	832	847	755
GCA_000211475@Pyrococcus_sp_NA2	0	27	906	103	898	826	836	858	880	765
GCA_000215995@Pyrococcus_yayanosii_CH1	0	20	869	54	852	663	689	755	806	568
GCA_000221185@Thermococcus_sp_4557	0	16	835	38	816	534	581	679	754	395
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	10	871	41	851	669	680	745	799	532
GCA_000258515@Thermococcus_zilligii_AN1	0	9	826	35	805	551	601	686	746	453
GCA_000263735@Pyrococcus_sp_ST04	0	19	894	80	885	776	789	814	847	707
GCA_000265525@Thermococcus_cleftensis_CL1	0	12	813	34	794	525	583	662	743	408
GCA_000275605@Pyrococcus_furiosus_COM1	0	23	874	83	864	751	758	791	829	688
GCA_000517445@Thermococcus_paralvinellae_ES1	0	10	810	39	793	603	626	685	737	495
GCA_000585495@Thermococcus_nautili_30_1	0	13	834	43	816	552	609	706	774	443
GCA_000725425@Palaeococcus_pacificus_DY20341	0	5	822	34	805	586	615	698	748	432
GCA_000769655@Thermococcus_eurythermalis_A501	0	15	861	37	841	555	622	703	785	439
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	12	826	37	807	563	616	690	764	439
GCA_001433455@Thermococcus_barophilus_CH5	0	13	875	39	855	651	686	740	808	537
GCA_001484685@Thermococcus_sp_2319x1	0	6	832	37	813	627	655	714	775	489
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	21	904	76	889	776	803	829	862	709
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	10	833	37	813	584	626	707	763	470
GCA_001647085@Thermococcus_piezophilus_CDGS	0	7	784	34	758	537	583	642	702	438
GCA_002197185@Thermococcus_sp_5_4	0	7	808	30	793	549	596	686	747	436
GCA_002214365@Thermococcus_celer_Vu_13	0	9	808	33	788	511	574	661	744	405
GCA_002214385@Thermococcus_gorgonarius_W_12	0	10	784	34	766	553	588	656	712	446
GCA_002214465@Thermococcus_barossii_SHCK_94	0	9	823	35	811	560	616	684	760	454
GCA_002214485@Thermococcus_pacificus_P4	0	7	799	33	781	530	589	672	737	430
GCA_002214505@Thermococcus_siculi_RG_20	0	12	824	37	807	576	616	697	752	447
GCA_002214525@Thermococcus_sp_P6	0	3	781	29	758	505	548	640	707	405
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	9	828	41	811	538	604	679	751	430
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	5	823	35	806	571	598	695	761	441
GCA_002214585@Thermococcus_profundus_DT_5432	0	11	832	37	818	573	625	699	762	459
GCA_002214605@Thermococcus_chitonophagus	0	20	898	76	890	778	803	830	861	701
GCA_006274605@Thermococcus_indicus_IOH1	0	18	847	38	819	548	606	691	765	429
GCA_008152015@Thermococcus_aciditolerans_SY113	0	15	844	32	820	521	587	684	752	422
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	23	874	82	865	755	763	792	829	690
GCA_020386975@Thermococcus_bergensis_T7324	0	4	823	41	807	611	649	702	755	483
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	8	816	42	794	592	613	684	740	463
GCA_024022995@Thermococcus_aggregans_TY	0	8	839	34	824	615	644	720	767	478
GCA_024707485@Thermococcus_sp_813A4	0	10	834	37	819	556	612	685	764	439
GCA_028471785@Thermococcus_kodakarensis_TS900	0	15	856	38	837	594	653	723	779	486
GCA_028471865@Thermococcus_kodakarensis_TS901	0	15	856	38	838	596	651	724	780	490
GCA_035621495@Thermococcus_sp_SY098	0	13	855	40	836	637	669	725	786	531
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	20	899	75	892	782	806	833	864	706
GCA_900198835@Thermococcus_henrietii_EXT12c	0	16	849	40	829	562	614	704	780	443
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	830	37	816	635	663	720	778	491
GCA_904067545@Thermococcus_camini_IRI35c	0	15	829	32	807	542	592	678	753	428
Palaeococcus_helgesoni_DSM_15127	0	14	829	32	803	579	613	693	749	430
Pyrococcus_31_3	0	18	898	74	890	775	795	830	857	709
Pyrococcus_32_1	0	18	898	74	890	771	795	830	858	709
Pyrococcus_abyssi_GE2	0	30	898	108	890	811	817	842	861	760
Pyrococcus_endeavori_ES4	0	20	882	81	870	766	775	802	837	694
Pyrococcus_EXT16	0	21	893	72	884	773	791	822	854	701
Pyrococcus_sp_32_3	0	18	898	73	890	771	794	830	858	707
Pyrococcus_sp_32_4	0	18	898	74	890	773	794	829	858	709
Pyrococcus_sp_EXT_15c	0	15	876	76	870	769	791	812	843	695
Pyrococcus_sp_GE_23	0	24	877	112	873	801	808	826	851	753
Pyrococcus_sp_IRI_42C	0	22	881	67	860	739	744	788	831	646
Thermococcus_15_2	0	6	795	28	778	551	591	671	731	424
Thermococcus_23_2	0	7	808	30	793	549	593	685	748	435
Thermococcus_29_3	0	14	823	39	805	538	597	692	764	438
Thermococcus_31_3	0	12	829	34	810	549	588	685	760	428
Thermococcus_aegaeus_DSM_12767	0	5	838	42	818	636	663	706	776	506
Thermococcus_aggregans_DSM_12819	0	8	839	34	825	617	644	719	769	478
Thermococcus_alcaliphilus_DSM_10322	0	6	832	42	813	630	648	708	770	507
Thermococcus_AMTc11	0	13	865	36	845	569	619	714	786	450
Thermococcus_AMTc30	0	14	820	38	801	534	595	679	753	423
Thermococcus_AMTc51	0	10	834	38	816	555	605	694	763	421
Thermococcus_AMTc85	0	11	820	33	797	539	595	675	743	419
Thermococcus_atlanticus_DSM_15226	0	15	866	39	852	588	655	738	803	485
Thermococcus_barophilus_423_3_23	0	8	845	39	825	636	658	716	775	517
Thermococcus_barophilus_CH1	0	13	863	43	845	647	675	730	796	536
Thermococcus_barophilus_DT4	0	13	819	37	796	599	626	682	741	485
Thermococcus_coalescens_TS1	0	10	833	42	819	537	605	695	773	438
Thermococcus_E15P35	0	15	844	41	825	549	606	703	773	428
Thermococcus_EXT11c	0	14	823	35	802	541	603	677	750	425
Thermococcus_fumicolans_ST557	0	12	822	38	801	550	582	686	756	427
Thermococcus_IRI_06c	0	20	827	34	806	546	587	680	750	413
Thermococcus_IRI15c	0	14	842	34	823	537	591	679	761	422
Thermococcus_marinus_DSM_15227	0	20	864	38	844	558	624	709	795	443
Thermococcus_prieuri_Col3	0	11	817	31	796	560	601	674	742	440
Thermococcus_profundus_DSM_9503	0	10	828	37	813	575	622	696	757	456
Thermococcus_sp_23_4	0	7	808	30	792	547	593	682	750	431
Thermococcus_sp_26_2	0	17	845	40	830	561	614	705	776	450
Thermococcus_sp_33_3	0	17	846	43	827	560	612	708	780	437
Thermococcus_sp_9_3	0	17	840	42	824	562	613	708	775	438
Thermococcus_sp_AMTc09	0	15	844	42	827	564	619	701	774	454
Thermococcus_sp_AMTc102	0	15	846	42	828	558	615	701	775	454
Thermococcus_sp_AMTc71	0	10	828	34	806	545	590	683	750	430
Thermococcus_sp_AMTc72	0	10	828	34	806	542	589	686	753	431
Thermococcus_sp_AMTc79	0	12	833	39	813	551	603	698	764	441
Thermococcus_sp_AMTc94	0	13	837	40	818	555	615	702	773	441
Thermococcus_sp_CIR_03a	0	9	846	34	827	578	614	708	773	456
Thermococcus_sp_CIR_10a	0	12	853	40	837	649	681	740	796	520
Thermococcus_sp_DS1	0	9	849	36	830	564	618	712	774	444
Thermococcus_sp_E10P11	0	12		41	814	546	610	694	771	441
Thermococcus_sp_E10P8	0	12	834	41	815	545	610	696	770	442
Thermococcus_sp_E15p33	0	15	843	41	825	548	604	703	773	435
Thermococcus_sp_EXT09c	0	15	833	37	815	550	612	685	760	429
Thermococcus_sp_IRI_05c	0	8	835	37	817	551	617	695	764	442
Thermococcus_sp_IRI10c	0	13	842	34	824	541	595	680	760	427
Thermococcus_sp_IRI14c	0	14	842	34	823	536	592	680	761	424
Thermococcus_sp_IRI24c	0	19	841	35	821	543	597	682	763	423
Thermococcus_sp_IRI25c	0	15	843	34	824	537	591	676	761	424
Thermococcus_sp_IRI27c2	0	19	841	34	822	544	597	681	762	426
Thermococcus_sp_IRI29c	0	19	841	34	821	540	596	680	762	424
Thermococcus_sp_IRI_33c	0	10	851	37	830	566	621	714	777	441
Thermococcus_sp_TPV	0	13	857	38	833	565	627	709	779	440
Thermococcus_sp_unknown	0	15	834	37	813	544	616	699	761	430
Thermococcus_stetteri_DSM_5262	0	11	840	42	827	586	631	716	777	472
Thermococcus_waiotapuensis_WT1	0	13	817	39	795	545	593	675	746	446
