	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	30	793	41	771	495	536	622	706	383
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	90	881	129	865	715	743	797	833	694
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	776	39	756	484	529	622	696	375
GCA_000018365@Thermococcus_onnurineus_NA1	0	41	780	107	767	633	660	699	731	609
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	65	819	144	799	644	667	712	746	628
GCA_000022545@Thermococcus_sibiricus_MM_739	0	18	762	51	742	484	542	623	686	354
GCA_000151105@Thermococcus_barophilus_MP	0	26	801	55	786	540	598	669	730	450
GCA_000151205@Thermococcus_sp_AM4	0	70	827	126	814	661	693	736	766	647
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	778	42	753	521	571	646	705	428
GCA_000211475@Pyrococcus_sp_NA2	0	29	787	50	762	489	549	629	700	397
GCA_000215995@Pyrococcus_yayanosii_CH1	0	27	791	59	768	545	592	657	711	501
GCA_000221185@Thermococcus_sp_4557	0	61	825	126	808	660	683	723	767	643
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	23	825	61	800	581	620	696	751	493
GCA_000258515@Thermococcus_zilligii_AN1	0	36	802	78	778	620	648	691	727	590
GCA_000263735@Pyrococcus_sp_ST04	0	24	773	46	748	475	537	612	688	380
GCA_000265525@Thermococcus_cleftensis_CL1	0	71	835	129	817	664	677	727	761	628
GCA_000275605@Pyrococcus_furiosus_COM1	0	32	793	42	771	492	537	620	706	380
GCA_000517445@Thermococcus_paralvinellae_ES1	0	21	779	52	756	543	588	650	717	441
GCA_000585495@Thermococcus_nautili_30_1	0	90	862	220	849	761	776	794	822	751
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	774	47	756	513	555	628	694	444
GCA_000769655@Thermococcus_eurythermalis_A501	2	205	1000	574	1000	1000	1000	1000	1000	1000
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	65	831	200	818	697	709	749	784	682
GCA_001433455@Thermococcus_barophilus_CH5	0	38	830	57	812	568	624	704	772	467
GCA_001484685@Thermococcus_sp_2319x1	0	25	795	49	766	545	590	655	707	473
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	25	805	49	779	539	573	650	719	452
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	58	830	111	812	681	695	744	772	645
GCA_001647085@Thermococcus_piezophilus_CDGS	0	36	790	101	766	602	630	681	710	583
GCA_002197185@Thermococcus_sp_5_4	0	44	785	121	767	645	661	697	727	614
GCA_002214365@Thermococcus_celer_Vu_13	0	35	797	98	773	622	651	695	731	597
GCA_002214385@Thermococcus_gorgonarius_W_12	0	40	785	96	765	624	654	690	727	589
GCA_002214465@Thermococcus_barossii_SHCK_94	0	43	806	115	786	645	671	702	739	628
GCA_002214485@Thermococcus_pacificus_P4	0	52	791	124	771	627	656	700	735	609
GCA_002214505@Thermococcus_siculi_RG_20	0	57	823	111	808	648	675	727	763	632
GCA_002214525@Thermococcus_sp_P6	0	26	730	69	710	560	586	628	660	534
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	57	833	143	814	658	687	723	758	625
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	40	792	113	774	639	665	694	733	622
GCA_002214585@Thermococcus_profundus_DT_5432	0	43	823	101	807	660	689	731	766	631
GCA_002214605@Thermococcus_chitonophagus	0	21	798	47	771	526	571	651	716	452
GCA_006274605@Thermococcus_indicus_IOH1	0	74	874	148	857	714	738	787	818	685
GCA_008152015@Thermococcus_aciditolerans_SY113	0	84	855	145	841	698	719	755	801	672
