	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	33	850	88	833	701	713	745	792	624
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	24	847	46	827	577	635	703	769	509
GCA_000011105@Pyrococcus_horikoshii_OT3	0	21	848	81	832	691	703	746	795	613
GCA_000018365@Thermococcus_onnurineus_NA1	0	13	778	48	756	557	607	659	711	487
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	24	809	44	787	540	593	657	718	482
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	785	42	748	547	566	631	697	422
GCA_000151105@Thermococcus_barophilus_MP	0	11	837	46	817	610	654	708	767	512
GCA_000151205@Thermococcus_sp_AM4	0	28	810	41	786	542	591	658	725	488
GCA_000195935@Pyrococcus_abyssi_GE5	0	31	859	84	844	725	745	769	814	667
GCA_000211475@Pyrococcus_sp_NA2	0	34	877	83	862	732	740	783	826	672
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	822	68	806	633	674	716	755	574
GCA_000221185@Thermococcus_sp_4557	0	14	795	47	774	524	572	647	711	455
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	850	42	825	618	646	702	770	507
GCA_000258515@Thermococcus_zilligii_AN1	0	16	784	45	756	517	566	639	700	455
GCA_000263735@Pyrococcus_sp_ST04	0	27	871	157	858	753	769	794	826	718
GCA_000265525@Thermococcus_cleftensis_CL1	0	15	797	43	773	534	583	647	717	458
GCA_000275605@Pyrococcus_furiosus_COM1	0	33	848	89	831	697	713	741	789	621
GCA_000517445@Thermococcus_paralvinellae_ES1	0	11	819	43	798	607	624	694	740	496
GCA_000585495@Thermococcus_nautili_30_1	0	25	830	46	814	563	627	690	757	498
GCA_000725425@Palaeococcus_pacificus_DY20341	0	6	791	36	769	564	595	657	714	446
GCA_000769655@Thermococcus_eurythermalis_A501	0	21	832	43	808	550	610	682	755	491
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	17	797	43	778	544	584	645	715	465
GCA_001433455@Thermococcus_barophilus_CH5	0	20	876	51	856	657	686	747	804	543
GCA_001484685@Thermococcus_sp_2319x1	0	10	811	44	784	603	613	667	724	478
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	48	897	250	876	813	822	834	858	807
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	16	807	43	787	552	600	670	733	478
GCA_001647085@Thermococcus_piezophilus_CDGS	0	18	781	48	745	546	585	645	697	468
GCA_002197185@Thermococcus_sp_5_4	0	10	800	47	781	538	593	658	724	470
GCA_002214365@Thermococcus_celer_Vu_13	0	13	799	42	776	521	570	648	714	460
GCA_002214385@Thermococcus_gorgonarius_W_12	0	20	767	41	737	519	567	626	680	456
GCA_002214465@Thermococcus_barossii_SHCK_94	0	10	806	46	783	546	593	653	726	479
GCA_002214485@Thermococcus_pacificus_P4	0	13	771	44	749	520	581	634	701	460
GCA_002214505@Thermococcus_siculi_RG_20	0	18	801	43	779	540	593	656	730	472
GCA_002214525@Thermococcus_sp_P6	0	8	715	40	695	474	518	575	631	416
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	13	812	50	791	550	599	670	731	479
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	13	813	44	789	546	612	661	729	466
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	802	39	782	544	586	650	729	454
GCA_002214605@Thermococcus_chitonophagus	1	76	956	358	941	902	903	911	926	898
GCA_006274605@Thermococcus_indicus_IOH1	0	26	842	54	817	569	626	700	763	480
GCA_008152015@Thermococcus_aciditolerans_SY113	0	21	827	51	805	558	611	675	751	491
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	33	848	88	831	700	715	745	790	625
GCA_020386975@Thermococcus_bergensis_T7324	0	11	789	42	761	565	594	648	715	462
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	799	45	771	569	588	656	721	452
GCA_024022995@Thermococcus_aggregans_TY	0	16	807	39	788	598	609	679	736	473
GCA_024707485@Thermococcus_sp_813A4	0	18	820	47	800	564	616	679	736	484
GCA_028471785@Thermococcus_kodakarensis_TS900	0	24	847	46	827	578	635	703	770	507
GCA_028471865@Thermococcus_kodakarensis_TS901	0	24	847	46	827	581	638	705	769	508
GCA_035621495@Thermococcus_sp_SY098	0	15	851	43	829	632	654	721	774	526
GCA_900012635@Thermococcus_chitonophagus_isolate_1	1	76	957	356	943	905	906	914	929	901
GCA_900198835@Thermococcus_henrietii_EXT12c	0	32	858	45	839	585	638	706	775	507
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	790	46	766	595	607	664	716	475
GCA_904067545@Thermococcus_camini_IRI35c	0	25	813	46	791	539	594	663	734	462
Palaeococcus_helgesoni_DSM_15127	0	14	803	34	781	547	587	652	705	431
Pyrococcus_31_3	6	122	1000	459	1000	999	999	999	1000	999
Pyrococcus_32_1	6	122	1000	459	1000	1000	1000	1000	1000	1000
Pyrococcus_abyssi_GE2	0	34	859	85	843	719	734	766	809	655
Pyrococcus_endeavori_ES4	0	26	873	158	858	755	767	792	827	705
Pyrococcus_EXT16	1	76	972	393	964	944	949	948	952	941
Pyrococcus_sp_32_3	6	122	1000	458	1000	999	999	999	1000	999
Pyrococcus_sp_32_4	5	119	999	455	999	998	998	998	999	998
Pyrococcus_sp_EXT_15c	0	39	884	253	872	817	825	834	858	806
Pyrococcus_sp_GE_23	0	29	858	92	843	725	739	770	814	674
Pyrococcus_sp_IRI_42C	0	23	851	74	836	679	698	742	789	597
Thermococcus_15_2	0	14	822	41	800	570	620	683	739	494
Thermococcus_23_2	0	10	800	47	780	541	591	656	723	471
Thermococcus_29_3	0	26	822	46	805	563	616	682	746	493
Thermococcus_31_3	0	17	819	49	792	545	592	669	734	487
Thermococcus_aegaeus_DSM_12767	0	11	803	41	775	581	598	655	720	476
Thermococcus_aggregans_DSM_12819	0	16	808	39	786	600	608	681	733	474
Thermococcus_alcaliphilus_DSM_10322	0	7	812	45	783	606	627	669	731	497
Thermococcus_AMTc11	0	22	858	49	836	591	653	732	790	503
Thermococcus_AMTc30	0	18	828	43	810	561	616	684	755	487
Thermococcus_AMTc51	0	22	835	42	820	568	623	699	760	505
Thermococcus_AMTc85	0	23	833	44	813	561	608	686	753	483
Thermococcus_atlanticus_DSM_15226	0	16	851	42	828	602	639	693	773	515
Thermococcus_barophilus_423_3_23	0	12	834	44	810	603	637	696	753	505
Thermococcus_barophilus_CH1	0	17	850	46	828	626	654	711	774	524
Thermococcus_barophilus_DT4	0	15	821	45	793	597	619	679	741	494
Thermococcus_coalescens_TS1	0	16	820	40	795	558	604	665	737	480
Thermococcus_E15P35	0	21	827	48	811	565	625	685	752	496
Thermococcus_EXT11c	0	18	814	43	796	546	601	673	731	487
Thermococcus_fumicolans_ST557	0	25	808	44	785	545	598	658	732	459
Thermococcus_IRI_06c	0	22	817	48	793	557	600	660	736	470
Thermococcus_IRI15c	0	23	813	44	786	543	598	653	728	463
Thermococcus_marinus_DSM_15227	0	26	853	44	826	571	630	700	770	503
Thermococcus_prieuri_Col3	0	15	826	40	809	569	630	686	741	502
Thermococcus_profundus_DSM_9503	0	19	798	39	780	538	587	650	725	452
Thermococcus_sp_23_4	0	10	800	47	780	540	590	655	723	469
Thermococcus_sp_26_2	0	26	845	42	829	577	630	703	769	504
Thermococcus_sp_33_3	0	27	834	48	819	569	629	695	759	499
Thermococcus_sp_9_3	0	25	827	48	809	558	619	693	754	491
Thermococcus_sp_AMTc09	0	30	841	40	827	573	628	703	764	499
Thermococcus_sp_AMTc102	0	28	837	41	824	574	626	699	763	500
Thermococcus_sp_AMTc71	0	13	806	49	786	537	579	649	717	467
Thermococcus_sp_AMTc72	0	13	806	49	786	541	578	652	716	467
Thermococcus_sp_AMTc79	0	25	821	45	805	554	615	687	745	492
Thermococcus_sp_AMTc94	0	24	824	48	809	570	628	694	755	499
Thermococcus_sp_CIR_03a	0	18	844	50	825	581	624	690	765	486
Thermococcus_sp_CIR_10a	0	17	857	47	839	648	678	729	788	538
Thermococcus_sp_DS1	0	23	831	46	807	584	643	691	747	489
Thermococcus_sp_E10P11	0	22	826	45	811	567	621	688	749	497
Thermococcus_sp_E10P8	0	22	826	45	811	566	619	690	744	496
Thermococcus_sp_E15p33	0	21	826	48	810	566	623	684	751	494
Thermococcus_sp_EXT09c	0	22	828	44	808	559	608	678	746	495
Thermococcus_sp_IRI_05c	0	18	814	50	790	555	599	674	737	473
Thermococcus_sp_IRI10c	0	23	812	45	784	551	598	653	726	465
Thermococcus_sp_IRI14c	0	23	813	45	787	544	596	654	728	461
Thermococcus_sp_IRI24c	0	25	813	46	787	540	595	655	723	461
Thermococcus_sp_IRI25c	0	23	817	45	791	548	599	654	731	462
Thermococcus_sp_IRI27c2	0	25	813	46	787	542	593	656	723	458
Thermococcus_sp_IRI29c	0	25	813	46	787	539	594	656	723	458
Thermococcus_sp_IRI_33c	0	23	835	45	812	583	645	694	750	493
Thermococcus_sp_TPV	0	25	869	43	847	583	638	714	783	507
Thermococcus_sp_unknown	0	22	831	43	811	554	610	677	745	488
Thermococcus_stetteri_DSM_5262	0	17	821	46	803	584	623	677	735	499
Thermococcus_waiotapuensis_WT1	0	16	777	43	745	517	556	623	682	439
