	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	13	800	18	779	501	560	656	718	381
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	44	854	23	838	677	700	742	779	637
GCA_000011105@Pyrococcus_horikoshii_OT3	0	8	777	12	759	483	542	630	688	368
GCA_000018365@Thermococcus_onnurineus_NA1	0	40	811	35	790	704	716	739	756	682
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	40	821	19	798	634	664	709	739	594
GCA_000022545@Thermococcus_sibiricus_MM_739	0	10	789	19	768	512	575	665	710	390
GCA_000151105@Thermococcus_barophilus_MP	0	18	844	25	832	619	658	739	784	529
GCA_000151205@Thermococcus_sp_AM4	0	56	837	18	821	643	686	728	760	617
GCA_000195935@Pyrococcus_abyssi_GE5	0	22	777	10	762	522	583	657	705	443
GCA_000211475@Pyrococcus_sp_NA2	0	18	794	17	775	526	584	659	711	428
GCA_000215995@Pyrococcus_yayanosii_CH1	0	15	783	16	761	552	600	656	693	513
GCA_000221185@Thermococcus_sp_4557	0	59	856	27	843	739	759	777	796	729
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	850	18	829	620	666	738	783	520
GCA_000258515@Thermococcus_zilligii_AN1	0	23	804	18	782	620	658	687	720	595
GCA_000263735@Pyrococcus_sp_ST04	0	12	774	13	755	499	551	637	692	398
GCA_000265525@Thermococcus_cleftensis_CL1	0	70	862	35	844	735	752	771	800	720
GCA_000275605@Pyrococcus_furiosus_COM1	0	15	801	18	781	504	564	657	717	382
GCA_000517445@Thermococcus_paralvinellae_ES1	0	23	810	19	795	569	628	699	747	477
GCA_000585495@Thermococcus_nautili_30_1	0	55	833	24	813	666	699	731	760	632
GCA_000725425@Palaeococcus_pacificus_DY20341	0	24	828	23	816	605	644	732	763	515
GCA_000769655@Thermococcus_eurythermalis_A501	0	47	842	24	825	666	693	742	764	639
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	33	810	31	792	642	661	709	734	598
GCA_001433455@Thermococcus_barophilus_CH5	0	23	842	23	832	613	660	739	782	527
GCA_001484685@Thermococcus_sp_2319x1	0	19	823	16	802	593	633	713	749	503
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	17	804	15	785	519	603	670	722	451
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	43	827	26	810	662	695	735	762	637
GCA_001647085@Thermococcus_piezophilus_CDGS	0	44	807	26	782	692	710	728	739	671
GCA_002197185@Thermococcus_sp_5_4	0	61	857	15	843	787	794	800	816	783
GCA_002214365@Thermococcus_celer_Vu_13	0	45	826	36	806	725	735	753	771	715
GCA_002214385@Thermococcus_gorgonarius_W_12	0	27	784	26	768	609	637	675	702	577
GCA_002214465@Thermococcus_barossii_SHCK_94	0	71	865	23	856	782	791	805	817	773
GCA_002214485@Thermococcus_pacificus_P4	1	37	812	26	797	705	716	744	763	685
GCA_002214505@Thermococcus_siculi_RG_20	0	70	870	18	855	753	768	791	807	735
GCA_002214525@Thermococcus_sp_P6	0	25	744	30	727	626	638	657	685	616
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	91	926	31	918	857	859	869	886	838
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	64	858	22	852	781	785	797	814	775
GCA_002214585@Thermococcus_profundus_DT_5432	0	40	826	23	803	640	669	721	753	604
GCA_002214605@Thermococcus_chitonophagus	0	11	790	14	767	531	568	660	704	435
GCA_006274605@Thermococcus_indicus_IOH1	0	71	879	39	863	747	768	788	819	735
GCA_008152015@Thermococcus_aciditolerans_SY113	0	59	874	30	865	757	771	798	818	743
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	15	800	18	779	501	559	654	715	383
GCA_020386975@Thermococcus_bergensis_T7324	0	9	792	18	776	583	617	686	734	504
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	829	20	818	561	613	717	773	397
GCA_024022995@Thermococcus_aggregans_TY	0	12	791	21	770	572	607	686	728	486
GCA_024707485@Thermococcus_sp_813A4	0	84	917	27	912	860	867	876	886	845
GCA_028471785@Thermococcus_kodakarensis_TS900	0	44	854	23	837	675	699	737	776	634
GCA_028471865@Thermococcus_kodakarensis_TS901	0	44	854	23	837	675	700	737	778	632
GCA_035621495@Thermococcus_sp_SY098	0	26	845	26	833	618	670	753	788	525
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	11	791	14	770	532	570	661	705	439
GCA_900198835@Thermococcus_henrietii_EXT12c	0	45	834	25	817	650	699	740	768	636
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	17	819	16	799	596	635	709	750	509
GCA_904067545@Thermococcus_camini_IRI35c	0	64	865	32	855	767	787	807	819	756
Palaeococcus_helgesoni_DSM_15127	0	21	806	18	781	563	605	682	730	487
Pyrococcus_31_3	0	14	799	16	780	539	592	673	723	451
Pyrococcus_32_1	0	14	799	16	782	535	589	676	724	454
Pyrococcus_abyssi_GE2	0	27	771	8	755	520	580	650	696	429
Pyrococcus_endeavori_ES4	0	11	775	11	756	496	547	640	692	391
Pyrococcus_EXT16	0	13	795	16	779	542	584	674	719	453
Pyrococcus_sp_32_3	0	14	799	16	782	538	589	676	723	449
Pyrococcus_sp_32_4	0	14	799	16	780	539	592	676	722	456
Pyrococcus_sp_EXT_15c	0	17	795	16	778	527	588	667	723	455
Pyrococcus_sp_GE_23	0	18	762	12	745	509	579	650	685	434
Pyrococcus_sp_IRI_42C	0	16	789	15	766	512	554	652	707	383
Thermococcus_15_2	0	43	842	25	825	691	717	753	781	674
Thermococcus_23_2	0	61	857	13	843	787	794	801	815	784
Thermococcus_29_3	0	49	814	22	801	651	682	721	750	624
Thermococcus_31_3	0	65	860	27	844	775	782	800	810	760
Thermococcus_aegaeus_DSM_12767	0	11	831	13	815	603	643	720	762	510
Thermococcus_aggregans_DSM_12819	0	12	791	21	769	570	609	687	729	483
Thermococcus_alcaliphilus_DSM_10322	0	12	832	18	810	608	665	737	779	514
Thermococcus_AMTc11	0	70	903	24	894	800	815	832	854	791
Thermococcus_AMTc30	0	49	814	31	796	646	686	726	745	628
Thermococcus_AMTc51	0	46	821	25	810	664	691	733	760	631
Thermococcus_AMTc85	0	47	817	28	798	647	685	726	746	634
Thermococcus_atlanticus_DSM_15226	0	32	853	21	843	712	742	781	808	667
Thermococcus_barophilus_423_3_23	0	20	840	23	831	612	656	733	777	510
Thermococcus_barophilus_CH1	0	24	845	24	835	618	660	742	791	530
Thermococcus_barophilus_DT4	0	26	818	20	804	572	623	703	751	476
Thermococcus_coalescens_TS1	3	190	1000	569	1000	1000	1000	1000	1000	1000
Thermococcus_E15P35	0	53	827	26	809	655	676	723	753	627
Thermococcus_EXT11c	0	45	806	30	786	644	688	713	736	625
Thermococcus_fumicolans_ST557	0	35	825	24	806	650	681	722	754	628
Thermococcus_IRI_06c	0	71	878	29	860	751	774	800	816	735
Thermococcus_IRI15c	0	78	887	33	875	771	793	816	830	757
Thermococcus_marinus_DSM_15227	0	49	840	24	824	660	689	733	755	636
Thermococcus_prieuri_Col3	0	46	833	27	821	685	712	748	776	664
Thermococcus_profundus_DSM_9503	0	40	822	23	799	640	669	719	750	604
Thermococcus_sp_23_4	0	61	857	13	843	789	793	801	815	784
Thermococcus_sp_26_2	0	43	816	26	794	653	671	715	740	618
Thermococcus_sp_33_3	0	60	836	27	820	668	704	739	768	646
Thermococcus_sp_9_3	0	59	830	27	811	666	694	728	757	635
Thermococcus_sp_AMTc09	0	47	815	25	797	649	674	714	738	614
Thermococcus_sp_AMTc102	0	43	815	22	796	646	672	716	737	614
Thermococcus_sp_AMTc71	0	57	843	25	827	715	732	755	773	704
Thermococcus_sp_AMTc72	0	57	843	25	826	717	733	756	772	705
Thermococcus_sp_AMTc79	0	49	835	27	820	669	698	738	760	642
Thermococcus_sp_AMTc94	0	54	822	26	805	658	684	720	739	630
Thermococcus_sp_CIR_03a	0	68	890	24	882	791	804	819	842	780
Thermococcus_sp_CIR_10a	0	20	836	25	824	609	653	733	778	526
Thermococcus_sp_DS1	0	77	885	29	877	812	818	826	839	805
Thermococcus_sp_E10P11	0	49	822	20	809	660	684	724	750	622
Thermococcus_sp_E10P8	0	49	822	20	809	658	686	725	750	624
Thermococcus_sp_E15p33	0	51	825	26	807	658	680	723	751	629
Thermococcus_sp_EXT09c	0	44	816	31	797	658	694	722	746	628
Thermococcus_sp_IRI_05c	0	82	907	24	901	845	849	861	874	836
Thermococcus_sp_IRI10c	0	90	888	33	878	775	797	819	831	757
Thermococcus_sp_IRI14c	0	78	887	32	874	774	794	816	830	757
Thermococcus_sp_IRI24c	0	83	884	29	870	770	791	810	824	757
Thermococcus_sp_IRI25c	0	78	889	32	875	773	797	818	832	759
Thermococcus_sp_IRI27c2	0	83	884	30	870	770	792	810	824	754
Thermococcus_sp_IRI29c	0	83	884	29	869	768	789	809	824	753
Thermococcus_sp_IRI_33c	0	75	886	29	878	813	819	829	841	804
Thermococcus_sp_TPV	0	42	829	27	811	666	698	736	764	643
Thermococcus_sp_unknown	0	50	819	25	806	655	690	728	756	634
Thermococcus_stetteri_DSM_5262	0	44	839	23	824	674	701	739	767	638
