	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	4	863	38	827	608	637	709	765	467
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	8	884	48	845	590	628	721	782	477
GCA_000011105@Pyrococcus_horikoshii_OT3	0	6	839	36	797	566	586	670	724	427
GCA_000018365@Thermococcus_onnurineus_NA1	0	8	893	58	860	631	684	751	802	543
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	5	867	42	825	567	607	694	758	473
GCA_000022545@Thermococcus_sibiricus_MM_739	0	6	888	66	856	720	722	761	803	604
GCA_000151105@Thermococcus_barophilus_MP	0	8	921	93	892	768	789	820	866	708
GCA_000151205@Thermococcus_sp_AM4	0	7	868	48	831	548	599	692	762	465
GCA_000195935@Pyrococcus_abyssi_GE5	0	3	848	41	807	579	604	680	743	451
GCA_000211475@Pyrococcus_sp_NA2	0	4	851	37	822	604	625	687	749	459
GCA_000215995@Pyrococcus_yayanosii_CH1	0	6	862	42	831	574	621	700	761	477
GCA_000221185@Thermococcus_sp_4557	0	14	898	59	870	624	669	759	807	522
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	7	916	76	887	762	779	807	844	676
GCA_000258515@Thermococcus_zilligii_AN1	0	7	848	43	808	556	601	687	752	468
GCA_000263735@Pyrococcus_sp_ST04	0	6	856	37	823	592	621	695	745	471
GCA_000265525@Thermococcus_cleftensis_CL1	0	13	882	53	849	603	640	718	787	484
GCA_000275605@Pyrococcus_furiosus_COM1	0	4	862	38	826	610	642	706	764	468
GCA_000517445@Thermococcus_paralvinellae_ES1	0	8	910	91	874	758	761	801	836	685
GCA_000585495@Thermococcus_nautili_30_1	0	6	887	43	853	567	611	717	768	463
GCA_000725425@Palaeococcus_pacificus_DY20341	0	60	1000	506	1000	1000	1000	1000	1000	1000
GCA_000769655@Thermococcus_eurythermalis_A501	0	5	880	47	847	577	619	712	782	489
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	4	857	47	826	584	631	703	759	491
GCA_001433455@Thermococcus_barophilus_CH5	0	13	929	91	903	767	792	825	867	702
GCA_001484685@Thermococcus_sp_2319x1	0	7	898	60	869	720	748	777	825	636
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	8	865	37	826	605	629	700	761	460
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	8	894	51	865	593	643	733	796	482
GCA_001647085@Thermococcus_piezophilus_CDGS	0	6	890	51	834	621	652	723	773	532
GCA_002197185@Thermococcus_sp_5_4	0	10	902	60	871	659	698	766	823	546
GCA_002214365@Thermococcus_celer_Vu_13	0	10	880	52	847	573	627	718	782	480
GCA_002214385@Thermococcus_gorgonarius_W_12	0	4	836	43	793	557	576	670	735	452
GCA_002214465@Thermococcus_barossii_SHCK_94	0	12	889	58	861	631	674	752	810	542
GCA_002214485@Thermococcus_pacificus_P4	0	8	875	47	839	603	638	724	781	505
GCA_002214505@Thermococcus_siculi_RG_20	0	9	874	59	842	601	656	726	783	509
GCA_002214525@Thermococcus_sp_P6	0	7	832	49	798	549	586	671	725	456
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	15	912	55	883	663	706	786	833	563
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	9	898	54	873	647	694	770	821	557
GCA_002214585@Thermococcus_profundus_DT_5432	0	5	864	44	834	588	618	710	770	480
GCA_002214605@Thermococcus_chitonophagus	0	2	852	34	815	590	609	690	752	457
GCA_006274605@Thermococcus_indicus_IOH1	0	11	898	52	861	602	655	741	798	505
GCA_008152015@Thermococcus_aciditolerans_SY113	0	13	917	58	887	651	699	774	833	555
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	4	861	39	827	607	640	701	765	465
GCA_020386975@Thermococcus_bergensis_T7324	0	7	893	72	850	715	732	762	800	647
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	8	920	79	896	780	801	826	859	688
GCA_024022995@Thermococcus_aggregans_TY	0	9	884	69	856	712	739	767	809	627
GCA_024707485@Thermococcus_sp_813A4	0	13	920	58	896	682	717	790	846	571
GCA_028471785@Thermococcus_kodakarensis_TS900	0	8	883	48	844	591	627	720	782	479
GCA_028471865@Thermococcus_kodakarensis_TS901	0	8	883	48	844	595	625	719	780	482
GCA_035621495@Thermococcus_sp_SY098	0	15	919	99	897	770	787	820	859	711
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	2	852	34	816	587	611	689	756	457
GCA_900198835@Thermococcus_henrietii_EXT12c	0	8	878	48	841	561	610	704	768	448
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	7	909	64	875	732	754	784	826	643
GCA_904067545@Thermococcus_camini_IRI35c	0	12	897	56	867	622	676	746	803	520
Palaeococcus_helgesoni_DSM_15127	0	13	906	144	877	777	783	814	839	728
Pyrococcus_31_3	0	2	859	34	820	607	620	699	757	456
Pyrococcus_32_1	0	2	859	34	822	607	621	702	758	459
Pyrococcus_abyssi_GE2	0	7	853	39	811	573	599	680	740	450
Pyrococcus_endeavori_ES4	0	6	857	36	821	590	616	690	745	461
Pyrococcus_EXT16	0	3	859	32	823	609	626	702	758	458
Pyrococcus_sp_32_3	0	2	859	34	821	605	621	699	758	454
Pyrococcus_sp_32_4	0	2	859	34	821	606	620	700	758	459
Pyrococcus_sp_EXT_15c	0	6	860	39	823	598	625	696	759	480
Pyrococcus_sp_GE_23	0	3	846	37	807	573	588	683	738	444
Pyrococcus_sp_IRI_42C	0	6	854	38	805	591	619	672	735	452
Thermococcus_15_2	0	7	882	46	847	590	625	729	786	496
Thermococcus_23_2	0	10	902	60	870	657	693	764	823	545
Thermococcus_29_3	0	6	871	46	834	563	602	703	761	464
Thermococcus_31_3	0	11	895	51	866	641	681	753	811	539
Thermococcus_aegaeus_DSM_12767	0	8	906	78	881	749	765	799	844	669
Thermococcus_aggregans_DSM_12819	0	9	884	69	856	716	742	769	810	628
Thermococcus_alcaliphilus_DSM_10322	0	7	915	80	889	766	780	814	850	696
Thermococcus_AMTc11	0	16	918	53	891	669	703	784	842	551
Thermococcus_AMTc30	0	4	876	45	834	580	616	708	765	462
Thermococcus_AMTc51	0	7	877	47	846	569	609	711	776	468
Thermococcus_AMTc85	0	5	869	44	829	574	608	705	761	453
Thermococcus_atlanticus_DSM_15226	0	10	914	68	887	715	733	797	842	624
Thermococcus_barophilus_423_3_23	0	12	930	97	901	780	796	828	866	720
Thermococcus_barophilus_CH1	0	13	920	95	892	756	782	815	860	690
Thermococcus_barophilus_DT4	0	13	904	89	871	749	753	797	829	684
Thermococcus_coalescens_TS1	0	16	919	56	900	674	724	797	848	569
Thermococcus_E15P35	0	8	872	46	842	574	610	707	768	457
Thermococcus_EXT11c	0	5	872	46	831	568	611	704	762	463
Thermococcus_fumicolans_ST557	0	8	864	50	836	561	613	686	774	450
Thermococcus_IRI_06c	0	13	896	49	866	609	652	737	800	507
Thermococcus_IRI15c	0	12	900	55	869	617	672	746	809	515
Thermococcus_marinus_DSM_15227	0	8	876	47	843	578	615	717	781	491
Thermococcus_prieuri_Col3	0	8	883	47	852	599	628	731	790	489
Thermococcus_profundus_DSM_9503	0	5	864	44	834	585	615	705	769	483
Thermococcus_sp_23_4	0	10	902	60	870	655	697	765	823	544
Thermococcus_sp_26_2	0	5	858	47	819	566	598	688	746	454
Thermococcus_sp_33_3	0	8	886	48	854	576	612	716	776	466
Thermococcus_sp_9_3	0	6	879	49	847	566	606	706	767	455
Thermococcus_sp_AMTc09	0	5	860	47	820	563	597	685	745	451
Thermococcus_sp_AMTc102	0	6	862	46	821	567	589	685	745	449
Thermococcus_sp_AMTc71	0	9	890	58	855	605	651	734	792	512
Thermococcus_sp_AMTc72	0	9	890	58	855	607	651	735	790	511
Thermococcus_sp_AMTc79	0	4	881	47	849	578	607	716	768	472
Thermococcus_sp_AMTc94	0	8	879	45	846	573	610	711	768	463
Thermococcus_sp_CIR_03a	0	7	907	59	881	659	689	773	828	529
Thermococcus_sp_CIR_10a	0	12	922	96	893	761	778	804	851	698
Thermococcus_sp_DS1	0	12	906	54	877	656	694	777	830	543
Thermococcus_sp_E10P11	0	6	871	47	835	570	606	703	766	462
Thermococcus_sp_E10P8	0	6	871	47	834	570	606	703	763	462
Thermococcus_sp_E15p33	0	8	871	46	839	572	608	704	763	464
Thermococcus_sp_EXT09c	0	4	871	47	828	581	609	708	761	457
Thermococcus_sp_IRI_05c	0	11	918	54	894	673	717	790	852	581
Thermococcus_sp_IRI10c	0	12	899	54	868	617	672	748	808	512
Thermococcus_sp_IRI14c	0	12	900	55	871	617	672	748	809	510
Thermococcus_sp_IRI24c	0	12	898	51	869	631	671	749	808	514
Thermococcus_sp_IRI25c	0	12	901	55	873	618	672	749	811	514
Thermococcus_sp_IRI27c2	0	12	898	51	869	634	672	748	808	516
Thermococcus_sp_IRI29c	0	12	898	51	868	635	673	748	807	514
Thermococcus_sp_IRI_33c	0	11	904	54	874	657	692	779	827	547
Thermococcus_sp_TPV	0	4	878	46	835	552	608	700	764	457
Thermococcus_sp_unknown	0	6	880	48	843	573	604	715	774	460
Thermococcus_stetteri_DSM_5262	0	9	886	49	851	596	637	729	789	495
Thermococcus_waiotapuensis_WT1	0	4	836	40	797	551	589	669	732	459
