	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	30	760	22	737	434	492	596	676	326
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	85	848	30	836	668	702	753	788	619
GCA_000011105@Pyrococcus_horikoshii_OT3	0	21	752	20	725	434	486	583	648	325
GCA_000018365@Thermococcus_onnurineus_NA1	0	49	790	23	780	669	691	720	744	646
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	58	780	29	765	580	611	663	712	553
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	764	21	745	476	521	632	698	345
GCA_000151105@Thermococcus_barophilus_MP	0	25	798	21	782	556	596	684	742	456
GCA_000151205@Thermococcus_sp_AM4	0	59	813	30	799	615	655	701	747	596
GCA_000195935@Pyrococcus_abyssi_GE5	0	25	757	25	737	458	512	606	673	382
GCA_000211475@Pyrococcus_sp_NA2	0	28	781	26	762	474	533	625	706	372
GCA_000215995@Pyrococcus_yayanosii_CH1	0	24	763	28	747	551	586	647	697	497
GCA_000221185@Thermococcus_sp_4557	0	91	852	17	834	760	770	788	809	756
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	19	808	33	791	571	600	699	746	479
GCA_000258515@Thermococcus_zilligii_AN1	0	33	765	23	746	585	609	657	696	553
GCA_000263735@Pyrococcus_sp_ST04	0	11	753	22	736	458	503	595	679	352
GCA_000265525@Thermococcus_cleftensis_CL1	0	87	829	27	818	711	729	747	777	699
GCA_000275605@Pyrococcus_furiosus_COM1	0	30	758	22	735	435	493	595	673	324
GCA_000517445@Thermococcus_paralvinellae_ES1	0	21	773	32	751	519	579	664	708	418
GCA_000585495@Thermococcus_nautili_30_1	0	73	829	33	807	658	691	734	765	635
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	794	23	779	555	596	686	745	441
GCA_000769655@Thermococcus_eurythermalis_A501	0	75	828	34	818	661	688	735	775	628
