	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	22	807	46	766	497	539	624	692	387
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	69	874	106	846	656	692	736	786	637
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	770	42	723	454	508	592	655	368
GCA_000018365@Thermococcus_onnurineus_NA1	0	49	834	200	801	701	707	738	758	677
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	50	839	97	804	604	635	690	734	577
GCA_000022545@Thermococcus_sibiricus_MM_739	0	16	803	52	768	514	549	650	699	385
GCA_000151105@Thermococcus_barophilus_MP	0	23	866	78	833	608	658	740	790	529
GCA_000151205@Thermococcus_sp_AM4	0	60	846	96	803	614	656	704	745	601
GCA_000195935@Pyrococcus_abyssi_GE5	0	18	782	41	739	473	535	614	669	411
GCA_000211475@Pyrococcus_sp_NA2	0	26	804	49	768	496	542	614	689	395
GCA_000215995@Pyrococcus_yayanosii_CH1	0	24	807	73	768	534	573	636	688	493
GCA_000221185@Thermococcus_sp_4557	0	71	862	250	831	712	731	753	787	695
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	31	868	65	829	614	648	723	772	512
GCA_000258515@Thermococcus_zilligii_AN1	0	33	821	90	774	586	618	663	707	562
GCA_000263735@Pyrococcus_sp_ST04	0	19	768	41	735	479	518	592	657	377
GCA_000265525@Thermococcus_cleftensis_CL1	0	77	863	210	831	708	716	746	774	689
GCA_000275605@Pyrococcus_furiosus_COM1	0	21	806	46	765	491	539	623	691	388
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	823	60	789	565	608	680	731	474
GCA_000585495@Thermococcus_nautili_30_1	0	54	855	138	820	648	666	731	764	606
GCA_000725425@Palaeococcus_pacificus_DY20341	0	25	818	50	796	582	615	685	740	492
GCA_000769655@Thermococcus_eurythermalis_A501	0	44	854	138	817	642	674	713	755	615
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	42	806	117	774	593	621	668	702	573
GCA_001433455@Thermococcus_barophilus_CH5	0	37	892	79	861	627	669	755	815	540
GCA_001484685@Thermococcus_sp_2319x1	0	30	827	60	789	566	599	683	729	483
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	27	810	48	769	487	536	619	677	423
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	39	842	112	810	632	669	718	754	610
GCA_001647085@Thermococcus_piezophilus_CDGS	0	54	851	179	801	669	689	720	749	651
GCA_002197185@Thermococcus_sp_5_4	0	64	850	275	823	748	761	783	791	740
GCA_002214365@Thermococcus_celer_Vu_13	0	53	834	222	806	708	720	744	763	697
GCA_002214385@Thermococcus_gorgonarius_W_12	0	33	788	86	749	571	604	648	691	552
GCA_002214465@Thermococcus_barossii_SHCK_94	0	76	873	262	839	751	765	787	806	745
GCA_002214485@Thermococcus_pacificus_P4	0	47	817	170	787	656	680	709	738	631
GCA_002214505@Thermococcus_siculi_RG_20	0	67	872	201	834	726	747	766	799	700
GCA_002214525@Thermococcus_sp_P6	0	32	764	130	737	613	626	654	676	593
GCA_002214545@Thermococcus_thioreducens_OGL_20P	2	212	1000	572	1000	1000	1000	1000	1000	1000
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	63	853	263	819	729	742	772	784	716
GCA_002214585@Thermococcus_profundus_DT_5432	0	50	822	110	789	586	621	689	739	564
GCA_002214605@Thermococcus_chitonophagus	0	15	790	45	751	491	531	605	668	419
GCA_006274605@Thermococcus_indicus_IOH1	0	80	887	252	854	728	744	778	799	706
GCA_008152015@Thermococcus_aciditolerans_SY113	0	75	880	255	851	735	749	775	803	721
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	21	808	46	766	494	540	622	691	391
GCA_020386975@Thermococcus_bergensis_T7324	0	16	799	56	765	557	604	665	715	485
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	14	830	61	794	530	593	687	739	402
GCA_024022995@Thermococcus_aggregans_TY	0	22	817	58	766	536	563	655	711	456
GCA_024707485@Thermococcus_sp_813A4	0	110	932	397	913	876	876	891	900	870
GCA_028471785@Thermococcus_kodakarensis_TS900	0	69	873	106	845	654	690	734	783	638
GCA_028471865@Thermococcus_kodakarensis_TS901	0	69	872	106	844	653	693	733	782	635
GCA_035621495@Thermococcus_sp_SY098	0	42	873	75	842	613	662	737	791	523
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	15	790	45	752	493	529	604	668	421
GCA_900198835@Thermococcus_henrietii_EXT12c	0	56	866	128	828	639	669	718	767	603
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	30	836	63	798	572	615	692	740	500
GCA_904067545@Thermococcus_camini_IRI35c	0	84	881	285	857	758	780	799	821	747
Palaeococcus_helgesoni_DSM_15127	0	34	825	56	785	557	599	684	731	474
Pyrococcus_31_3	0	15	798	44	768	503	546	609	683	437
Pyrococcus_32_1	0	15	798	44	768	503	549	611	684	438
Pyrococcus_abyssi_GE2	0	23	788	40	746	482	537	607	670	406
Pyrococcus_endeavori_ES4	0	17	764	42	731	478	515	590	655	380
Pyrococcus_EXT16	0	17	798	46	766	512	555	622	689	444
Pyrococcus_sp_32_3	0	15	798	44	770	503	547	610	685	435
Pyrococcus_sp_32_4	0	15	798	44	770	501	546	611	684	434
Pyrococcus_sp_EXT_15c	0	23	797	49	768	499	539	623	688	436
Pyrococcus_sp_GE_23	0	18	779	40	742	485	529	602	660	398
Pyrococcus_sp_IRI_42C	0	21	804	46	768	481	523	608	690	375
Thermococcus_15_2	0	55	842	134	812	666	678	731	759	646
Thermococcus_23_2	0	64	850	274	823	750	761	783	791	739
Thermococcus_29_3	0	53	847	129	814	642	668	737	766	608
Thermococcus_31_3	0	80	879	265	848	758	770	800	818	745
Thermococcus_aegaeus_DSM_12767	0	17	832	58	796	593	624	700	748	484
Thermococcus_aggregans_DSM_12819	0	22	817	58	767	533	564	658	712	458
Thermococcus_alcaliphilus_DSM_10322	0	17	837	60	809	606	648	721	770	509
Thermococcus_AMTc11	0	81	904	296	879	779	791	815	832	764
Thermococcus_AMTc30	0	54	836	124	807	629	655	713	752	599
Thermococcus_AMTc51	0	46	837	133	802	624	652	709	747	596
Thermococcus_AMTc85	0	54	837	128	805	634	661	702	751	597
Thermococcus_atlanticus_DSM_15226	0	56	885	135	857	695	732	780	816	654
Thermococcus_barophilus_423_3_23	0	36	867	69	822	589	650	719	775	509
Thermococcus_barophilus_CH1	0	32	879	84	843	614	657	743	797	533
