Environment created
Processing GCA_002214365@Thermococcus_celer_Vu_13


Calculating de novo conservation...
No de novo genes found for the focal species



Calculating CDS conservation...
Extracted 1000 CDSs for the focal species GCA_002214365@Thermococcus_celer_Vu_13

Species GCA_000517445@Thermococcus_paralvinellae_ES1: 832 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 797 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 808 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 882 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 869 matches
Species GCA_000151205@Thermococcus_sp_AM4: 869 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 857 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 851 matches
Species GCA_000221185@Thermococcus_sp_4557: 875 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 823 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 864 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 866 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 893 matches
Species GCA_002214525@Thermococcus_sp_P6: 837 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 837 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 826 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 852 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 817 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 871 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 855 matches
Species GCA_002197185@Thermococcus_sp_5_4: 867 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 808 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 836 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 836 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 836 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 868 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 893 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 843 matches
Species GCA_002214605@Thermococcus_chitonophagus: 830 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 838 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 887 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 845 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 864 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 865 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 864 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 882 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 871 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 855 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 831 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 812 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 845 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 812 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 880 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 880 matches
Species Pyrococcus_31_3: 833 matches
Species Pyrococcus_sp_IRI_42C: 811 matches
Species Pyrococcus_sp_GE_23: 802 matches
Species GCA_035621495@Thermococcus_sp_SY098: 865 matches
Species Pyrococcus_endeavori_ES4: 832 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 847 matches
Species GCA_024707485@Thermococcus_sp_813A4: 896 matches
Species Thermococcus_AMTc51: 856 matches
Species GCA_020386975@Thermococcus_bergensis_T7324: 828 matches
Species Thermococcus_AMTc11: 906 matches
Species Thermococcus_31_3: 863 matches
Species Thermococcus_AMTc85: 861 matches
Species Thermococcus_23_2: 866 matches
Species Pyrococcus_abyssi_GE2: 813 matches
Species Thermococcus_15_2: 861 matches
Species Thermococcus_aegaeus_DSM_12767: 844 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 830 matches
Species Thermococcus_29_3: 854 matches
Species Thermococcus_alcaliphilus_DSM_10322: 861 matches
Species Thermococcus_barophilus_DT4: 843 matches
Species Pyrococcus_EXT16: 831 matches
Species Pyrococcus_sp_32_3: 833 matches
Species Pyrococcus_32_1: 833 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 883 matches
Species Pyrococcus_sp_EXT_15c: 829 matches
Species Thermococcus_aggregans_DSM_12819: 812 matches
Species Thermococcus_AMTc30: 865 matches
Species Pyrococcus_sp_32_4: 833 matches
Species Thermococcus_barophilus_423_3_23: 859 matches
Species Thermococcus_atlanticus_DSM_15226: 891 matches
Species Thermococcus_barophilus_CH1: 863 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 872 matches
Species Palaeococcus_helgesoni_DSM_15127: 882 matches
Species Thermococcus_coalescens_TS1: 896 matches
Species Thermococcus_prieuri_Col3: 858 matches
Species Thermococcus_EXT11c: 851 matches
Species Thermococcus_profundus_DSM_9503: 844 matches
Species Thermococcus_E15P35: 859 matches
Species Thermococcus_fumicolans_ST557: 845 matches
Species Thermococcus_marinus_DSM_15227: 869 matches
Species Thermococcus_IRI_06c: 883 matches
Species Thermococcus_sp_33_3: 868 matches
Species Thermococcus_sp_26_2: 852 matches
Species Thermococcus_sp_CIR_03a: 884 matches
Species Thermococcus_sp_IRI14c: 884 matches
Species Thermococcus_sp_IRI10c: 882 matches
Species Thermococcus_sp_IRI27c2: 883 matches
Species Thermococcus_sp_23_4: 867 matches
Species Thermococcus_sp_TPV: 877 matches
Species Thermococcus_sp_IRI_05c: 892 matches
Species Thermococcus_sp_DS1: 897 matches
Species Thermococcus_IRI15c: 884 matches
Species Thermococcus_sp_AMTc79: 862 matches
Species Thermococcus_sp_E15p33: 859 matches
Species Thermococcus_sp_AMTc102: 851 matches
Species Thermococcus_sp_EXT09c: 861 matches
Species Thermococcus_sp_AMTc71: 854 matches
Species Thermococcus_sp_AMTc09: 849 matches
Species Thermococcus_sp_IRI29c: 883 matches
Species Thermococcus_sp_AMTc72: 854 matches
Species Thermococcus_sp_E10P11: 850 matches
Species Thermococcus_sp_IRI24c: 883 matches
Species Thermococcus_sp_9_3: 861 matches
Species Thermococcus_waiotapuensis_WT1: 840 matches
Species Thermococcus_sp_E10P8: 850 matches
Species Thermococcus_sp_IRI25c: 884 matches
Species Thermococcus_sp_AMTc94: 851 matches
Species Thermococcus_sp_unknown: 859 matches
Species Thermococcus_stetteri_DSM_5262: 876 matches
Species Thermococcus_sp_CIR_10a: 860 matches
Species Thermococcus_sp_IRI_33c: 892 matches



Calculating TRG conservation...
Extracted 107 TRGs for the focal species GCA_002214365@Thermococcus_celer_Vu_13

Species GCA_000018365@Thermococcus_onnurineus_NA1: 30 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 15 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 15 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 12 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 10 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 38 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 12 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 35 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 47 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 30 matches
Species GCA_002197185@Thermococcus_sp_5_4: 37 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 19 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 40 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 42 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 48 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 22 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 35 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 57 matches
Species GCA_002214525@Thermococcus_sp_P6: 33 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 13 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 16 matches
Species GCA_000151205@Thermococcus_sp_AM4: 42 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 37 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 13 matches
Species GCA_002214605@Thermococcus_chitonophagus: 14 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 30 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 57 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 35 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 34 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 18 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 11 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 22 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 39 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 22 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 18 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 21 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 26 matches
Species GCA_000221185@Thermococcus_sp_4557: 42 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 31 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 11 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 14 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 42 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 58 matches
Species Pyrococcus_32_1: 11 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 12 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 14 matches
Species Thermococcus_29_3: 33 matches
Species Pyrococcus_31_3: 11 matches
Species Pyrococcus_endeavori_ES4: 15 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 39 matches
Species GCA_024707485@Thermococcus_sp_813A4: 53 matches
Species Pyrococcus_sp_32_4: 11 matches
Species Pyrococcus_sp_32_3: 11 matches
Species Thermococcus_23_2: 37 matches
Species Palaeococcus_helgesoni_DSM_15127: 35 matches
Species GCA_035621495@Thermococcus_sp_SY098: 26 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 37 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 39 matches
Species Pyrococcus_sp_IRI_42C: 17 matches
Species Pyrococcus_abyssi_GE2: 21 matches
Species GCA_020386975@Thermococcus_bergensis_T7324: 10 matches
Species Pyrococcus_sp_GE_23: 19 matches
Species Pyrococcus_sp_EXT_15c: 12 matches
Species Pyrococcus_EXT16: 11 matches
Species Thermococcus_aggregans_DSM_12819: 12 matches
Species Thermococcus_alcaliphilus_DSM_10322: 11 matches
Species Thermococcus_AMTc85: 36 matches
Species Thermococcus_aegaeus_DSM_12767: 12 matches
Species Thermococcus_15_2: 41 matches
Species Thermococcus_31_3: 41 matches
Species Thermococcus_barophilus_DT4: 26 matches
Species Thermococcus_barophilus_CH1: 22 matches
Species Thermococcus_atlanticus_DSM_15226: 28 matches
Species Thermococcus_barophilus_423_3_23: 19 matches
Species Thermococcus_AMTc30: 39 matches
Species Thermococcus_AMTc51: 34 matches
Species Thermococcus_AMTc11: 44 matches
Species Thermococcus_prieuri_Col3: 36 matches
Species Thermococcus_EXT11c: 39 matches
Species Thermococcus_coalescens_TS1: 48 matches
Species Thermococcus_sp_23_4: 37 matches
Species Thermococcus_IRI15c: 51 matches
Species Thermococcus_fumicolans_ST557: 29 matches
Species Thermococcus_profundus_DSM_9503: 31 matches
Species Thermococcus_marinus_DSM_15227: 43 matches
Species Thermococcus_E15P35: 38 matches
Species Thermococcus_sp_AMTc09: 35 matches
Species Thermococcus_sp_AMTc72: 39 matches
Species Thermococcus_sp_CIR_03a: 36 matches
Species Thermococcus_sp_33_3: 34 matches
Species Thermococcus_sp_26_2: 35 matches
Species Thermococcus_sp_9_3: 39 matches
Species Thermococcus_sp_DS1: 55 matches
Species Thermococcus_sp_IRI_05c: 53 matches
Species Thermococcus_IRI_06c: 49 matches
Species Thermococcus_sp_AMTc79: 34 matches
Species Thermococcus_sp_IRI29c: 57 matches
Species Thermococcus_sp_IRI24c: 57 matches
Species Thermococcus_sp_AMTc94: 35 matches
Species Thermococcus_sp_AMTc71: 39 matches
Species Thermococcus_sp_TPV: 36 matches
Species Thermococcus_sp_IRI10c: 51 matches
Species Thermococcus_waiotapuensis_WT1: 28 matches
Species Thermococcus_sp_EXT09c: 34 matches
Species Thermococcus_sp_CIR_10a: 20 matches
Species Thermococcus_sp_E10P11: 35 matches
Species Thermococcus_sp_unknown: 40 matches
Species Thermococcus_sp_E15p33: 38 matches
Species Thermococcus_sp_IRI14c: 51 matches
Species Thermococcus_stetteri_DSM_5262: 30 matches
Species Thermococcus_sp_E10P8: 35 matches
Species Thermococcus_sp_IRI25c: 51 matches
Species Thermococcus_sp_IRI27c2: 57 matches
Species Thermococcus_sp_IRI_33c: 56 matches
Species Thermococcus_sp_AMTc102: 36 matches



Calculating intergenic conservation...
Extracted 526 intergenic sequences for the focal species GCA_002214365@Thermococcus_celer_Vu_13

Species GCA_000022545@Thermococcus_sibiricus_MM_739: 38 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 38 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 88 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 36 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 42 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 147 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 58 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 30 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 71 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 42 matches
Species GCA_002197185@Thermococcus_sp_5_4: 191 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 38 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 38 matches
Species GCA_002214605@Thermococcus_chitonophagus: 28 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 31 matches
Species GCA_002214525@Thermococcus_sp_P6: 141 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 74 matches
