	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	15	748	47	714	445	492	592	649	340
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	41	813	111	791	621	649	713	747	582
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	739	44	708	452	499	581	646	365
GCA_000018365@Thermococcus_onnurineus_NA1	0	38	782	185	765	648	667	700	725	626
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	42	781	100	764	564	601	671	700	544
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	758	56	738	473	515	612	678	355
GCA_000151105@Thermococcus_barophilus_MP	0	32	822	71	804	563	595	686	743	467
GCA_000151205@Thermococcus_sp_AM4	0	49	797	102	777	602	643	699	732	589
GCA_000195935@Pyrococcus_abyssi_GE5	0	16	756	40	725	492	519	596	662	396
GCA_000211475@Pyrococcus_sp_NA2	0	19	758	44	735	487	527	600	666	394
GCA_000215995@Pyrococcus_yayanosii_CH1	0	23	739	60	713	506	552	615	660	466
GCA_000221185@Thermococcus_sp_4557	0	62	835	254	816	703	718	754	771	684
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	27	809	56	785	561	609	686	735	465
GCA_000258515@Thermococcus_zilligii_AN1	0	31	753	94	732	550	584	636	674	526
GCA_000263735@Pyrococcus_sp_ST04	0	19	753	49	726	464	497	590	654	356
GCA_000265525@Thermococcus_cleftensis_CL1	0	58	814	212	789	669	684	727	752	646
GCA_000275605@Pyrococcus_furiosus_COM1	0	16	749	47	715	444	487	592	646	339
GCA_000517445@Thermococcus_paralvinellae_ES1	0	21	801	65	777	546	592	668	722	432
GCA_000585495@Thermococcus_nautili_30_1	0	55	814	121	786	624	664	707	737	608
GCA_000725425@Palaeococcus_pacificus_DY20341	0	17	763	53	739	530	563	653	697	428
GCA_000769655@Thermococcus_eurythermalis_A501	0	47	791	127	768	614	650	686	724	595
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	33	761	114	741	573	600	658	690	545
GCA_001433455@Thermococcus_barophilus_CH5	0	41	850	69	832	584	632	719	769	490
GCA_001484685@Thermococcus_sp_2319x1	0	14	757	54	736	526	567	628	685	442
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	15	779	52	750	492	540	621	685	395
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	32	804	108	781	601	630	693	732	570
GCA_001647085@Thermococcus_piezophilus_CDGS	0	34	768	167	740	609	641	677	699	595
GCA_002197185@Thermococcus_sp_5_4	0	65	840	313	829	756	767	780	799	753
GCA_002214365@Thermococcus_celer_Vu_13	0	37	774	196	748	642	654	687	712	634
GCA_002214385@Thermococcus_gorgonarius_W_12	0	31	731	95	716	546	570	615	651	504
GCA_002214465@Thermococcus_barossii_SHCK_94	0	68	846	281	833	742	750	772	795	730
GCA_002214485@Thermococcus_pacificus_P4	0	42	771	182	756	619	641	681	703	607
GCA_002214505@Thermococcus_siculi_RG_20	0	65	839	211	827	695	710	741	782	668
GCA_002214525@Thermococcus_sp_P6	0	25	702	119	679	562	588	613	640	548
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	85	853	264	838	725	739	763	794	714
