	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	0	803	41	767	461	520	623	701	349
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	0	897	121	864	694	722	763	798	671
GCA_000011105@Pyrococcus_horikoshii_OT3	0	0	804	34	760	485	539	629	696	379
GCA_000018365@Thermococcus_onnurineus_NA1	0	0	852	111	812	656	686	725	767	633
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	0	868	160	840	678	706	744	785	654
GCA_000022545@Thermococcus_sibiricus_MM_739	0	0	806	42	768	461	522	643	700	342
GCA_000151105@Thermococcus_barophilus_MP	0	0	865	46	830	561	624	702	764	461
GCA_000151205@Thermococcus_sp_AM4	0	0	895	162	866	723	753	784	816	715
GCA_000195935@Pyrococcus_abyssi_GE5	0	0	829	41	793	532	583	666	739	453
GCA_000211475@Pyrococcus_sp_NA2	0	0	817	43	783	501	567	642	715	402
GCA_000215995@Pyrococcus_yayanosii_CH1	0	0	822	57	782	557	609	667	719	517
GCA_000221185@Thermococcus_sp_4557	0	0	878	124	843	674	697	743	772	653
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	0	848	49	816	558	607	691	737	467
GCA_000258515@Thermococcus_zilligii_AN1	0	0	834	78	805	618	646	685	724	585
GCA_000263735@Pyrococcus_sp_ST04	0	0	812	43	776	496	545	634	711	416
GCA_000265525@Thermococcus_cleftensis_CL1	0	0	883	139	856	687	708	766	796	674
GCA_000275605@Pyrococcus_furiosus_COM1	0	0	803	42	768	456	523	625	699	350
GCA_000517445@Thermococcus_paralvinellae_ES1	0	0	829	53	787	555	612	686	742	455
GCA_000585495@Thermococcus_nautili_30_1	1	0	1000	450	1000	1000	1000	1000	1000	1000
GCA_000725425@Palaeococcus_pacificus_DY20341	0	0	823	43	789	524	571	682	728	438
GCA_000769655@Thermococcus_eurythermalis_A501	1	0	912	218	883	759	778	806	832	755
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	0	859	150	830	675	703	745	769	656
GCA_001433455@Thermococcus_barophilus_CH5	0	0	880	47	846	584	634	725	784	484
GCA_001484685@Thermococcus_sp_2319x1	0	0	806	41	770	547	579	657	707	458
