genome	mean_intergenic_length
GCA_000007305@Pyrococcus_furiosus_DSM_3638	121.34664764621968
GCA_000009965@Thermococcus_kodakarensis_KOD1	109.5107958050586
GCA_000011105@Pyrococcus_horikoshii_OT3	113.2248
GCA_000018365@Thermococcus_onnurineus_NA1	116.90854068594486
GCA_000022365@Thermococcus_gammatolerans_EJ3	96.94151303242212
GCA_000022545@Thermococcus_sibiricus_MM_739	112.51837270341207
GCA_000151105@Thermococcus_barophilus_MP	101.39097744360902
GCA_000151205@Thermococcus_sp_AM4	93.90086741016108
GCA_000195935@Pyrococcus_abyssi_GE5	106.25705076551168
GCA_000211475@Pyrococcus_sp_NA2	119.52503793626707
GCA_000215995@Pyrococcus_yayanosii_CH1	113.32463545663853
GCA_000221185@Thermococcus_sp_4557	108.95571245186136
GCA_000246985@Thermococcus_litoralis_DSM_5473	112.1734750979295
GCA_000258515@Thermococcus_zilligii_AN1	120.4727793696275
GCA_000263735@Pyrococcus_sp_ST04	106.25020441537204
GCA_000265525@Thermococcus_cleftensis_CL1	113.79335548172757
GCA_000275605@Pyrococcus_furiosus_COM1	120.90198863636364
GCA_000517445@Thermococcus_paralvinellae_ES1	106.90926640926641
GCA_000585495@Thermococcus_nautili_30_1	108.27440633245382
GCA_000725425@Palaeococcus_pacificus_DY20341	107.07181208053692
GCA_000769655@Thermococcus_eurythermalis_A501	121.44253226797787
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	107.22808132147395
GCA_001433455@Thermococcus_barophilus_CH5	107.38372093023256
GCA_001484685@Thermococcus_sp_2319x1	128.02893890675242
GCA_001577775@Pyrococcus_kukulkanii_NCB100	116.74982770503101
GCA_001592435@Thermococcus_peptonophilus_OG_1	114.69117647058823
GCA_001647085@Thermococcus_piezophilus_CDGS	140.22209369577791
GCA_002197185@Thermococcus_sp_5_4	96.35461956521739
GCA_002214365@Thermococcus_celer_Vu_13	119.265625
GCA_002214385@Thermococcus_gorgonarius_W_12	100.96669029057406
GCA_002214465@Thermococcus_barossii_SHCK_94	97.81102891728312
GCA_002214485@Thermococcus_pacificus_P4	114.36149584487535
GCA_002214505@Thermococcus_siculi_RG_20	110.92916934964585
GCA_002214525@Thermococcus_sp_P6	102.36988543371523
GCA_002214545@Thermococcus_thioreducens_OGL_20P	105.15079834417504
GCA_002214565@Thermococcus_radiotolerans_EJ2	101.05974202308215
GCA_002214585@Thermococcus_profundus_DT_5432	109.11678366305041
GCA_002214605@Thermococcus_chitonophagus	111.30042313117066
GCA_006274605@Thermococcus_indicus_IOH1	122.53519488074461
GCA_008152015@Thermococcus_aciditolerans_SY113	111.2024432809773
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	120.25650289017341
GCA_020386975@Thermococcus_bergensis_T7324	105.91384950926935
GCA_023746595@Thermococcus_argininiproducens_IOH2	110.19936305732485
GCA_024022995@Thermococcus_aggregans_TY	113.79188481675392
GCA_024707485@Thermococcus_sp_813A4	101.9368610944077
GCA_028471785@Thermococcus_kodakarensis_TS900	109.46481481481482
GCA_028471865@Thermococcus_kodakarensis_TS901	109.60197775030902
GCA_035621495@Thermococcus_sp_SY098	99.35709818636649
GCA_900012635@Thermococcus_chitonophagus_isolate_1	111.08028169014085
GCA_900198835@Thermococcus_henrietii_EXT12c	113.96772191185599
GCA_902813195@Thermococcus_sp_2319x1_Essen	129.46958174904944
GCA_904067545@Thermococcus_camini_IRI35c	106.96177944862156
Palaeococcus_helgesoni_DSM_15127	120.39516655780535
Pyrococcus_31_3	110.48254189944134
Pyrococcus_32_1	110.54329608938548
Pyrococcus_abyssi_GE2	107.29329173166927
