	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	1	12	816	46	758	505	541	603	683	388
GCA_000009965@Thermococcus_kodakarensis_KOD1	1	40	858	78	811	592	641	700	740	547
GCA_000011105@Pyrococcus_horikoshii_OT3	0	23	791	41	743	476	509	595	655	377
GCA_000018365@Thermococcus_onnurineus_NA1	1	26	834	109	778	589	629	675	724	553
GCA_000022365@Thermococcus_gammatolerans_EJ3	1	43	834	70	791	564	599	669	718	522
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	823	57	784	564	602	668	715	469
GCA_000151105@Thermococcus_barophilus_MP	0	31	891	102	850	677	698	752	792	602
GCA_000151205@Thermococcus_sp_AM4	1	50	853	65	809	566	610	679	734	528
GCA_000195935@Pyrococcus_abyssi_GE5	1	14	817	46	759	490	536	607	670	412
GCA_000211475@Pyrococcus_sp_NA2	1	14	818	49	777	528	561	614	682	425
GCA_000215995@Pyrococcus_yayanosii_CH1	0	18	813	66	759	530	573	633	687	472
GCA_000221185@Thermococcus_sp_4557	1	37	856	118	809	618	656	711	741	595
GCA_000246985@Thermococcus_litoralis_DSM_5473	1	21	872	66	817	617	661	710	750	535
GCA_000258515@Thermococcus_zilligii_AN1	1	18	803	62	756	564	589	644	694	502
GCA_000263735@Pyrococcus_sp_ST04	1	20	805	45	752	501	538	595	673	407
GCA_000265525@Thermococcus_cleftensis_CL1	1	56	859	108	815	598	634	692	738	559
GCA_000275605@Pyrococcus_furiosus_COM1	1	13	817	46	759	502	537	601	681	383
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	861	71	811	640	668	710	761	567
GCA_000585495@Thermococcus_nautili_30_1	1	45	856	83	807	571	624	676	732	547
GCA_000725425@Palaeococcus_pacificus_DY20341	0	20	819	66	783	607	637	689	727	527
GCA_000769655@Thermococcus_eurythermalis_A501	1	37	849	89	802	565	611	679	730	537
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	1	33	830	86	784	576	607	669	714	520
GCA_001433455@Thermococcus_barophilus_CH5	1	50	910	109	876	696	725	768	830	625
GCA_001484685@Thermococcus_sp_2319x1	0	10	837	63	785	593	627	674	717	531
GCA_001577775@Pyrococcus_kukulkanii_NCB100	1	24	816	42	761	503	543	603	683	423
GCA_001592435@Thermococcus_peptonophilus_OG_1	1	35	844	72	789	563	616	666	724	530
GCA_001647085@Thermococcus_piezophilus_CDGS	1	26	820	97	744	554	586	633	671	532
GCA_002197185@Thermococcus_sp_5_4	1	33	845	107	810	648	679	730	763	618
GCA_002214365@Thermococcus_celer_Vu_13	1	35	842	93	793	611	644	695	739	571
GCA_002214385@Thermococcus_gorgonarius_W_12	1	29	806	65	752	535	586	628	681	495
GCA_002214465@Thermococcus_barossii_SHCK_94	1	37	842	111	808	634	669	712	746	598
GCA_002214485@Thermococcus_pacificus_P4	1	28	820	97	772	569	606	663	709	523
GCA_002214505@Thermococcus_siculi_RG_20	1	36	849	94	805	615	653	705	750	586
GCA_002214525@Thermococcus_sp_P6	1	27	760	67	715	544	572	616	655	507
GCA_002214545@Thermococcus_thioreducens_OGL_20P	1	62	879	147	836	660	694	747	778	626
GCA_002214565@Thermococcus_radiotolerans_EJ2	1	29	866	113	831	657	686	739	769	622
GCA_002214585@Thermococcus_profundus_DT_5432	1	30	842	72	792	566	621	679	723	515
GCA_002214605@Thermococcus_chitonophagus	1	14	822	36	775	529	566	619	691	447
GCA_006274605@Thermococcus_indicus_IOH1	1	50	873	132	828	634	652	719	755	595
GCA_008152015@Thermococcus_aciditolerans_SY113	1	48	875	124	833	632	660	715	758	603
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	1	13	817	47	761	499	540	604	683	385
