	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	775	16	752	468	521	616	683	347
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	68	842	27	826	640	691	735	770	614
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	745	15	731	447	508	595	654	367
GCA_000018365@Thermococcus_onnurineus_NA1	0	53	803	27	784	683	709	726	747	676
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	61	812	27	789	608	646	692	739	581
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	775	20	760	510	550	648	704	374
GCA_000151105@Thermococcus_barophilus_MP	0	19	827	24	817	610	646	713	762	503
GCA_000151205@Thermococcus_sp_AM4	0	73	839	25	817	651	686	720	761	636
GCA_000195935@Pyrococcus_abyssi_GE5	0	24	748	19	730	483	527	615	671	414
GCA_000211475@Pyrococcus_sp_NA2	0	21	774	15	761	493	534	611	682	381
GCA_000215995@Pyrococcus_yayanosii_CH1	0	23	770	18	751	539	579	637	681	501
GCA_000221185@Thermococcus_sp_4557	0	100	886	20	876	798	808	827	837	796
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	20	823	30	804	592	636	707	750	487
GCA_000258515@Thermococcus_zilligii_AN1	0	41	800	20	782	606	645	686	727	590
GCA_000263735@Pyrococcus_sp_ST04	0	21	745	17	727	455	516	590	661	365
GCA_000265525@Thermococcus_cleftensis_CL1	0	106	886	30	872	781	795	814	837	758
GCA_000275605@Pyrococcus_furiosus_COM1	0	22	776	17	754	467	526	621	683	340
GCA_000517445@Thermococcus_paralvinellae_ES1	0	18	792	23	776	542	591	665	713	443
GCA_000585495@Thermococcus_nautili_30_1	0	66	845	35	838	683	709	748	778	659
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	796	21	784	560	605	683	726	472
GCA_000769655@Thermococcus_eurythermalis_A501	0	68	836	31	825	662	699	725	769	636
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	47	803	26	785	610	644	687	727	591
GCA_001433455@Thermococcus_barophilus_CH5	0	23	826	30	814	608	642	704	755	494
GCA_001484685@Thermococcus_sp_2319x1	0	21	798	19	780	582	616	681	728	486
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	24	795	16	773	499	555	633	700	426
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	47	819	29	799	648	673	725	751	620
GCA_001647085@Thermococcus_piezophilus_CDGS	0	52	795	34	766	657	678	715	733	642
GCA_002197185@Thermococcus_sp_5_4	0	58	831	25	819	746	760	777	790	740
GCA_002214365@Thermococcus_celer_Vu_13	0	46	811	27	792	694	711	741	759	684
GCA_002214385@Thermococcus_gorgonarius_W_12	0	44	773	27	758	607	625	677	707	581
GCA_002214465@Thermococcus_barossii_SHCK_94	0	63	852	27	836	742	756	778	798	728
GCA_002214485@Thermococcus_pacificus_P4	0	57	822	24	803	694	708	732	763	680
GCA_002214505@Thermococcus_siculi_RG_20	0	87	872	29	856	768	785	803	829	741
GCA_002214525@Thermococcus_sp_P6	0	31	741	24	723	598	622	645	677	585
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	90	893	29	884	796	811	836	855	777
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	60	830	22	819	728	735	759	778	715
GCA_002214585@Thermococcus_profundus_DT_5432	0	51	828	18	818	640	663	719	747	609
GCA_002214605@Thermococcus_chitonophagus	0	18	761	14	742	500	549	622	676	433
GCA_006274605@Thermococcus_indicus_IOH1	0	106	901	21	891	798	808	838	862	790
GCA_008152015@Thermococcus_aciditolerans_SY113	0	87	869	24	857	784	793	809	823	773
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	22	776	16	753	467	526	618	685	341
GCA_020386975@Thermococcus_bergensis_T7324	0	15	783	17	767	561	597	663	719	470
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	15	800	26	782	510	564	659	721	380
GCA_024022995@Thermococcus_aggregans_TY	0	25	787	16	764	559	580	656	711	444
GCA_024707485@Thermococcus_sp_813A4	0	82	887	32	878	782	797	820	841	766
GCA_028471785@Thermococcus_kodakarensis_TS900	0	68	842	27	826	640	686	733	769	610
GCA_028471865@Thermococcus_kodakarensis_TS901	0	68	842	27	826	643	690	734	770	612
GCA_035621495@Thermococcus_sp_SY098	0	24	827	27	814	607	637	711	763	500
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	18	761	14	741	500	549	623	676	433
GCA_900198835@Thermococcus_henrietii_EXT12c	0	62	840	35	823	675	698	742	769	645
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	19	797	17	784	583	624	689	736	487
GCA_904067545@Thermococcus_camini_IRI35c	1	144	938	19	934	899	905	910	921	889
Palaeococcus_helgesoni_DSM_15127	0	19	798	17	777	559	605	670	717	485
Pyrococcus_31_3	0	22	782	16	763	522	557	628	688	444
Pyrococcus_32_1	0	22	782	16	762	522	559	629	688	446
Pyrococcus_abyssi_GE2	0	24	744	20	728	496	537	620	671	418
Pyrococcus_endeavori_ES4	0	16	742	15	725	456	513	589	660	360
Pyrococcus_EXT16	0	20	781	18	762	525	564	632	694	447
Pyrococcus_sp_32_3	0	22	782	16	761	524	560	628	689	447
Pyrococcus_sp_32_4	0	22	782	16	762	517	558	630	689	446
Pyrococcus_sp_EXT_15c	0	19	766	19	752	504	545	625	684	428
Pyrococcus_sp_GE_23	0	22	752	18	736	504	550	623	667	418
Pyrococcus_sp_IRI_42C	0	16	769	15	747	478	518	600	674	378
Thermococcus_15_2	0	62	831	24	815	686	712	749	775	666
