	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	9	805	16	792	514	559	648	727	396
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	37	868	18	856	694	729	780	819	647
GCA_000011105@Pyrococcus_horikoshii_OT3	0	10	788	15	771	502	553	644	703	403
GCA_000018365@Thermococcus_onnurineus_NA1	0	36	841	29	833	734	750	782	800	706
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	35	852	24	840	664	700	759	796	642
GCA_000022545@Thermococcus_sibiricus_MM_739	0	9	816	15	798	534	580	677	745	399
GCA_000151105@Thermococcus_barophilus_MP	0	16	868	21	859	629	667	756	804	518
GCA_000151205@Thermococcus_sp_AM4	0	39	857	29	844	692	728	781	802	666
GCA_000195935@Pyrococcus_abyssi_GE5	0	10	811	13	801	550	600	680	725	460
GCA_000211475@Pyrococcus_sp_NA2	0	7	791	12	778	534	569	652	714	399
GCA_000215995@Pyrococcus_yayanosii_CH1	0	14	803	15	785	571	623	694	725	513
GCA_000221185@Thermococcus_sp_4557	0	56	900	20	891	800	811	838	858	791
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	844	13	833	611	647	739	781	522
GCA_000258515@Thermococcus_zilligii_AN1	0	18	810	23	795	636	662	713	747	603
GCA_000263735@Pyrococcus_sp_ST04	0	14	810	12	798	544	582	674	738	427
GCA_000265525@Thermococcus_cleftensis_CL1	0	75	888	28	878	786	804	820	844	770
GCA_000275605@Pyrococcus_furiosus_COM1	0	9	803	16	790	511	559	651	722	390
GCA_000517445@Thermococcus_paralvinellae_ES1	0	16	841	16	825	591	637	715	776	497
GCA_000585495@Thermococcus_nautili_30_1	0	38	860	31	848	705	734	779	802	672
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	841	20	828	601	630	721	775	493
GCA_000769655@Thermococcus_eurythermalis_A501	0	33	849	19	840	692	725	757	795	660
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	22	836	24	823	654	692	736	767	621
GCA_001433455@Thermococcus_barophilus_CH5	0	22	875	21	866	630	667	756	807	524
GCA_001484685@Thermococcus_sp_2319x1	0	13	815	14	798	594	630	704	751	513
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	12	815	15	798	541	606	675	722	475
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	28	855	25	843	683	718	766	797	641
GCA_001647085@Thermococcus_piezophilus_CDGS	0	33	829	24	812	693	715	749	774	663
GCA_002197185@Thermococcus_sp_5_4	0	66	915	16	903	879	882	888	896	874
GCA_002214365@Thermococcus_celer_Vu_13	0	36	846	28	834	748	759	778	798	751
GCA_002214385@Thermococcus_gorgonarius_W_12	0	22	810	22	799	631	658	720	755	588
GCA_002214465@Thermococcus_barossii_SHCK_94	1	133	1000	453	1000	1000	1000	1000	1000	1000
GCA_002214485@Thermococcus_pacificus_P4	0	39	839	18	828	726	745	771	791	699
GCA_002214505@Thermococcus_siculi_RG_20	0	58	900	27	891	801	825	845	862	785
GCA_002214525@Thermococcus_sp_P6	0	22	783	25	769	656	682	705	723	642
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	75	926	22	917	831	848	862	884	823
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	68	922	19	917	868	873	883	893	859
GCA_002214585@Thermococcus_profundus_DT_5432	0	29	862	27	849	691	717	784	815	658
GCA_002214605@Thermococcus_chitonophagus	0	10	802	10	783	548	602	671	717	474
GCA_006274605@Thermococcus_indicus_IOH1	0	59	895	24	880	798	809	837	851	779
GCA_008152015@Thermococcus_aciditolerans_SY113	0	58	889	21	880	782	800	825	847	774
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	9	804	16	790	516	564	651	723	392
GCA_020386975@Thermococcus_bergensis_T7324	0	8	815	18	805	580	623	699	749	513
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	7	837	18	824	555	597	708	772	400
GCA_024022995@Thermococcus_aggregans_TY	0	11	829	14	816	602	629	719	770	497
GCA_024707485@Thermococcus_sp_813A4	0	64	927	33	922	839	853	876	895	826
GCA_028471785@Thermococcus_kodakarensis_TS900	0	37	866	18	854	696	727	777	816	646
GCA_028471865@Thermococcus_kodakarensis_TS901	0	37	866	18	854	695	730	776	815	650
GCA_035621495@Thermococcus_sp_SY098	0	18	879	12	871	633	683	759	813	525
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	10	803	10	783	544	603	673	720	473
GCA_900198835@Thermococcus_henrietii_EXT12c	0	35	858	20	846	687	728	769	802	672
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	9	822	14	808	596	641	709	760	519
GCA_904067545@Thermococcus_camini_IRI35c	0	61	897	26	887	802	819	838	860	783
Palaeococcus_helgesoni_DSM_15127	0	16	839	16	820	596	645	727	769	518
Pyrococcus_31_3	0	9	815	11	796	548	618	687	737	476
Pyrococcus_32_1	0	9	815	11	797	552	616	687	736	476
Pyrococcus_abyssi_GE2	0	11	802	15	791	537	593	677	713	451
Pyrococcus_endeavori_ES4	0	12	801	10	789	536	572	663	718	417
Pyrococcus_EXT16	0	9	813	10	793	549	620	688	738	477
Pyrococcus_sp_32_3	0	9	815	11	797	555	619	688	736	475
Pyrococcus_sp_32_4	0	9	815	11	798	549	616	686	737	475
Pyrococcus_sp_EXT_15c	0	11	821	13	808	563	618	697	740	481
Pyrococcus_sp_GE_23	0	15	798	13	783	545	593	676	714	453
Pyrococcus_sp_IRI_42C	0	9	801	13	784	503	555	647	706	385
Thermococcus_15_2	0	56	886	27	874	758	783	822	846	724
Thermococcus_23_2	0	66	914	16	902	879	881	887	895	873
Thermococcus_29_3	0	41	850	32	838	689	723	770	797	655
Thermococcus_31_3	0	67	906	27	904	817	832	855	876	795
Thermococcus_aegaeus_DSM_12767	0	11	857	15	844	614	651	738	792	513
