	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	24	854	84	822	663	678	710	760	587
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	30	851	54	814	568	600	668	736	484
GCA_000011105@Pyrococcus_horikoshii_OT3	0	35	872	88	836	690	709	737	788	618
GCA_000018365@Thermococcus_onnurineus_NA1	0	16	804	49	759	522	555	609	673	438
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	29	844	46	812	553	588	672	730	466
GCA_000022545@Thermococcus_sibiricus_MM_739	0	9	794	44	755	528	556	602	681	422
GCA_000151105@Thermococcus_barophilus_MP	0	14	828	52	802	590	613	669	731	491
GCA_000151205@Thermococcus_sp_AM4	0	40	833	47	801	539	583	656	723	469
GCA_000195935@Pyrococcus_abyssi_GE5	0	34	857	100	835	693	714	739	785	640
GCA_000211475@Pyrococcus_sp_NA2	0	31	865	98	838	689	704	739	792	630
GCA_000215995@Pyrococcus_yayanosii_CH1	0	24	850	78	819	623	651	701	756	553
GCA_000221185@Thermococcus_sp_4557	0	28	837	47	806	524	570	654	726	440
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	842	44	808	589	615	676	740	484
GCA_000258515@Thermococcus_zilligii_AN1	0	14	807	49	773	512	535	616	693	432
GCA_000263735@Pyrococcus_sp_ST04	0	38	862	166	837	705	724	749	790	656
GCA_000265525@Thermococcus_cleftensis_CL1	0	33	825	49	788	502	556	622	699	441
GCA_000275605@Pyrococcus_furiosus_COM1	0	25	855	85	819	659	679	710	761	585
GCA_000517445@Thermococcus_paralvinellae_ES1	0	14	820	50	784	566	595	651	711	491
GCA_000585495@Thermococcus_nautili_30_1	0	31	842	52	813	548	594	675	735	464
GCA_000725425@Palaeococcus_pacificus_DY20341	0	18	816	40	785	553	574	632	702	436
GCA_000769655@Thermococcus_eurythermalis_A501	0	27	856	52	827	545	585	674	745	461
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	28	843	49	819	572	601	678	744	475
GCA_001433455@Thermococcus_barophilus_CH5	0	30	874	57	848	626	655	698	768	521
GCA_001484685@Thermococcus_sp_2319x1	0	10	801	48	758	541	565	622	689	445
GCA_001577775@Pyrococcus_kukulkanii_NCB100	1	138	1000	475	1000	1000	1000	1000	1000	1000
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	18	821	47	788	543	581	643	704	445
GCA_001647085@Thermococcus_piezophilus_CDGS	0	20	801	49	740	485	527	588	651	418
GCA_002197185@Thermococcus_sp_5_4	0	17	818	45	790	534	566	644	712	445
GCA_002214365@Thermococcus_celer_Vu_13	0	23	830	45	793	488	539	623	710	425
GCA_002214385@Thermococcus_gorgonarius_W_12	0	17	785	42	748	513	547	612	670	423
GCA_002214465@Thermococcus_barossii_SHCK_94	0	26	842	42	807	523	563	659	726	448
GCA_002214485@Thermococcus_pacificus_P4	0	19	811	43	780	519	556	629	700	439
GCA_002214505@Thermococcus_siculi_RG_20	0	28	845	49	813	542	588	658	738	446
GCA_002214525@Thermococcus_sp_P6	0	10	753	37	720	466	510	580	640	409
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	33	836	51	805	529	575	647	720	442
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	14	836	47	804	550	576	669	732	454
GCA_002214585@Thermococcus_profundus_DT_5432	0	18	831	46	802	540	578	656	722	446
GCA_002214605@Thermococcus_chitonophagus	0	46	904	261	884	810	824	829	852	791
GCA_006274605@Thermococcus_indicus_IOH1	0	39	857	49	826	533	587	669	740	451
GCA_008152015@Thermococcus_aciditolerans_SY113	0	34	838	49	804	523	571	656	722	426
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	25	857	84	823	665	682	713	764	589
GCA_020386975@Thermococcus_bergensis_T7324	0	8	780	42	746	531	564	625	684	443
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	10	804	43	769	536	568	628	684	416
GCA_024022995@Thermococcus_aggregans_TY	0	16	815	40	786	571	602	654	711	468
GCA_024707485@Thermococcus_sp_813A4	0	23	842	50	810	536	581	671	734	458
GCA_028471785@Thermococcus_kodakarensis_TS900	0	30	852	54	813	567	597	671	732	484
GCA_028471865@Thermococcus_kodakarensis_TS901	0	30	852	54	813	567	597	667	735	481
GCA_035621495@Thermococcus_sp_SY098	0	27	840	54	811	595	614	667	737	491
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	46	907	260	887	814	826	832	856	794
GCA_900198835@Thermococcus_henrietii_EXT12c	0	36	846	59	809	549	602	679	744	467
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	15	802	45	755	547	568	626	684	450
GCA_904067545@Thermococcus_camini_IRI35c	0	32	835	51	795	523	582	641	712	449
Palaeococcus_helgesoni_DSM_15127	0	21	808	37	758	518	548	615	691	425
Pyrococcus_31_3	0	56	900	243	881	806	813	828	853	792
Pyrococcus_32_1	0	56	900	243	882	806	811	830	853	792
Pyrococcus_abyssi_GE2	0	46	875	91	848	704	730	755	798	650
Pyrococcus_endeavori_ES4	0	37	861	152	840	708	724	753	794	658
Pyrococcus_EXT16	0	50	892	244	879	800	811	823	847	784
Pyrococcus_sp_32_3	0	56	900	242	881	805	813	830	854	791
Pyrococcus_sp_32_4	0	56	899	242	880	802	812	827	852	792
Pyrococcus_sp_EXT_15c	0	71	912	273	897	833	841	850	869	820
Pyrococcus_sp_GE_23	0	33	874	94	856	708	738	767	808	650
