	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	14	762	38	740	464	524	613	684	365
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	77	865	120	850	685	726	769	806	665
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	774	34	754	460	532	623	698	378
GCA_000018365@Thermococcus_onnurineus_NA1	0	52	796	102	784	640	674	717	740	613
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	62	828	152	817	661	686	727	775	639
GCA_000022545@Thermococcus_sibiricus_MM_739	0	14	765	42	745	462	506	622	689	355
GCA_000151105@Thermococcus_barophilus_MP	0	32	816	44	795	525	581	670	733	434
GCA_000151205@Thermococcus_sp_AM4	0	68	840	155	825	703	721	758	794	674
GCA_000195935@Pyrococcus_abyssi_GE5	0	24	776	38	761	517	570	650	710	439
GCA_000211475@Pyrococcus_sp_NA2	0	20	796	42	779	496	563	648	721	407
GCA_000215995@Pyrococcus_yayanosii_CH1	0	30	782	49	758	552	591	661	709	511
GCA_000221185@Thermococcus_sp_4557	0	66	839	119	823	673	706	749	778	656
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	816	48	801	535	590	667	727	452
GCA_000258515@Thermococcus_zilligii_AN1	0	39	783	85	769	605	642	686	730	570
GCA_000263735@Pyrococcus_sp_ST04	0	24	772	44	754	482	546	636	706	398
GCA_000265525@Thermococcus_cleftensis_CL1	0	75	830	126	817	677	691	741	770	652
GCA_000275605@Pyrococcus_furiosus_COM1	0	15	761	39	740	459	521	615	685	368
GCA_000517445@Thermococcus_paralvinellae_ES1	0	29	790	53	773	515	578	657	722	444
GCA_000585495@Thermococcus_nautili_30_1	0	137	934	370	929	894	900	905	915	893
GCA_000725425@Palaeococcus_pacificus_DY20341	0	12	791	42	779	506	568	666	718	438
GCA_000769655@Thermococcus_eurythermalis_A501	0	80	862	211	844	758	768	794	814	745
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	55	818	133	804	656	681	724	758	633
GCA_001433455@Thermococcus_barophilus_CH5	0	38	850	48	833	559	608	706	766	468
GCA_001484685@Thermococcus_sp_2319x1	0	8	761	43	749	527	560	625	689	454
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	27	811	43	791	544	597	681	738	468
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	57	838	126	825	681	711	755	793	650
GCA_001647085@Thermococcus_piezophilus_CDGS	0	39	791	93	777	623	653	697	731	606
GCA_002197185@Thermococcus_sp_5_4	0	43	801	115	790	658	681	724	751	640
GCA_002214365@Thermococcus_celer_Vu_13	0	38	797	107	783	645	669	702	746	627
GCA_002214385@Thermococcus_gorgonarius_W_12	0	50	792	105	773	628	650	699	737	590
GCA_002214465@Thermococcus_barossii_SHCK_94	0	50	825	109	813	665	697	736	769	640
GCA_002214485@Thermococcus_pacificus_P4	0	53	788	120	770	643	669	701	734	623
GCA_002214505@Thermococcus_siculi_RG_20	0	57	824	115	808	662	685	726	768	644
GCA_002214525@Thermococcus_sp_P6	0	22	725	73	713	569	599	639	672	541
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	72	847	126	835	660	692	738	777	635
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	44	812	110	797	645	681	726	753	628
GCA_002214585@Thermococcus_profundus_DT_5432	0	49	821	100	806	651	687	734	766	620
GCA_002214605@Thermococcus_chitonophagus	0	19	805	42	786	523	572	663	729	468
GCA_006274605@Thermococcus_indicus_IOH1	0	77	855	130	841	695	728	779	804	682
GCA_008152015@Thermococcus_aciditolerans_SY113	0	74	864	138	851	704	738	774	811	676
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	15	763	39	741	464	525	617	686	369
GCA_020386975@Thermococcus_bergensis_T7324	0	11	777	49	759	522	573	655	704	438
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	18	782	48	766	458	513	627	700	340
GCA_024022995@Thermococcus_aggregans_TY	0	21	787	44	771	537	575	643	713	448
GCA_024707485@Thermococcus_sp_813A4	0	68	852	125	837	666	702	742	791	645
GCA_028471785@Thermococcus_kodakarensis_TS900	0	77	864	120	849	689	728	768	806	662
GCA_028471865@Thermococcus_kodakarensis_TS901	0	77	864	120	849	686	728	769	805	663
GCA_035621495@Thermococcus_sp_SY098	0	38	816	44	799	528	578	667	741	456
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	19	806	42	787	525	576	666	731	471
GCA_900198835@Thermococcus_henrietii_EXT12c	0	111	916	309	908	856	860	878	890	851
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	12	774	47	755	521	560	639	697	443
GCA_904067545@Thermococcus_camini_IRI35c	0	73	836	124	821	665	695	738	779	643
Palaeococcus_helgesoni_DSM_15127	0	14	774	41	755	496	545	638	694	440
Pyrococcus_31_3	0	24	807	40	789	520	577	666	730	463
Pyrococcus_32_1	0	24	807	40	789	522	576	667	732	459
Pyrococcus_abyssi_GE2	0	26	778	39	760	514	571	646	706	434
Pyrococcus_endeavori_ES4	0	19	772	42	755	484	544	631	704	398
Pyrococcus_EXT16	0	28	811	42	797	520	580	676	741	466
Pyrococcus_sp_32_3	0	24	807	40	789	520	576	667	730	462
Pyrococcus_sp_32_4	0	24	807	40	790	522	573	667	730	460
Pyrococcus_sp_EXT_15c	0	30	808	46	793	542	603	681	750	473
Pyrococcus_sp_GE_23	0	23	781	37	758	521	574	642	701	440
Pyrococcus_sp_IRI_42C	0	16	772	34	751	464	517	626	695	353
Thermococcus_15_2	0	58	815	111	802	660	689	730	769	644
Thermococcus_23_2	0	43	801	112	790	658	681	724	753	643
Thermococcus_29_3	1	125	919	357	909	869	875	887	891	867
Thermococcus_31_3	0	68	828	116	811	655	687	733	764	630
Thermococcus_aegaeus_DSM_12767	0	15	789	50	774	524	568	653	719	435
Thermococcus_aggregans_DSM_12819	0	21	787	44	770	533	573	644	713	454
Thermococcus_alcaliphilus_DSM_10322	0	15	795	51	782	524	583	653	728	450
Thermococcus_AMTc11	0	78	886	127	872	707	741	796	830	695
Thermococcus_AMTc30	0	106	887	301	877	818	827	844	860	814
Thermococcus_AMTc51	0	90	878	278	869	800	811	836	852	785
Thermococcus_AMTc85	0	105	883	301	874	813	820	839	855	812
