	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	10	888	53	868	584	633	748	828	441
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	22	912	80	895	758	787	833	858	715
GCA_000011105@Pyrococcus_horikoshii_OT3	0	4	872	47	851	580	637	733	805	442
GCA_000018365@Thermococcus_onnurineus_NA1	0	21	872	110	864	770	796	816	836	757
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	20	891	74	878	739	764	815	844	695
GCA_000022545@Thermococcus_sibiricus_MM_739	0	7	858	50	843	566	631	754	806	428
GCA_000151105@Thermococcus_barophilus_MP	0	14	894	52	883	649	696	798	847	521
GCA_000151205@Thermococcus_sp_AM4	0	23	886	75	877	732	767	801	836	692
GCA_000195935@Pyrococcus_abyssi_GE5	0	8	878	50	858	616	654	765	805	497
GCA_000211475@Pyrococcus_sp_NA2	0	5	870	46	851	587	640	744	804	458
GCA_000215995@Pyrococcus_yayanosii_CH1	0	10	867	49	856	646	705	774	810	587
GCA_000221185@Thermococcus_sp_4557	0	25	914	118	908	827	838	860	874	810
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	10	908	51	896	710	753	832	867	584
GCA_000258515@Thermococcus_zilligii_AN1	0	15	886	79	876	739	757	808	834	675
GCA_000263735@Pyrococcus_sp_ST04	0	5	877	50	856	576	618	741	808	450
GCA_000265525@Thermococcus_cleftensis_CL1	0	27	913	117	904	818	835	857	872	783
GCA_000275605@Pyrococcus_furiosus_COM1	0	10	888	53	868	583	632	749	827	444
GCA_000517445@Thermococcus_paralvinellae_ES1	0	10	868	50	852	618	666	777	818	507
GCA_000585495@Thermococcus_nautili_30_1	0	18	893	85	880	735	768	818	843	696
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	895	57	882	661	692	796	841	525
GCA_000769655@Thermococcus_eurythermalis_A501	0	25	916	91	904	764	795	842	865	734
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	15	890	76	883	740	771	819	845	694
GCA_001433455@Thermococcus_barophilus_CH5	0	14	904	52	884	659	705	806	848	546
GCA_001484685@Thermococcus_sp_2319x1	0	12	896	52	886	695	731	808	847	590
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	6	882	49	862	622	651	741	819	505
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	20	896	86	888	743	773	827	858	696
GCA_001647085@Thermococcus_piezophilus_CDGS	0	25	889	92	873	769	794	829	840	751
GCA_002197185@Thermococcus_sp_5_4	0	21	894	123	885	831	842	853	864	808
GCA_002214365@Thermococcus_celer_Vu_13	0	31	941	151	933	894	902	911	917	878
GCA_002214385@Thermococcus_gorgonarius_W_12	0	15	864	74	852	709	736	785	812	661
GCA_002214465@Thermococcus_barossii_SHCK_94	0	24	907	126	900	834	846	861	877	812
GCA_002214485@Thermococcus_pacificus_P4	0	20	892	114	884	797	817	838	857	767
GCA_002214505@Thermococcus_siculi_RG_20	0	30	907	116	899	813	829	854	872	781
GCA_002214525@Thermococcus_sp_P6	1	56	1000	385	1000	1000	1000	1000	1000	1000
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	31	917	132	908	859	867	880	890	843
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	24	898	127	892	833	843	861	877	815
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	899	79	888	740	778	838	860	707
GCA_002214605@Thermococcus_chitonophagus	0	6	867	46	851	604	648	738	798	495
GCA_006274605@Thermococcus_indicus_IOH1	0	28	911	118	900	803	819	847	869	772
GCA_008152015@Thermococcus_aciditolerans_SY113	0	28	918	118	911	818	841	861	880	784
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	10	888	52	868	580	629	746	830	443
GCA_020386975@Thermococcus_bergensis_T7324	0	7	880	52	862	661	711	780	828	574
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	876	54	867	586	640	768	824	413
GCA_024022995@Thermococcus_aggregans_TY	0	9	878	52	867	658	711	799	831	554
