	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	9	820	35	806	505	563	678	741	378
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	25	882	97	871	711	744	792	826	684
GCA_000011105@Pyrococcus_horikoshii_OT3	0	8	807	28	787	513	553	667	731	389
GCA_000018365@Thermococcus_onnurineus_NA1	0	32	868	192	854	759	777	804	822	741
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	28	873	96	860	688	714	769	801	669
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	844	46	826	574	612	726	777	424
GCA_000151105@Thermococcus_barophilus_MP	0	17	906	63	892	665	706	795	846	547
GCA_000151205@Thermococcus_sp_AM4	0	30	887	91	870	701	743	796	826	689
GCA_000195935@Pyrococcus_abyssi_GE5	0	12	820	30	804	549	608	694	744	469
GCA_000211475@Pyrococcus_sp_NA2	0	8	812	32	788	531	592	675	731	428
GCA_000215995@Pyrococcus_yayanosii_CH1	0	13	817	42	794	576	624	694	738	533
GCA_000221185@Thermococcus_sp_4557	0	50	926	269	917	824	840	865	879	817
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	11	874	39	855	652	694	773	814	543
GCA_000258515@Thermococcus_zilligii_AN1	0	14	836	73	816	651	681	734	771	624
GCA_000263735@Pyrococcus_sp_ST04	0	10	823	35	807	542	592	691	752	412
GCA_000265525@Thermococcus_cleftensis_CL1	0	51	899	205	887	784	800	832	855	768
GCA_000275605@Pyrococcus_furiosus_COM1	0	9	820	36	803	504	563	677	738	375
GCA_000517445@Thermococcus_paralvinellae_ES1	0	15	873	52	856	629	672	767	817	497
GCA_000585495@Thermococcus_nautili_30_1	0	32	878	121	859	716	748	789	824	698
GCA_000725425@Palaeococcus_pacificus_DY20341	0	17	877	51	860	633	686	775	820	530
GCA_000769655@Thermococcus_eurythermalis_A501	0	32	878	115	863	711	746	777	814	686
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	21	857	104	842	682	716	761	795	656
GCA_001433455@Thermococcus_barophilus_CH5	0	18	901	61	888	672	706	797	843	548
GCA_001484685@Thermococcus_sp_2319x1	0	10	852	40	833	636	660	745	786	536
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	10	832	30	818	558	604	695	763	467
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	26	879	102	868	705	736	795	822	670
GCA_001647085@Thermococcus_piezophilus_CDGS	0	32	841	160	818	714	736	766	784	692
GCA_002197185@Thermococcus_sp_5_4	1	94	1000	419	1000	1000	1000	1000	1000	1000
GCA_002214365@Thermococcus_celer_Vu_13	0	33	870	185	858	773	786	805	827	769
GCA_002214385@Thermococcus_gorgonarius_W_12	0	23	832	83	814	645	696	740	772	622
GCA_002214465@Thermococcus_barossii_SHCK_94	0	63	955	315	951	918	922	934	939	914
GCA_002214485@Thermococcus_pacificus_P4	0	34	877	171	865	743	769	795	827	725
GCA_002214505@Thermococcus_siculi_RG_20	0	48	920	208	909	820	838	856	878	804
GCA_002214525@Thermococcus_sp_P6	0	18	813	123	797	681	700	725	757	665
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	56	933	269	927	849	858	881	894	831
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	70	960	356	953	918	921	929	936	915
GCA_002214585@Thermococcus_profundus_DT_5432	0	26	889	103	875	717	748	804	827	683
GCA_002214605@Thermococcus_chitonophagus	0	11	833	35	814	557	597	692	752	466
GCA_006274605@Thermococcus_indicus_IOH1	0	52	916	241	899	814	822	850	869	799
GCA_008152015@Thermococcus_aciditolerans_SY113	0	51	921	242	909	822	837	862	883	813
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	9	819	37	805	508	563	678	739	374
GCA_020386975@Thermococcus_bergensis_T7324	0	10	842	41	826	605	652	735	782	519
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	8	873	46	858	584	636	758	809	421
GCA_024022995@Thermococcus_aggregans_TY	0	11	849	41	832	615	661	744	787	519
GCA_024707485@Thermococcus_sp_813A4	0	54	936	274	932	874	883	898	912	864
GCA_028471785@Thermococcus_kodakarensis_TS900	0	25	881	97	870	708	745	792	824	685
GCA_028471865@Thermococcus_kodakarensis_TS901	0	25	881	97	870	709	745	791	822	684
GCA_035621495@Thermococcus_sp_SY098	0	17	905	59	892	666	715	792	843	566
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	11	834	35	816	560	604	694	754	468
GCA_900198835@Thermococcus_henrietii_EXT12c	0	32	874	115	860	722	744	785	820	692
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	855	40	837	629	669	743	792	523
GCA_904067545@Thermococcus_camini_IRI35c	0	47	915	253	904	826	834	857	880	809
Palaeococcus_helgesoni_DSM_15127	0	13	870	43	851	642	692	763	803	557
Pyrococcus_31_3	0	11	842	33	823	569	621	704	763	484
Pyrococcus_32_1	0	11	842	33	825	570	622	706	762	483
Pyrococcus_abyssi_GE2	0	14	822	28	803	551	605	693	748	467
Pyrococcus_endeavori_ES4	0	10	821	32	804	534	584	687	750	407
Pyrococcus_EXT16	0	11	837	35	820	573	623	705	763	476
Pyrococcus_sp_32_3	0	11	842	33	824	567	621	705	763	481
Pyrococcus_sp_32_4	0	11	842	33	824	568	622	705	765	483
Pyrococcus_sp_EXT_15c	0	10	839	38	827	579	628	715	777	477
Pyrococcus_sp_GE_23	0	13	823	31	806	564	612	698	747	472
Pyrococcus_sp_IRI_42C	0	7	814	27	799	502	577	669	738	374
Thermococcus_15_2	0	53	914	153	904	779	802	839	874	756
Thermococcus_23_2	1	93	1000	417	1000	1000	1000	1000	1000	1000
Thermococcus_29_3	0	33	870	118	854	712	744	782	814	694
Thermococcus_31_3	0	50	920	262	910	832	850	872	885	828
Thermococcus_aegaeus_DSM_12767	0	10	880	41	861	641	678	760	821	525
Thermococcus_aggregans_DSM_12819	0	11	849	41	831	611	664	746	787	522
Thermococcus_alcaliphilus_DSM_10322	0	8	887	46	873	654	711	784	837	553
Thermococcus_AMTc11	0	50	947	302	943	877	885	910	925	876
Thermococcus_AMTc30	0	37	893	114	877	723	763	805	837	701
Thermococcus_AMTc51	0	29	878	113	865	727	759	799	831	702
Thermococcus_AMTc85	0	33	882	114	868	716	760	795	830	704
Thermococcus_atlanticus_DSM_15226	0	24	911	104	903	754	795	841	874	721
