	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	19	892	18	876	772	790	821	852	707
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	18	876	12	859	614	655	738	804	490
GCA_000011105@Pyrococcus_horikoshii_OT3	0	20	886	18	874	777	785	810	841	705
GCA_000018365@Thermococcus_onnurineus_NA1	0	15	830	14	810	577	621	711	765	463
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	19	829	18	798	540	588	663	740	431
GCA_000022545@Thermococcus_sibiricus_MM_739	0	7	816	18	789	594	614	678	732	465
GCA_000151105@Thermococcus_barophilus_MP	0	11	863	11	844	666	691	752	801	561
GCA_000151205@Thermococcus_sp_AM4	0	22	828	15	808	556	598	685	755	440
GCA_000195935@Pyrococcus_abyssi_GE5	0	26	899	18	890	783	811	844	859	709
GCA_000211475@Pyrococcus_sp_NA2	0	23	895	16	885	784	806	832	862	716
GCA_000215995@Pyrococcus_yayanosii_CH1	0	15	854	24	844	675	707	780	812	586
GCA_000221185@Thermococcus_sp_4557	0	15	845	15	819	534	590	686	766	431
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	5	870	16	842	662	684	737	799	531
GCA_000258515@Thermococcus_zilligii_AN1	0	15	816	11	793	549	601	671	753	441
GCA_000263735@Pyrococcus_sp_ST04	0	68	1000	388	1000	1000	1000	1000	1000	1000
GCA_000265525@Thermococcus_cleftensis_CL1	0	17	842	11	822	548	590	688	761	430
GCA_000275605@Pyrococcus_furiosus_COM1	0	19	890	17	871	770	785	817	848	699
GCA_000517445@Thermococcus_paralvinellae_ES1	0	8	852	10	832	662	689	731	789	543
GCA_000585495@Thermococcus_nautili_30_1	0	18	849	17	833	567	637	725	786	476
GCA_000725425@Palaeococcus_pacificus_DY20341	0	7	842	17	825	613	647	712	771	468
GCA_000769655@Thermococcus_eurythermalis_A501	0	14	859	18	843	573	636	726	788	453
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	12	824	15	803	556	603	681	758	444
GCA_001433455@Thermococcus_barophilus_CH5	0	11	876	12	865	682	714	769	818	572
GCA_001484685@Thermococcus_sp_2319x1	0	8	851	14	822	646	674	729	780	534
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	31	904	16	887	824	834	856	869	779
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	16	851	11	840	578	641	711	789	486
GCA_001647085@Thermococcus_piezophilus_CDGS	0	9	834	8	804	564	619	678	743	460
GCA_002197185@Thermococcus_sp_5_4	0	9	833	16	810	571	613	707	771	440
GCA_002214365@Thermococcus_celer_Vu_13	0	14	840	13	817	530	601	691	772	413
GCA_002214385@Thermococcus_gorgonarius_W_12	0	13	792	12	772	546	586	651	721	438
GCA_002214465@Thermococcus_barossii_SHCK_94	0	13	843	14	824	581	638	717	780	470
GCA_002214485@Thermococcus_pacificus_P4	0	12	821	13	800	549	592	681	754	445
GCA_002214505@Thermococcus_siculi_RG_20	0	15	832	15	817	540	593	687	760	441
GCA_002214525@Thermococcus_sp_P6	0	8	786	12	763	492	564	639	713	389
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	14	827	15	809	568	612	692	762	449
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	10	839	12	820	572	631	715	781	451
GCA_002214585@Thermococcus_profundus_DT_5432	0	15	830	10	815	581	623	692	764	462
GCA_002214605@Thermococcus_chitonophagus	0	23	916	23	907	845	856	875	890	801
GCA_006274605@Thermococcus_indicus_IOH1	0	21	868	23	844	577	629	719	789	468
GCA_008152015@Thermococcus_aciditolerans_SY113	0	14	863	20	845	561	617	714	787	443
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	19	889	16	873	778	792	821	851	708
GCA_020386975@Thermococcus_bergensis_T7324	0	5	832	14	811	627	638	689	757	517
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	7	830	18	808	624	644	695	755	481
GCA_024022995@Thermococcus_aggregans_TY	0	9	838	14	819	638	662	720	778	509
GCA_024707485@Thermococcus_sp_813A4	0	14	846	15	830	575	625	713	783	453
GCA_028471785@Thermococcus_kodakarensis_TS900	0	18	874	12	857	605	654	736	806	497
GCA_028471865@Thermococcus_kodakarensis_TS901	0	18	874	12	857	609	651	736	805	495
GCA_035621495@Thermococcus_sp_SY098	0	12	868	10	845	658	697	756	803	552
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	23	917	23	909	849	859	878	892	805
GCA_900198835@Thermococcus_henrietii_EXT12c	0	24	880	13	866	574	641	742	817	477
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	7	848	17	825	650	667	730	779	527
GCA_904067545@Thermococcus_camini_IRI35c	0	19	844	15	819	551	611	699	762	430
Palaeococcus_helgesoni_DSM_15127	0	11	851	10	832	606	632	697	773	474
Pyrococcus_31_3	0	23	936	26	925	861	876	892	908	806
Pyrococcus_32_1	0	23	936	26	925	861	879	894	909	809
Pyrococcus_abyssi_GE2	0	31	895	21	881	770	791	828	845	700
Pyrococcus_endeavori_ES4	0	60	975	14	969	957	958	959	959	957
Pyrococcus_EXT16	0	24	931	21	920	854	868	885	900	801
Pyrococcus_sp_32_3	0	23	936	26	925	860	877	893	909	807
Pyrococcus_sp_32_4	0	23	936	25	925	859	877	893	908	810
Pyrococcus_sp_EXT_15c	0	25	902	20	893	822	836	852	876	771
Pyrococcus_sp_GE_23	0	24	878	17	867	768	785	810	841	680
Pyrococcus_sp_IRI_42C	0	16	881	21	864	756	774	797	838	681
Thermococcus_15_2	0	17	851	12	832	592	636	723	789	468
Thermococcus_23_2	0	9	832	14	810	569	606	705	770	439
Thermococcus_29_3	0	18	845	15	828	563	617	715	776	465
Thermococcus_31_3	0	20	841	15	818	562	617	695	770	449
Thermococcus_aegaeus_DSM_12767	0	8	839	16	817	641	661	710	772	513
Thermococcus_aggregans_DSM_12819	0	9	838	14	819	634	663	720	776	514
Thermococcus_alcaliphilus_DSM_10322	0	3	847	14	829	652	676	724	785	533
Thermococcus_AMTc11	0	26	877	16	860	582	659	748	810	466
Thermococcus_AMTc30	0	21	848	13	831	555	623	715	785	465
Thermococcus_AMTc51	0	19	854	9	838	582	635	712	792	483
Thermococcus_AMTc85	0	18	841	11	823	558	613	715	778	461
Thermococcus_atlanticus_DSM_15226	0	10	882	15	864	634	680	746	810	513
Thermococcus_barophilus_423_3_23	0	9	873	6	856	675	699	755	808	555
Thermococcus_barophilus_CH1	0	10	865	11	845	661	695	752	798	561
Thermococcus_barophilus_DT4	0	12	837	12	815	644	667	716	773	536
Thermococcus_coalescens_TS1	0	11	845	15	829	575	627	719	782	467
Thermococcus_E15P35	0	23	853	16	835	560	619	718	783	467
Thermococcus_EXT11c	0	22	833	13	817	555	611	702	769	460
Thermococcus_fumicolans_ST557	0	17	832	16	815	560	600	688	751	436
Thermococcus_IRI_06c	0	20	850	18	833	561	613	710	777	452
Thermococcus_IRI15c	0	18	848	15	823	563	605	699	774	438
Thermococcus_marinus_DSM_15227	0	21	863	18	846	578	637	727	794	452
Thermococcus_prieuri_Col3	0	16	857	12	833	591	634	729	789	461
Thermococcus_profundus_DSM_9503	0	15	829	10	814	577	620	693	765	467
Thermococcus_sp_23_4	0	9	833	14	809	569	608	707	772	443
Thermococcus_sp_26_2	0	16	855	13	837	564	634	715	792	483
Thermococcus_sp_33_3	0	24	855	14	839	563	629	730	794	468
Thermococcus_sp_9_3	0	21	847	14	832	565	622	723	779	469
Thermococcus_sp_AMTc09	0	16	857	13	841	565	639	715	795	476
Thermococcus_sp_AMTc102	0	16	855	14	836	561	634	723	794	477
Thermococcus_sp_AMTc71	0	12	841	16	821	545	601	696	768	435
Thermococcus_sp_AMTc72	0	12	841	16	821	548	600	694	768	437
Thermococcus_sp_AMTc79	0	18	847	15	829	570	634	726	787	474
Thermococcus_sp_AMTc94	0	18	847	13	830	570	632	721	780	473
Thermococcus_sp_CIR_03a	0	19	867	15	849	602	652	738	798	483
Thermococcus_sp_CIR_10a	0	13	884	8	868	678	704	770	822	559
Thermococcus_sp_DS1	0	19	854	12	834	584	641	725	794	468
Thermococcus_sp_E10P11	0	18	847	14	830	558	619	713	779	464
Thermococcus_sp_E10P8	0	18	847	14	832	552	619	713	778	461
Thermococcus_sp_E15p33	0	23	854	16	836	559	622	718	784	466
Thermococcus_sp_EXT09c	0	18	838	12	824	568	612	704	778	463
Thermococcus_sp_IRI_05c	0	19	845	9	829	589	623	708	785	468
Thermococcus_sp_IRI10c	0	18	848	16	826	566	613	705	778	444
Thermococcus_sp_IRI14c	0	18	848	14	822	558	606	696	772	440
Thermococcus_sp_IRI24c	0	18	844	14	825	548	603	693	770	437
Thermococcus_sp_IRI25c	0	18	849	14	824	558	608	697	776	438
Thermococcus_sp_IRI27c2	0	18	844	14	825	548	599	695	770	433
Thermococcus_sp_IRI29c	0	18	844	14	826	549	599	691	769	437
Thermococcus_sp_IRI_33c	0	18	851	12	832	576	639	722	789	462
Thermococcus_sp_TPV	0	24	887	15	871	580	650	738	818	493
Thermococcus_sp_unknown	0	22	846	13	833	559	637	714	788	484
Thermococcus_stetteri_DSM_5262	0	16	865	15	844	597	653	727	796	501
Thermococcus_waiotapuensis_WT1	0	11	811	12	790	531	591	661	738	442
