	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	16	855	45	825	580	610	690	771	429
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	51	910	98	889	744	771	818	849	716
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	850	42	811	559	602	670	753	443
GCA_000018365@Thermococcus_onnurineus_NA1	0	45	887	84	865	699	732	783	820	665
GCA_000022365@Thermococcus_gammatolerans_EJ3	1	60	912	98	891	760	789	832	862	730
GCA_000022545@Thermococcus_sibiricus_MM_739	0	16	866	44	828	573	610	709	773	451
GCA_000151105@Thermococcus_barophilus_MP	0	21	891	42	871	632	670	754	820	523
GCA_000151205@Thermococcus_sp_AM4	0	66	919	103	897	771	799	834	871	744
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	852	41	829	592	628	700	766	484
GCA_000211475@Pyrococcus_sp_NA2	0	19	856	44	827	568	606	681	760	453
GCA_000215995@Pyrococcus_yayanosii_CH1	0	20	852	41	823	594	640	704	761	536
GCA_000221185@Thermococcus_sp_4557	0	46	904	84	885	716	747	796	840	678
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	888	47	863	654	686	763	819	555
GCA_000258515@Thermococcus_zilligii_AN1	0	57	903	217	885	795	800	824	843	789
GCA_000263735@Pyrococcus_sp_ST04	0	20	840	44	815	557	588	671	754	452
GCA_000265525@Thermococcus_cleftensis_CL1	0	46	905	93	885	723	749	804	837	680
GCA_000275605@Pyrococcus_furiosus_COM1	0	16	856	46	826	577	607	688	772	426
GCA_000517445@Thermococcus_paralvinellae_ES1	0	24	874	41	845	614	647	727	796	508
GCA_000585495@Thermococcus_nautili_30_1	0	58	915	94	891	722	755	808	851	690
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	864	41	838	601	644	720	787	487
GCA_000769655@Thermococcus_eurythermalis_A501	0	50	915	91	890	740	765	820	855	708
