	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	785	21	760	468	503	602	692	354
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	68	843	31	828	656	688	743	781	616
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	763	17	742	446	501	594	664	342
GCA_000018365@Thermococcus_onnurineus_NA1	0	50	808	37	795	691	720	743	764	663
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	59	811	27	790	583	630	681	728	562
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	774	19	760	482	527	644	702	364
GCA_000151105@Thermococcus_barophilus_MP	0	18	830	26	824	588	631	721	768	472
GCA_000151205@Thermococcus_sp_AM4	0	70	840	28	821	629	672	721	764	602
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	767	18	746	482	525	619	682	407
GCA_000211475@Pyrococcus_sp_NA2	0	21	784	16	766	479	530	620	693	389
GCA_000215995@Pyrococcus_yayanosii_CH1	0	19	782	18	767	531	586	645	704	497
GCA_000221185@Thermococcus_sp_4557	0	104	904	20	891	827	830	849	868	814
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	832	23	817	579	625	713	768	490
GCA_000258515@Thermococcus_zilligii_AN1	0	39	797	27	773	599	645	689	724	573
GCA_000263735@Pyrococcus_sp_ST04	0	19	765	19	745	458	509	598	676	384
GCA_000265525@Thermococcus_cleftensis_CL1	0	105	885	37	875	785	800	825	846	777
GCA_000275605@Pyrococcus_furiosus_COM1	0	23	785	22	762	468	510	607	693	357
GCA_000517445@Thermococcus_paralvinellae_ES1	0	19	784	24	772	535	581	658	715	449
GCA_000585495@Thermococcus_nautili_30_1	0	64	851	34	835	688	711	753	782	650
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	800	14	787	554	611	694	740	487
GCA_000769655@Thermococcus_eurythermalis_A501	0	69	853	28	835	667	707	752	792	645
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	54	807	25	785	605	642	696	731	583
GCA_001433455@Thermococcus_barophilus_CH5	0	28	851	25	840	594	638	735	783	485
GCA_001484685@Thermococcus_sp_2319x1	0	21	810	23	793	566	606	689	743	478
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	27	801	18	778	496	553	631	700	410
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	48	815	29	803	644	692	740	766	629
GCA_001647085@Thermococcus_piezophilus_CDGS	0	42	807	37	782	663	688	728	743	644
GCA_002197185@Thermococcus_sp_5_4	0	58	837	29	825	749	763	786	802	747
GCA_002214365@Thermococcus_celer_Vu_13	0	33	813	33	800	707	727	746	769	692
GCA_002214385@Thermococcus_gorgonarius_W_12	0	43	770	22	751	589	626	671	701	562
GCA_002214465@Thermococcus_barossii_SHCK_94	0	69	857	28	847	753	770	792	810	739
GCA_002214485@Thermococcus_pacificus_P4	0	60	825	36	811	709	731	757	778	682
GCA_002214505@Thermococcus_siculi_RG_20	0	87	880	34	872	779	789	814	837	759
GCA_002214525@Thermococcus_sp_P6	0	29	742	27	723	598	627	655	681	588
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	97	902	33	891	796	813	841	858	776
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	64	845	27	833	742	755	787	802	729
GCA_002214585@Thermococcus_profundus_DT_5432	0	52	828	24	813	628	667	723	767	597
GCA_002214605@Thermococcus_chitonophagus	0	16	775	17	753	478	520	610	689	405
GCA_006274605@Thermococcus_indicus_IOH1	0	113	916	33	901	814	829	851	872	805
GCA_008152015@Thermococcus_aciditolerans_SY113	0	97	884	19	874	807	813	829	845	797
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	23	786	20	762	469	509	603	698	354
GCA_020386975@Thermococcus_bergensis_T7324	0	12	782	23	763	533	594	663	720	464
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	15	801	17	787	501	556	676	732	358
GCA_024022995@Thermococcus_aggregans_TY	0	20	802	20	783	534	578	657	719	459
GCA_024707485@Thermococcus_sp_813A4	0	94	903	31	889	810	822	849	866	784
GCA_028471785@Thermococcus_kodakarensis_TS900	0	68	842	31	827	656	687	742	778	615
GCA_028471865@Thermococcus_kodakarensis_TS901	0	68	842	31	827	655	686	741	779	615
GCA_035621495@Thermococcus_sp_SY098	0	24	836	23	826	587	630	729	777	485
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	16	776	17	754	480	527	611	692	405
GCA_900198835@Thermococcus_henrietii_EXT12c	0	65	861	39	843	671	702	758	785	642
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	23	804	21	785	563	614	687	738	479
GCA_904067545@Thermococcus_camini_IRI35c	0	137	942	22	936	903	907	913	923	901
Palaeococcus_helgesoni_DSM_15127	0	24	810	22	795	542	602	681	736	488
Pyrococcus_31_3	0	19	793	16	772	498	544	629	704	412
Pyrococcus_32_1	0	19	793	16	772	494	536	629	705	411
Pyrococcus_abyssi_GE2	0	23	753	20	726	476	514	600	670	408
Pyrococcus_endeavori_ES4	0	16	753	20	734	449	493	583	665	371
Pyrococcus_EXT16	0	16	794	15	775	492	533	629	708	416
Pyrococcus_sp_32_3	0	19	793	16	772	496	540	629	705	411
Pyrococcus_sp_32_4	0	19	793	16	771	499	540	631	705	414
Pyrococcus_sp_EXT_15c	0	21	773	17	757	473	538	611	686	408
Pyrococcus_sp_GE_23	0	20	753	19	730	479	519	601	668	399
Pyrococcus_sp_IRI_42C	0	13	780	17	759	465	526	605	684	378
Thermococcus_15_2	0	65	824	35	815	682	707	753	778	661
Thermococcus_23_2	0	58	836	30	824	748	762	785	801	747
Thermococcus_29_3	0	59	829	32	816	663	696	741	766	629
Thermococcus_31_3	0	79	866	30	853	749	761	785	813	718
Thermococcus_aegaeus_DSM_12767	0	13	816	20	802	546	606	691	748	466
Thermococcus_aggregans_DSM_12819	0	20	801	20	781	534	577	656	720	459
Thermococcus_alcaliphilus_DSM_10322	0	10	799	22	782	567	606	687	742	479
Thermococcus_AMTc11	0	86	903	35	889	793	805	830	854	784
Thermococcus_AMTc30	0	73	827	26	812	664	696	736	761	637
Thermococcus_AMTc51	0	58	835	29	823	658	704	744	763	637
Thermococcus_AMTc85	0	66	831	24	817	660	694	737	766	631
Thermococcus_atlanticus_DSM_15226	0	49	859	31	846	658	700	760	798	640
Thermococcus_barophilus_423_3_23	0	22	830	25	820	579	616	707	767	471
Thermococcus_barophilus_CH1	0	24	833	28	825	582	626	720	770	482
Thermococcus_barophilus_DT4	0	35	810	21	798	542	595	683	742	443
Thermococcus_coalescens_TS1	0	87	897	31	882	786	799	833	850	765
Thermococcus_E15P35	0	65	837	36	822	665	695	738	764	630
Thermococcus_EXT11c	0	67	822	28	806	660	689	721	756	629
Thermococcus_fumicolans_ST557	0	55	835	26	822	656	695	742	776	637
Thermococcus_IRI_06c	0	117	896	30	885	806	823	836	860	796
Thermococcus_IRI15c	0	154	951	23	949	913	916	926	938	908
