	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	5	814	25	796	603	635	687	743	490
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	14	854	18	832	607	644	709	777	526
GCA_000011105@Pyrococcus_horikoshii_OT3	0	4	805	17	791	583	621	672	727	443
GCA_000018365@Thermococcus_onnurineus_NA1	0	12	818	27	807	601	645	710	757	541
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	7	806	19	784	566	596	677	734	476
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	857	29	843	764	765	780	807	748
GCA_000151105@Thermococcus_barophilus_MP	0	4	871	28	859	721	736	779	815	650
GCA_000151205@Thermococcus_sp_AM4	0	11	814	22	791	556	594	678	727	457
GCA_000195935@Pyrococcus_abyssi_GE5	0	10	816	16	804	583	615	687	754	477
GCA_000211475@Pyrococcus_sp_NA2	0	8	816	20	799	602	632	672	745	481
GCA_000215995@Pyrococcus_yayanosii_CH1	0	6	821	25	801	581	618	683	745	484
GCA_000221185@Thermococcus_sp_4557	0	11	855	19	832	591	629	719	771	506
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	18	902	28	891	829	831	852	866	812
GCA_000258515@Thermococcus_zilligii_AN1	0	10	800	18	775	558	594	655	719	478
GCA_000263735@Pyrococcus_sp_ST04	0	5	808	23	790	594	609	676	737	484
GCA_000265525@Thermococcus_cleftensis_CL1	0	15	843	21	823	591	628	700	768	509
GCA_000275605@Pyrococcus_furiosus_COM1	0	5	812	26	796	601	629	683	741	487
GCA_000517445@Thermococcus_paralvinellae_ES1	0	5	844	26	833	695	718	754	795	643
GCA_000585495@Thermococcus_nautili_30_1	0	12	841	21	823	591	626	703	763	483
GCA_000725425@Palaeococcus_pacificus_DY20341	0	7	834	24	822	691	710	742	784	622
GCA_000769655@Thermococcus_eurythermalis_A501	0	16	846	20	829	595	635	712	765	508
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	8	829	27	810	594	634	700	746	524
GCA_001433455@Thermococcus_barophilus_CH5	0	7	876	26	864	725	739	777	818	666
GCA_001484685@Thermococcus_sp_2319x1	0	11	850	30	830	746	748	761	796	736
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	5	834	23	818	612	645	706	757	493
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	12	839	20	815	600	634	705	755	502
GCA_001647085@Thermococcus_piezophilus_CDGS	0	10	808	22	786	584	617	677	733	507
GCA_002197185@Thermococcus_sp_5_4	0	5	845	20	826	604	639	724	768	520
GCA_002214365@Thermococcus_celer_Vu_13	0	6	822	22	804	570	599	687	748	480
GCA_002214385@Thermococcus_gorgonarius_W_12	0	9	793	15	771	564	592	659	715	493
GCA_002214465@Thermococcus_barossii_SHCK_94	0	6	844	18	826	602	635	716	774	506
GCA_002214485@Thermococcus_pacificus_P4	0	16	840	19	819	607	648	720	768	539
GCA_002214505@Thermococcus_siculi_RG_20	0	10	867	23	845	608	627	723	782	513
GCA_002214525@Thermococcus_sp_P6	0	4	770	20	750	554	576	659	703	471
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	10	852	20	837	609	656	733	785	523
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	7	841	20	826	607	630	723	780	514
GCA_002214585@Thermococcus_profundus_DT_5432	0	9	827	22	805	571	614	687	739	486
GCA_002214605@Thermococcus_chitonophagus	0	6	809	25	790	605	628	683	743	489
GCA_006274605@Thermococcus_indicus_IOH1	0	16	859	22	838	609	637	723	777	513
GCA_008152015@Thermococcus_aciditolerans_SY113	0	11	865	22	848	614	644	735	787	518
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	5	815	26	798	605	633	684	741	485
GCA_020386975@Thermococcus_bergensis_T7324	0	12	872	23	851	789	791	805	824	773
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	865	31	854	766	770	794	819	732
GCA_024022995@Thermococcus_aggregans_TY	0	60	1000	17	1000	999	999	999	999	998
GCA_024707485@Thermococcus_sp_813A4	0	17	861	21	848	640	677	741	793	547
GCA_028471785@Thermococcus_kodakarensis_TS900	0	14	853	18	831	608	642	707	776	522
