	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	19	764	39	745	486	534	628	694	370
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	72	873	112	864	708	746	792	827	681
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	773	34	761	506	563	647	709	398
GCA_000018365@Thermococcus_onnurineus_NA1	0	50	821	101	810	681	712	754	779	663
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	70	864	150	854	701	727	772	803	680
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	763	31	741	452	502	617	678	355
GCA_000151105@Thermococcus_barophilus_MP	0	25	832	47	819	572	622	711	757	468
GCA_000151205@Thermococcus_sp_AM4	0	77	888	168	880	769	788	829	852	748
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	787	38	775	548	594	677	723	458
GCA_000211475@Pyrococcus_sp_NA2	0	18	792	40	776	522	576	656	714	424
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	793	41	778	554	603	679	721	506
GCA_000221185@Thermococcus_sp_4557	0	56	842	117	827	698	727	763	784	671
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	811	42	795	564	610	690	738	476
GCA_000258515@Thermococcus_zilligii_AN1	0	37	810	82	793	640	675	717	745	618
GCA_000263735@Pyrococcus_sp_ST04	0	29	797	44	784	512	584	655	715	428
GCA_000265525@Thermococcus_cleftensis_CL1	0	64	854	131	839	724	730	783	809	693
GCA_000275605@Pyrococcus_furiosus_COM1	0	19	763	41	744	477	531	624	693	369
GCA_000517445@Thermococcus_paralvinellae_ES1	0	25	802	50	792	540	606	687	739	455
GCA_000585495@Thermococcus_nautili_30_1	0	115	927	311	919	876	878	891	898	866
GCA_000725425@Palaeococcus_pacificus_DY20341	0	18	802	39	779	554	593	683	724	440
GCA_000769655@Thermococcus_eurythermalis_A501	0	66	866	204	862	778	798	812	827	771
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	54	824	138	818	669	699	739	770	649
GCA_001433455@Thermococcus_barophilus_CH5	0	34	862	51	847	584	640	733	784	476
