	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	5	847	53	807	607	634	681	757	513
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	15	887	51	853	605	634	708	784	514
GCA_000011105@Pyrococcus_horikoshii_OT3	0	4	839	39	788	574	599	658	726	432
GCA_000018365@Thermococcus_onnurineus_NA1	0	14	862	49	818	605	646	712	756	535
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	8	851	43	815	555	586	669	732	470
GCA_000022545@Thermococcus_sibiricus_MM_739	0	15	884	178	848	749	757	771	800	732
GCA_000151105@Thermococcus_barophilus_MP	0	4	908	90	882	747	754	790	830	674
GCA_000151205@Thermococcus_sp_AM4	0	12	857	44	818	552	600	672	743	465
GCA_000195935@Pyrococcus_abyssi_GE5	0	11	843	48	802	594	614	671	742	466
GCA_000211475@Pyrococcus_sp_NA2	0	10	845	46	799	599	623	661	740	472
GCA_000215995@Pyrococcus_yayanosii_CH1	0	8	855	54	814	588	615	694	759	485
GCA_000221185@Thermococcus_sp_4557	0	12	897	45	860	588	635	715	789	509
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	20	933	239	907	838	841	861	879	824
GCA_000258515@Thermococcus_zilligii_AN1	0	11	855	43	816	570	610	673	740	479
GCA_000263735@Pyrococcus_sp_ST04	0	5	838	39	800	594	607	675	742	484
GCA_000265525@Thermococcus_cleftensis_CL1	0	18	873	51	833	589	623	690	763	497
GCA_000275605@Pyrococcus_furiosus_COM1	0	5	846	54	804	610	631	679	756	513
GCA_000517445@Thermococcus_paralvinellae_ES1	0	5	884	78	851	708	728	758	806	645
GCA_000585495@Thermococcus_nautili_30_1	0	12	863	50	825	564	603	687	750	467
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	866	66	838	689	713	746	796	601
GCA_000769655@Thermococcus_eurythermalis_A501	0	16	879	63	849	606	645	714	776	513
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	9	872	63	845	618	654	716	777	526
GCA_001433455@Thermococcus_barophilus_CH5	0	10	913	89	879	760	762	800	841	683
GCA_001484685@Thermococcus_sp_2319x1	0	13	889	223	859	769	772	792	826	760
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	5	863	40	828	607	634	700	771	486
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	12	871	50	843	608	632	699	774	517
GCA_001647085@Thermococcus_piezophilus_CDGS	0	12	873	49	803	573	616	674	739	505
GCA_002197185@Thermococcus_sp_5_4	0	7	881	46	841	613	655	724	777	517
GCA_002214365@Thermococcus_celer_Vu_13	0	6	858	49	827	577	624	699	770	487
GCA_002214385@Thermococcus_gorgonarius_W_12	0	9	843	45	802	570	595	657	724	480
GCA_002214465@Thermococcus_barossii_SHCK_94	0	8	880	49	845	611	642	717	775	514
GCA_002214485@Thermococcus_pacificus_P4	0	16	878	43	835	622	655	733	787	521
GCA_002214505@Thermococcus_siculi_RG_20	0	13	891	43	853	597	636	728	791	495
GCA_002214525@Thermococcus_sp_P6	0	5	814	44	781	557	587	661	717	490
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	12	897	52	862	623	659	730	799	525
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	10	876	44	844	607	644	722	782	519
GCA_002214585@Thermococcus_profundus_DT_5432	0	10	867	47	831	573	596	681	755	476
GCA_002214605@Thermococcus_chitonophagus	0	6	842	42	808	582	610	671	747	463
GCA_006274605@Thermococcus_indicus_IOH1	0	18	894	54	868	597	647	720	794	518
GCA_008152015@Thermococcus_aciditolerans_SY113	0	14	891	55	859	609	637	730	792	506
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	5	846	54	809	606	634	680	760	506
GCA_020386975@Thermococcus_bergensis_T7324	0	14	911	203	877	794	801	815	840	784
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	10	895	167	861	771	778	797	825	743
GCA_024022995@Thermococcus_aggregans_TY	0	60	1000	555	1000	1000	1000	1000	1000	1000
GCA_024707485@Thermococcus_sp_813A4	0	19	899	52	866	632	670	741	806	533
