	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	13	834	31	820	547	588	681	751	419
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	47	903	99	898	750	786	830	862	730
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	818	30	796	530	574	654	732	424
GCA_000018365@Thermococcus_onnurineus_NA1	0	46	868	144	856	733	764	787	813	716
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	46	864	83	846	693	717	763	806	644
GCA_000022545@Thermococcus_sibiricus_MM_739	0	15	849	38	841	566	625	717	780	451
GCA_000151105@Thermococcus_barophilus_MP	0	21	877	39	870	626	670	754	810	529
GCA_000151205@Thermococcus_sp_AM4	0	47	869	82	859	717	735	787	820	678
GCA_000195935@Pyrococcus_abyssi_GE5	0	16	825	29	812	563	610	689	752	479
GCA_000211475@Pyrococcus_sp_NA2	0	11	826	33	811	548	594	684	738	445
GCA_000215995@Pyrococcus_yayanosii_CH1	0	24	830	36	814	591	625	702	744	539
GCA_000221185@Thermococcus_sp_4557	0	61	909	183	897	799	816	840	868	781
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	16	879	39	868	652	693	778	826	534
GCA_000258515@Thermococcus_zilligii_AN1	0	35	861	118	843	723	740	779	810	692
GCA_000263735@Pyrococcus_sp_ST04	0	20	829	29	814	552	594	685	751	434
GCA_000265525@Thermococcus_cleftensis_CL1	0	59	898	183	889	773	785	819	847	749
GCA_000275605@Pyrococcus_furiosus_COM1	0	14	832	30	814	541	582	676	744	415
GCA_000517445@Thermococcus_paralvinellae_ES1	0	22	860	40	848	591	639	733	792	495
GCA_000585495@Thermococcus_nautili_30_1	0	47	878	112	868	729	751	792	829	703
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	866	38	851	625	651	751	804	526
GCA_000769655@Thermococcus_eurythermalis_A501	0	50	894	104	884	741	768	821	848	723
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	36	873	92	864	701	729	786	821	677
GCA_001433455@Thermococcus_barophilus_CH5	0	26	880	37	872	624	668	756	809	530
GCA_001484685@Thermococcus_sp_2319x1	0	11	867	39	857	625	671	752	814	549
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	17	849	33	828	581	627	707	767	481
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	41	882	99	876	740	764	811	834	715
GCA_001647085@Thermococcus_piezophilus_CDGS	0	34	844	121	828	694	722	757	785	676
GCA_002197185@Thermococcus_sp_5_4	0	44	881	165	872	771	785	817	834	744
GCA_002214365@Thermococcus_celer_Vu_13	0	39	879	127	868	762	782	808	834	741
GCA_002214385@Thermococcus_gorgonarius_W_12	0	46	872	144	851	738	752	799	824	706
GCA_002214465@Thermococcus_barossii_SHCK_94	0	47	884	159	876	756	775	811	836	738
GCA_002214485@Thermococcus_pacificus_P4	1	108	1000	491	1000	1000	1000	1000	1000	1000
GCA_002214505@Thermococcus_siculi_RG_20	0	55	901	205	885	790	802	826	853	778
GCA_002214525@Thermococcus_sp_P6	0	26	810	92	796	659	674	704	751	638
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	54	893	160	881	760	771	811	841	740
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	44	884	161	874	759	781	817	836	738
GCA_002214585@Thermococcus_profundus_DT_5432	0	36	874	107	862	707	738	797	831	690
GCA_002214605@Thermococcus_chitonophagus	0	17	820	30	805	555	613	689	741	483
GCA_006274605@Thermococcus_indicus_IOH1	0	60	903	182	895	797	809	840	860	776
GCA_008152015@Thermococcus_aciditolerans_SY113	0	58	897	185	886	787	809	832	849	766
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	14	834	30	821	542	588	681	752	418
GCA_020386975@Thermococcus_bergensis_T7324	0	13	858	36	843	640	682	745	802	558
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	854	36	845	551	605	711	781	398
GCA_024022995@Thermococcus_aggregans_TY	0	19	861	40	846	623	655	754	805	532
