	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	29	891	70	863	675	714	772	826	571
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	35	905	56	884	664	705	778	837	602
GCA_000011105@Pyrococcus_horikoshii_OT3	0	20	879	73	843	668	694	758	806	564
GCA_000018365@Thermococcus_onnurineus_NA1	0	24	876	66	849	691	725	780	816	639
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	24	867	50	832	631	672	729	774	573
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	841	56	809	564	603	693	755	413
GCA_000151105@Thermococcus_barophilus_MP	0	18	888	79	870	685	712	787	832	575
GCA_000151205@Thermococcus_sp_AM4	0	28	866	49	832	640	687	741	786	587
GCA_000195935@Pyrococcus_abyssi_GE5	0	23	885	71	855	704	739	784	825	625
GCA_000211475@Pyrococcus_sp_NA2	0	36	906	74	885	722	747	808	847	619
GCA_000215995@Pyrococcus_yayanosii_CH1	0	89	1000	422	1000	1000	1000	1000	1000	1000
GCA_000221185@Thermococcus_sp_4557	0	20	872	55	842	636	692	752	790	599
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	17	909	62	876	664	695	783	849	573
GCA_000258515@Thermococcus_zilligii_AN1	0	20	886	57	860	631	680	747	806	578
GCA_000263735@Pyrococcus_sp_ST04	0	20	893	81	874	699	741	789	839	611
GCA_000265525@Thermococcus_cleftensis_CL1	0	28	872	67	843	651	684	743	790	605
GCA_000275605@Pyrococcus_furiosus_COM1	0	29	891	70	860	678	713	770	824	571
GCA_000517445@Thermococcus_paralvinellae_ES1	0	14	864	68	840	647	686	754	804	551
GCA_000585495@Thermococcus_nautili_30_1	0	25	893	67	862	682	717	774	813	605
GCA_000725425@Palaeococcus_pacificus_DY20341	0	12	882	49	865	646	675	779	828	516
GCA_000769655@Thermococcus_eurythermalis_A501	0	30	917	70	890	675	727	792	838	600
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	22	872	61	841	642	687	748	799	574
GCA_001433455@Thermococcus_barophilus_CH5	0	26	915	79	893	702	736	807	860	598
GCA_001484685@Thermococcus_sp_2319x1	0	18	887	54	854	637	671	766	816	530
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	24	911	81	882	728	771	809	856	652
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	30	896	53	874	661	711	769	827	601
GCA_001647085@Thermococcus_piezophilus_CDGS	0	26	897	65	861	671	722	784	810	615
GCA_002197185@Thermococcus_sp_5_4	0	14	862	52	836	647	699	752	789	601
GCA_002214365@Thermococcus_celer_Vu_13	0	18	865	55	837	647	702	747	787	604
GCA_002214385@Thermococcus_gorgonarius_W_12	0	22	842	52	803	596	641	706	745	538
GCA_002214465@Thermococcus_barossii_SHCK_94	0	18	870	55	845	644	697	763	802	598
GCA_002214485@Thermococcus_pacificus_P4	0	19	857	54	834	642	688	744	782	583
GCA_002214505@Thermococcus_siculi_RG_20	0	19	865	52	827	630	676	732	770	576
GCA_002214525@Thermococcus_sp_P6	0	17	826	46	795	598	643	713	746	553
