	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	29	739	49	715	450	501	580	640	340
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	71	836	106	814	633	676	716	750	612
GCA_000011105@Pyrococcus_horikoshii_OT3	0	24		48	707	460	508	581	644	352
GCA_000018365@Thermococcus_onnurineus_NA1	0	43	771	99	752	589	620	665	701	572
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	132	904	292	890	814	816	835	861	798
GCA_000022545@Thermococcus_sibiricus_MM_739	0	9	724	43	703	452	485	573	648	338
GCA_000151105@Thermococcus_barophilus_MP	0	25	788	60	775	509	564	649	713	444
GCA_000151205@Thermococcus_sp_AM4	0	222	1000	457	1000	1000	1000	1000	1000	1000
GCA_000195935@Pyrococcus_abyssi_GE5	0	23	743	52	719	504	551	614	665	423
GCA_000211475@Pyrococcus_sp_NA2	0	21	735	57	719	473	520	591	661	387
GCA_000215995@Pyrococcus_yayanosii_CH1	0	25	733	60	709	513	557	610	647	469
GCA_000221185@Thermococcus_sp_4557	0	54	799	120	779	629	638	693	725	590
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	17	763	52	745	512	572	625	683	438
GCA_000258515@Thermococcus_zilligii_AN1	0	43	789	109	760	602	631	671	702	586
GCA_000263735@Pyrococcus_sp_ST04	0	25	735	48	709	467	511	595	652	372
GCA_000265525@Thermococcus_cleftensis_CL1	0	77	813	117	793	617	644	697	735	600
GCA_000275605@Pyrococcus_furiosus_COM1	0	29	739	50	716	449	497	582	642	342
GCA_000517445@Thermococcus_paralvinellae_ES1	0	21	758	53	732	479	529	614	675	416
GCA_000585495@Thermococcus_nautili_30_1	0	80	838	165	818	687	717	755	779	669
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	740	51	714	476	520	594	651	412
GCA_000769655@Thermococcus_eurythermalis_A501	0	58	824	135	802	652	674	725	751	632
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	75	827	205	807	713	719	750	770	699
GCA_001433455@Thermococcus_barophilus_CH5	0	35	811	57	798	527	576	670	726	450
GCA_001484685@Thermococcus_sp_2319x1	0	13	722	48	707	482	535	599	653	424
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	39	780	53	757	515	559	638	689	434
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	49	805	100	786	638	672	718	740	614
GCA_001647085@Thermococcus_piezophilus_CDGS	0	34	745	88	720	557	588	639	669	530
GCA_002197185@Thermococcus_sp_5_4	0	38	777	115	751	617	643	681	703	596
GCA_002214365@Thermococcus_celer_Vu_13	0	43	774	98	758	603	624	671	701	575
GCA_002214385@Thermococcus_gorgonarius_W_12	0	52	775	115	755	627	649	688	715	597
GCA_002214465@Thermococcus_barossii_SHCK_94	0	43	799	114	781	626	653	697	732	604
GCA_002214485@Thermococcus_pacificus_P4	0	42	767	103	749	599	626	664	696	573
GCA_002214505@Thermococcus_siculi_RG_20	0	57	812	109	791	622	641	699	734	595
GCA_002214525@Thermococcus_sp_P6	0	28	685	76	665	520	543	588	613	487
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	75	836	115	814	620	661	697	746	603
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	33	792	112	770	613	641	693	717	585
GCA_002214585@Thermococcus_profundus_DT_5432	0	85	863	144	850	716	742	783	811	694
GCA_002214605@Thermococcus_chitonophagus	0	23	758	53	738	496	548	621	681	423
GCA_006274605@Thermococcus_indicus_IOH1	0	72	823	110	806	651	678	724	757	620
GCA_008152015@Thermococcus_aciditolerans_SY113	0	61	812	107	791	612	644	697	734	588
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	29	740	51	715	454	503	583	643	344
GCA_020386975@Thermococcus_bergensis_T7324	0	9	735	56	717	489	539	608	653	439
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	14	731	49	713	419	470	573	643	302
GCA_024022995@Thermococcus_aggregans_TY	0	9	747	52	727	499	528	606	653	425
GCA_024707485@Thermococcus_sp_813A4	0	64	823	121	807	629	661	712	746	602
GCA_028471785@Thermococcus_kodakarensis_TS900	0	71	835	106	814	635	675	714	748	613
GCA_028471865@Thermococcus_kodakarensis_TS901	0	71	835	106	813	633	674	715	747	613
