	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	21	771	44	751	474	509	600	696	345
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	78	846	113	821	635	658	722	766	601
GCA_000011105@Pyrococcus_horikoshii_OT3	0	11	755	40	732	447	497	590	665	338
GCA_000018365@Thermococcus_onnurineus_NA1	0	55	803	205	788	670	701	721	747	656
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	68	822	99	802	587	618	689	726	564
GCA_000022545@Thermococcus_sibiricus_MM_739	0	15	782	56	761	502	528	625	701	401
GCA_000151105@Thermococcus_barophilus_MP	0	32	834	66	817	583	631	708	761	518
GCA_000151205@Thermococcus_sp_AM4	0	66	830	99	808	606	638	703	744	590
GCA_000195935@Pyrococcus_abyssi_GE5	0	24	754	42	735	489	537	607	682	402
GCA_000211475@Pyrococcus_sp_NA2	0	24	764	43	738	474	519	607	672	386
GCA_000215995@Pyrococcus_yayanosii_CH1	0	30	773	62	748	531	572	634	692	487
GCA_000221185@Thermococcus_sp_4557	0	81	863	237	842	709	722	764	798	690
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	20	817	52	801	586	626	699	757	504
GCA_000258515@Thermococcus_zilligii_AN1	0	35	785	89	761	563	587	642	687	522
GCA_000263735@Pyrococcus_sp_ST04	0	20	760	47	734	466	509	600	671	364
GCA_000265525@Thermococcus_cleftensis_CL1	0	103	876	211	849	710	731	766	792	686
GCA_000275605@Pyrococcus_furiosus_COM1	0	23	773	45	753	472	508	602	695	350
GCA_000517445@Thermococcus_paralvinellae_ES1	0	30	789	64	778	575	606	675	725	490
GCA_000585495@Thermococcus_nautili_30_1	0	83	847	130	827	634	673	728	765	610
GCA_000725425@Palaeococcus_pacificus_DY20341	0	20	804	55	777	565	616	673	723	481
GCA_000769655@Thermococcus_eurythermalis_A501	0	74	827	126	809	637	661	708	751	599
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	61	807	115	780	593	618	686	722	566
GCA_001433455@Thermococcus_barophilus_CH5	0	46	858	70	837	599	656	733	783	543
GCA_001484685@Thermococcus_sp_2319x1	0	19	778	60	760	545	588	652	708	477
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	24	789	46	758	514	556	633	702	427
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	46	804	124	786	605	627	689	728	567
GCA_001647085@Thermococcus_piezophilus_CDGS	0	45	804	176	778	654	674	708	732	628
GCA_002197185@Thermococcus_sp_5_4	0	67	844	287	832	742	752	779	797	735
GCA_002214365@Thermococcus_celer_Vu_13	0	52	819	202	798	697	709	727	759	681
GCA_002214385@Thermococcus_gorgonarius_W_12	0	42	760	93	740	553	582	632	680	514
GCA_002214465@Thermococcus_barossii_SHCK_94	0	83	868	273	856	758	763	795	822	745
GCA_002214485@Thermococcus_pacificus_P4	0	57	796	171	780	642	656	696	730	609
GCA_002214505@Thermococcus_siculi_RG_20	0	77	845	203	828	704	720	750	784	684
GCA_002214525@Thermococcus_sp_P6	0	30	740	130	718	594	609	640	669	579
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	108	896	315	879	808	811	832	839	804
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	73	847	275	837	734	743	774	800	726
GCA_002214585@Thermococcus_profundus_DT_5432	0	49	822	104	801	596	632	690	733	566
GCA_002214605@Thermococcus_chitonophagus	0	21	782	41	758	517	552	628	696	427
GCA_006274605@Thermococcus_indicus_IOH1	0	82	863	233	839	715	729	779	802	697
GCA_008152015@Thermococcus_aciditolerans_SY113	0	103	868	239	851	716	728	773	803	694
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	23	772	44	750	471	506	599	695	349
GCA_020386975@Thermococcus_bergensis_T7324	0	13	758	54	739	536	581	638	698	459
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	17	807	59	790	514	558	664	733	376
GCA_024022995@Thermococcus_aggregans_TY	0	19	781	56	762	535	570	653	705	463
GCA_024707485@Thermococcus_sp_813A4	0	96	896	298	880	805	817	830	852	796
GCA_028471785@Thermococcus_kodakarensis_TS900	0	78	846	113	821	636	655	724	765	600
GCA_028471865@Thermococcus_kodakarensis_TS901	0	78	846	113	820	638	655	721	766	597
GCA_035621495@Thermococcus_sp_SY098	0	44	849	71	831	587	634	708	766	511
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	21	783	41	760	517	553	633	698	431
GCA_900198835@Thermococcus_henrietii_EXT12c	0	59	835	128	809	621	647	705	747	582
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	19	780	62	761	549	591	651	717	475
GCA_904067545@Thermococcus_camini_IRI35c	0	99	874	263	856	738	753	776	805	714
Palaeococcus_helgesoni_DSM_15127	0	20	796	56	774	544	597	665	714	468
Pyrococcus_31_3	0	22	788	41	766	523	554	645	706	424
Pyrococcus_32_1	0	22	788	41	768	521	554	645	703	427
Pyrococcus_abyssi_GE2	0	26	757	43	736	490	529	612	680	408
Pyrococcus_endeavori_ES4	0	17	758	44	727	468	498	591	668	357
Pyrococcus_EXT16	0	24	787	41	761	525	548	643	703	425
Pyrococcus_sp_32_3	0	22	788	41	767	521	552	642	703	425
Pyrococcus_sp_32_4	0	22	787	41	766	524	551	637	703	429
Pyrococcus_sp_EXT_15c	0	22	788	45	764	510	543	635	704	422
Pyrococcus_sp_GE_23	0	24	763	40	739	492	533	612	687	413
Pyrococcus_sp_IRI_42C	0	18	761	44	738	471	505	603	667	372
Thermococcus_15_2	0	70	831	165	812	646	674	713	747	632
Thermococcus_23_2	0	67	844	285	833	743	754	779	794	735
Thermococcus_29_3	0	68	842	126	825	625	665	719	759	607
Thermococcus_31_3	0	88	874	262	859	751	758	790	817	737
Thermococcus_aegaeus_DSM_12767	0	14	798	54	779	560	595	667	723	476
Thermococcus_aggregans_DSM_12819	0	19	781	56	762	535	567	652	706	463
Thermococcus_alcaliphilus_DSM_10322	0	13	804	51	786	568	605	673	731	502
Thermococcus_AMTc11	0	93	893	276	881	755	773	812	844	745
Thermococcus_AMTc30	0	65	833	130	810	610	652	707	754	593
Thermococcus_AMTc51	0	55	825	126	801	626	664	705	753	610
Thermococcus_AMTc85	0	79	837	131	813	613	651	707	751	598
Thermococcus_atlanticus_DSM_15226	0	65	861	119	847	649	701	762	802	620
Thermococcus_barophilus_423_3_23	0	30	826	67	808	593	628	708	755	503
Thermococcus_barophilus_CH1	0	41	850	71	835	589	642	719	775	520
Thermococcus_barophilus_DT4	0	40	826	73	800	580	612	697	739	488
Thermococcus_coalescens_TS1	0	83	881	277	869	782	788	805	830	774
Thermococcus_E15P35	0	77	850	124	830	634	674	729	772	607
Thermococcus_EXT11c	0	69	827	124	803	602	647	701	744	582
Thermococcus_fumicolans_ST557	0	79	827	130	805	624	658	705	742	590
Thermococcus_IRI_06c	0	113	878	241	853	726	745	779	808	702
Thermococcus_IRI15c	0	103	891	270	875	761	768	797	828	736
Thermococcus_marinus_DSM_15227	0	62	820	124	800	635	659	702	743	601
Thermococcus_prieuri_Col3	0	76	846	167	824	661	678	727	761	633
Thermococcus_profundus_DSM_9503	0	49	821	104	799	596	635	690	734	565
Thermococcus_sp_23_4	0	67	844	286	832	742	752	780	795	735
Thermococcus_sp_26_2	0	62	822	124	799	611	639	693	731	588
Thermococcus_sp_33_3	0	81	850	132	829	629	660	720	766	607
Thermococcus_sp_9_3	0	90	855	129	832	638	673	722	768	614
