	n_trg	n_cds	n_intergenic	n_f1	n_f2
GCA_000007305@Pyrococcus_furiosus_DSM_3638	8	726	0	256	336
GCA_000009965@Thermococcus_kodakarensis_KOD1	37	780	3	183	344
GCA_000011105@Pyrococcus_horikoshii_OT3	26	709	1	214	280
GCA_000018365@Thermococcus_onnurineus_NA1	25	743	5	240	396
GCA_000022365@Thermococcus_gammatolerans_EJ3	35	763	2	168	320
GCA_000022545@Thermococcus_sibiricus_MM_739	18	727	1	351	433
GCA_000151105@Thermococcus_barophilus_MP	76	862	399	771	781
GCA_000151205@Thermococcus_sp_AM4	34	753	3	144	310
GCA_000195935@Pyrococcus_abyssi_GE5	14	728	1	207	317
GCA_000211475@Pyrococcus_sp_NA2	23	758	0	246	337
GCA_000215995@Pyrococcus_yayanosii_CH1	27	736	8	192	335
GCA_000221185@Thermococcus_sp_4557	25	748	4	152	320
GCA_000246985@Thermococcus_litoralis_DSM_5473	35	778	8	408	507
GCA_000258515@Thermococcus_zilligii_AN1	26	707	3	174	295
GCA_000263735@Pyrococcus_sp_ST04	12	722	0	250	330
GCA_000265525@Thermococcus_cleftensis_CL1	34	743	4	151	309
GCA_000275605@Pyrococcus_furiosus_COM1	8	727	0	259	338
GCA_000517445@Thermococcus_paralvinellae_ES1	43	808	97	661	684
GCA_000585495@Thermococcus_nautili_30_1	34	764	5	146	300
GCA_000725425@Palaeococcus_pacificus_DY20341	27	766	6	383	465
GCA_000769655@Thermococcus_eurythermalis_A501	30	764	4	169	329
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	40	733	2	181	323
GCA_001433455@Thermococcus_barophilus_CH5	185	1000	663	1000	1000
GCA_001484685@Thermococcus_sp_2319x1	19	725	7	374	442
GCA_001577775@Pyrococcus_kukulkanii_NCB100	28	746	1	245	348
GCA_001592435@Thermococcus_peptonophilus_OG_1	26	748	2	182	315
GCA_001647085@Thermococcus_piezophilus_CDGS	25	711	4	217	385
GCA_002197185@Thermococcus_sp_5_4	21	753	2	152	327
GCA_002214365@Thermococcus_celer_Vu_13	21	745	3	111	280
GCA_002214385@Thermococcus_gorgonarius_W_12	28	696	2	176	307
GCA_002214465@Thermococcus_barossii_SHCK_94	32	758	2	184	342
GCA_002214485@Thermococcus_pacificus_P4	23	712	2	152	308
GCA_002214505@Thermococcus_siculi_RG_20	38	736	2	142	321
GCA_002214525@Thermococcus_sp_P6	11	661	4	168	266
GCA_002214545@Thermococcus_thioreducens_OGL_20P	45	781	10	224	382
GCA_002214565@Thermococcus_radiotolerans_EJ2	20	769	3	167	311
GCA_002214585@Thermococcus_profundus_DT_5432	24	734	2	158	301
GCA_002214605@Thermococcus_chitonophagus	21	757	1	237	339
GCA_006274605@Thermococcus_indicus_IOH1	31	780	2	159	324
GCA_008152015@Thermococcus_aciditolerans_SY113	40	785	5	164	334
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	8	730	0	258	341
GCA_020386975@Thermococcus_bergensis_T7324	14	728	5	365	455
GCA_023746595@Thermococcus_argininiproducens_IOH2	24	771	5	381	464
GCA_024022995@Thermococcus_aggregans_TY	18	744	4	370	449
GCA_024707485@Thermococcus_sp_813A4	38	798	5	226	385
GCA_028471785@Thermococcus_kodakarensis_TS900	37	779	3	183	342
GCA_028471865@Thermococcus_kodakarensis_TS901	37	779	3	183	342
GCA_035621495@Thermococcus_sp_SY098	96	873	296	767	777
GCA_900012635@Thermococcus_chitonophagus_isolate_1	21	761	1	238	342
