	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	17	820	49	776	513	561	642	721	410
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	68	891	125	871	679	717	770	822	650
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	827	51	794	506	559	646	726	415
GCA_000018365@Thermococcus_onnurineus_NA1	0	31	842	96	807	610	657	711	747	587
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	66	904	226	880	784	798	827	854	773
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	814	62	776	513	564	645	718	384
GCA_000151105@Thermococcus_barophilus_MP	0	17	851	63	817	566	615	700	755	472
GCA_000151205@Thermococcus_sp_AM4	0	68	899	210	872	779	790	821	834	765
GCA_000195935@Pyrococcus_abyssi_GE5	0	20	827	55	787	541	585	657	721	447
GCA_000211475@Pyrococcus_sp_NA2	0	22	833	54	800	519	558	649	726	406
GCA_000215995@Pyrococcus_yayanosii_CH1	0	16	822	65	771	548	602	662	721	504
GCA_000221185@Thermococcus_sp_4557	0	40	884	128	847	678	706	759	797	655
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	24	876	70	842	604	648	713	776	510
GCA_000258515@Thermococcus_zilligii_AN1	0	38	847	101	810	656	676	720	768	628
GCA_000263735@Pyrococcus_sp_ST04	0	15	821	62	786	497	559	636	714	394
GCA_000265525@Thermococcus_cleftensis_CL1	0	48	866	119	835	654	683	730	772	633
GCA_000275605@Pyrococcus_furiosus_COM1	0	18	819	48	776	517	562	641	716	405
GCA_000517445@Thermococcus_paralvinellae_ES1	0	17	833	68	798	561	609	681	733	476
GCA_000585495@Thermococcus_nautili_30_1	0	67	881	155	852	699	737	776	809	684
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	837	48	797	540	588	679	734	454
GCA_000769655@Thermococcus_eurythermalis_A501	0	68	890	213	870	735	762	807	833	706
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	1	146	1000	543	1000	1000	1000	1000	1000	1000
GCA_001433455@Thermococcus_barophilus_CH5	0	30	869	68	836	592	643	726	779	510
GCA_001484685@Thermococcus_sp_2319x1	0	16	832	52	787	548	600	671	719	473
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	28	862	59	830	570	620	709	776	484
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	43	855	104	830	653	689	741	782	630
GCA_001647085@Thermococcus_piezophilus_CDGS	0	32	853	86	795	610	647	699	736	581
GCA_002197185@Thermococcus_sp_5_4	0	26	860	108	822	657	684	736	767	629
GCA_002214365@Thermococcus_celer_Vu_13	0	23	846	93	809	645	684	730	771	613
GCA_002214385@Thermococcus_gorgonarius_W_12	0	48	842	113	809	662	692	745	776	640
GCA_002214465@Thermococcus_barossii_SHCK_94	0	27	864	106	838	654	687	744	786	628
GCA_002214485@Thermococcus_pacificus_P4	0	39	836	106	811	652	679	727	765	625
GCA_002214505@Thermococcus_siculi_RG_20	0	31	871	107	841	658	692	745	786	630
GCA_002214525@Thermococcus_sp_P6	0	20	794	66	755	575	610	651	695	535
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	48	873	137	837	660	679	746	783	629
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	28	866	109	834	669	696	749	789	641
GCA_002214585@Thermococcus_profundus_DT_5432	0	49	880	124	863	725	759	804	827	692
GCA_002214605@Thermococcus_chitonophagus	0	25	857	54	816	556	610	690	755	462
GCA_006274605@Thermococcus_indicus_IOH1	0	52	877	133	847	675	711	754	797	660
GCA_008152015@Thermococcus_aciditolerans_SY113	0	64	888	136	857	678	708	763	797	650
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	18	819	48	776	514	559	641	716	406
GCA_020386975@Thermococcus_bergensis_T7324	0	12	821	63	785	578	606	688	735	496
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	17	836	63	795	506	561	659	727	373
GCA_024022995@Thermococcus_aggregans_TY	0	17	832	71	803	570	620	688	743	499
