	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	9	828	75	808	652	667	700	745	589
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	17	845	48	821	570	595	681	745	470
GCA_000011105@Pyrococcus_horikoshii_OT3	0	12	851	81	833	681	708	734	790	627
GCA_000018365@Thermococcus_onnurineus_NA1	0	4	751	47	730	520	559	627	683	450
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	15	826	43	815	543	588	675	752	465
GCA_000022545@Thermococcus_sibiricus_MM_739	0	2	776	38	753	532	563	616	700	420
GCA_000151105@Thermococcus_barophilus_MP	0	5	823	46	800	588	621	673	741	493
GCA_000151205@Thermococcus_sp_AM4	0	22	816	39	792	531	573	645	723	452
GCA_000195935@Pyrococcus_abyssi_GE5	0	13	841	89	829	694	721	746	789	623
GCA_000211475@Pyrococcus_sp_NA2	0	11	850	84	834	678	694	733	782	623
GCA_000215995@Pyrococcus_yayanosii_CH1	0	10	824	68	809	618	650	695	762	544
GCA_000221185@Thermococcus_sp_4557	0	11	817	47	798	526	575	662	732	430
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	6	836	43	821	602	622	682	759	476
GCA_000258515@Thermococcus_zilligii_AN1	0	7	780	40	755	506	534	613	685	402
GCA_000263735@Pyrococcus_sp_ST04	0	19	853	160	835	718	733	754	790	668
GCA_000265525@Thermococcus_cleftensis_CL1	0	15	809	45	785	532	556	643	714	448
GCA_000275605@Pyrococcus_furiosus_COM1	0	9	828	75	806	649	666	696	743	587
GCA_000517445@Thermococcus_paralvinellae_ES1	0	6	793	49	779	575	606	652	720	482
GCA_000585495@Thermococcus_nautili_30_1	0	10	823	43	808	544	590	671	741	459
GCA_000725425@Palaeococcus_pacificus_DY20341	0	12	789	41	765	516	549	614	694	389
GCA_000769655@Thermococcus_eurythermalis_A501	0	12	841	43	814	553	595	684	746	455
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	12	835	45	821	565	592	680	750	470
GCA_001433455@Thermococcus_barophilus_CH5	0	16	879	50	856	636	666	723	793	534
GCA_001484685@Thermococcus_sp_2319x1	0	3	779	41	755	555	578	633	704	452
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	74	1000	463	1000	1000	1000	1000	1000	1000
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	6	809	43	791	537	584	660	723	459
GCA_001647085@Thermococcus_piezophilus_CDGS	0	3	772	41	747	526	563	621	692	440
GCA_002197185@Thermococcus_sp_5_4	0	8	785	46	757	526	574	644	707	437
GCA_002214365@Thermococcus_celer_Vu_13	0	13	795	41	773	502	544	631	706	428
GCA_002214385@Thermococcus_gorgonarius_W_12	0	6	756	35	736	499	546	616	676	423
GCA_002214465@Thermococcus_barossii_SHCK_94	0	11	815	40	787	528	584	651	728	458
GCA_002214485@Thermococcus_pacificus_P4	0	7	783	43	764	519	566	634	709	443
GCA_002214505@Thermococcus_siculi_RG_20	0	11	833	45	808	535	579	663	743	457
GCA_002214525@Thermococcus_sp_P6	0	5	720	38	696	461	501	584	645	392
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	14	822	51	806	526	571	653	735	441
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	5	807	45	788	544	594	657	731	449
GCA_002214585@Thermococcus_profundus_DT_5432	0	5	815	42	793	540	581	663	718	443
GCA_002214605@Thermococcus_chitonophagus	0	16	900	252	890	805	817	825	859	788
GCA_006274605@Thermococcus_indicus_IOH1	0	18	850	49	830	552	597	691	754	460
GCA_008152015@Thermococcus_aciditolerans_SY113	0	15	825	50	808	520	576	661	726	438
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	9	828	75	805	649	666	698	744	590
GCA_020386975@Thermococcus_bergensis_T7324	0	4	770	40	756	553	570	636	705	456
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	4	791	43	767	546	563	643	712	418
GCA_024022995@Thermococcus_aggregans_TY	0	6	806	40	785	571	601	654	731	468
GCA_024707485@Thermococcus_sp_813A4	0	5	822	48	807	533	577	680	744	435
GCA_028471785@Thermococcus_kodakarensis_TS900	0	17	844	48	820	563	596	674	741	470
GCA_028471865@Thermococcus_kodakarensis_TS901	0	17	844	48	819	566	598	677	742	467
GCA_035621495@Thermococcus_sp_SY098	0	14	838	48	822	607	633	685	754	490
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	16	900	251	891	804	813	824	859	789
GCA_900198835@Thermococcus_henrietii_EXT12c	0	17	831	45	820	541	589	694	750	458
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	3	763	47	741	538	565	617	691	449
GCA_904067545@Thermococcus_camini_IRI35c	0	12	815	50	794	526	559	648	714	439
Palaeococcus_helgesoni_DSM_15127	0	7	788	36	762	506	553	622	694	402
Pyrococcus_31_3	0	22	893	249	881	800	806	817	852	782
Pyrococcus_32_1	0	22	893	249	881	800	804	818	853	782
Pyrococcus_abyssi_GE2	0	23	852	83	839	700	729	751	794	630
Pyrococcus_endeavori_ES4	0	19	846	156	834	714	726	755	791	667
Pyrococcus_EXT16	0	22	888	244	878	791	799	814	854	771
Pyrococcus_sp_32_3	0	22	893	248	881	798	804	817	854	782
Pyrococcus_sp_32_4	0	22	893	248	881	799	805	819	853	783
Pyrococcus_sp_EXT_15c	0	29	894	278	889	830	833	848	869	822
Pyrococcus_sp_GE_23	0	12	857	90	844	702	732	764	803	637
Pyrococcus_sp_IRI_42C	0	20	838	73	818	646	656	703	763	568
Thermococcus_15_2	0	7	787	37	761	501	542	627	694	427
Thermococcus_23_2	0	8	784	46	755	523	576	646	707	433
Thermococcus_29_3	0	8	819	42	802	547	602	675	736	460
Thermococcus_31_3	0	15	825	45	794	534	583	658	735	441
Thermococcus_aegaeus_DSM_12767	0	2	787	43	768	552	575	633	701	441
Thermococcus_aggregans_DSM_12819	0	6	806	40	784	572	603	654	732	471
Thermococcus_alcaliphilus_DSM_10322	0	2	790	43	776	569	589	643	713	460
Thermococcus_AMTc11	0	24	861	47	841	575	625	707	781	470
Thermococcus_AMTc30	0	5	805	44	786	521	568	658	722	451
Thermococcus_AMTc51	0	11	834	45	810	538	587	679	743	444
Thermococcus_AMTc85	0	7	811	46	789	528	578	652	720	447
Thermococcus_atlanticus_DSM_15226	0	17	840	47	827	565	609	687	771	479
Thermococcus_barophilus_423_3_23	0	9	819	46	800	588	620	676	733	491
Thermococcus_barophilus_CH1	0	12	846	48	825	605	633	699	764	502
Thermococcus_barophilus_DT4	0	10	821	49	800	599	628	682	748	497
Thermococcus_coalescens_TS1	0	11	825	45	805	536	580	662	746	460
Thermococcus_E15P35	0	20	832	45	811	532	584	675	745	448
Thermococcus_EXT11c	0	10	791	43	776	525	570	651	711	446
Thermococcus_fumicolans_ST557	0	8	820	47	796	524	572	663	723	434
Thermococcus_IRI_06c	0	10	799	50	777	533	569	643	711	432
Thermococcus_IRI15c	0	12	825	46	799	537	574	658	729	446
Thermococcus_marinus_DSM_15227	0	22	845	46	821	556	598	690	752	466
Thermococcus_prieuri_Col3	0	11	797	35	766	503	546	625	696	424
Thermococcus_profundus_DSM_9503	0	5	813	42	792	543	578	659	718	443
Thermococcus_sp_23_4	0	8	785	46	756	525	573	646	706	432
Thermococcus_sp_26_2	0	13	843	46	818	553	597	681	757	463
Thermococcus_sp_33_3	0	18	832	45	811	548	587	676	747	450
Thermococcus_sp_9_3	0	16	824	43	811	546	589	677	738	450
Thermococcus_sp_AMTc09	0	16	833	43	811	544	585	669	739	448
Thermococcus_sp_AMTc102	0	13	833	45	808	538	582	672	741	451
Thermococcus_sp_AMTc71	0	8	810	45	786	520	561	645	723	429
Thermococcus_sp_AMTc72	0	8	810	45	790	519	562	643	720	431
Thermococcus_sp_AMTc79	0	10	827	43	808	549	595	684	747	464
Thermococcus_sp_AMTc94	0	9	817	43	799	537	585	680	737	458
Thermococcus_sp_CIR_03a	0	10	839	45	820	561	610	682	759	456
Thermococcus_sp_CIR_10a	0	10	839	49	819	615	647	704	762	513
Thermococcus_sp_DS1	0	15	822	50	805	547	608	686	758	466
Thermococcus_sp_E10P11	0	10	827	45	809	540	583	670	741	460
Thermococcus_sp_E10P8	0	10	827	45	810	538	584	669	741	460
Thermococcus_sp_E15p33	0	20	832	45	812	529	583	676	747	447
Thermococcus_sp_EXT09c	0	9	817	43	799	543	579	671	728	457
Thermococcus_sp_IRI_05c	0	14	810	48	797	533	573	663	730	442
Thermococcus_sp_IRI10c	0	12	823	47	798	539	572	658	724	446
Thermococcus_sp_IRI14c	0	12	825	46	797	541	577	660	727	449
Thermococcus_sp_IRI24c	0	15	827	46	802	539	565	666	728	443
Thermococcus_sp_IRI25c	0	12	833	46	809	540	577	666	737	451
Thermococcus_sp_IRI27c2	0	15	827	46	802	539	566	664	728	441
Thermococcus_sp_IRI29c	0	15	827	46	803	542	572	666	730	444
Thermococcus_sp_IRI_33c	0	16	821	50	803	547	605	684	756	473
Thermococcus_sp_TPV	0	13	840	41	821	546	586	679	747	456
Thermococcus_sp_unknown	0	14	814	40	794	522	569	660	725	442
Thermococcus_stetteri_DSM_5262	0	5	815	44	791	552	593	660	735	470
Thermococcus_waiotapuensis_WT1	0	4	782	42	755	508	537	619	684	423
