	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	15	800	40	762	492	517	609	682	372
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	57	899	140	860	706	719	762	804	681
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	807	40	780	521	558	623	704	416
GCA_000018365@Thermococcus_onnurineus_NA1	0	34	856	94	816	619	665	711	752	594
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	67	906	129	875	726	752	802	833	701
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	804	41	770	491	527	628	702	382
GCA_000151105@Thermococcus_barophilus_MP	0	20	860	51	823	558	583	685	754	469
GCA_000151205@Thermococcus_sp_AM4	0	73	923	130	894	759	790	831	862	734
GCA_000195935@Pyrococcus_abyssi_GE5	0	14	816	41	779	516	560	632	706	430
GCA_000211475@Pyrococcus_sp_NA2	0	14	807	38	774	522	554	626	695	420
GCA_000215995@Pyrococcus_yayanosii_CH1	0	17	808	50	764	527	556	631	697	468
GCA_000221185@Thermococcus_sp_4557	0	42	892	118	862	668	698	762	807	638
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	859	52	825	574	602	698	765	484
GCA_000258515@Thermococcus_zilligii_AN1	0	36	863	118	824	672	690	740	767	643
GCA_000263735@Pyrococcus_sp_ST04	0	18	808	41	774	513	549	630	690	406
GCA_000265525@Thermococcus_cleftensis_CL1	0	38	863	101	820	640	671	727	765	628
GCA_000275605@Pyrococcus_furiosus_COM1	0	15	805	40	766	489	505	609	689	368
GCA_000517445@Thermococcus_paralvinellae_ES1	0	18	826	48	786	539	561	654	720	431
GCA_000585495@Thermococcus_nautili_30_1	0	47	887	99	847	679	712	759	795	641
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	830	45	790	552	585	663	729	452
GCA_000769655@Thermococcus_eurythermalis_A501	0	38	884	84	857	673	704	759	806	642
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	48	884	112	858	712	733	781	811	683
GCA_001433455@Thermococcus_barophilus_CH5	0	24	874	51	833	558	596	692	756	474
GCA_001484685@Thermococcus_sp_2319x1	0	11	812	50	772	558	570	647	712	478
