	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	10	793	49	773	588	601	643	713	492
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	18	818	47	797	558	597	679	738	474
GCA_000011105@Pyrococcus_horikoshii_OT3	0	15	773	42	744	542	574	620	676	450
GCA_000018365@Thermococcus_onnurineus_NA1	0	21	808	61	783	599	642	699	739	515
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	20	814	44	787	538	565	666	720	448
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	797	71	772	646	657	690	727	584
GCA_000151105@Thermococcus_barophilus_MP	1	106	1000	535	1000	1000	1000	1000	1000	1000
GCA_000151205@Thermococcus_sp_AM4	0	22	811	49	785	518	560	655	716	427
GCA_000195935@Pyrococcus_abyssi_GE5	0	10	801	47	776	545	574	640	695	447
GCA_000211475@Pyrococcus_sp_NA2	0	8	796	52	772	576	588	651	705	462
GCA_000215995@Pyrococcus_yayanosii_CH1	0	14	779	62	754	541	572	640	695	452
GCA_000221185@Thermococcus_sp_4557	0	20	819	59	791	542	583	679	737	448
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	21	869	82	842	720	725	767	807	648
GCA_000258515@Thermococcus_zilligii_AN1	0	15	761	45	737	484	532	601	665	429
GCA_000263735@Pyrococcus_sp_ST04	0	9	787	47	767	562	581	635	693	467
GCA_000265525@Thermococcus_cleftensis_CL1	0	19	812	48	783	546	580	670	721	456
GCA_000275605@Pyrococcus_furiosus_COM1	0	10	791	48	767	585	596	638	709	489
GCA_000517445@Thermococcus_paralvinellae_ES1	0	37	876	268	858	791	799	816	832	783
GCA_000585495@Thermococcus_nautili_30_1	0	20	814	47	789	521	566	661	725	429
GCA_000725425@Palaeococcus_pacificus_DY20341	0	14	826	76	806	695	712	735	770	634
GCA_000769655@Thermococcus_eurythermalis_A501	0	15	799	47	776	532	569	659	717	450
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	21	793	54	765	538	570	645	706	445
GCA_001433455@Thermococcus_barophilus_CH5	1	63	943	438	930	889	892	900	909	884
GCA_001484685@Thermococcus_sp_2319x1	0	15	823	73	806	663	673	716	755	604
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	11	794	45	767	567	594	634	702	483
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	16	818	50	795	572	608	686	736	492
GCA_001647085@Thermococcus_piezophilus_CDGS	0	18	780	56	741	552	598	652	690	485
GCA_002197185@Thermococcus_sp_5_4	0	20	833	61	809	582	625	720	758	508
GCA_002214365@Thermococcus_celer_Vu_13	0	16	804	51	785	534	582	671	726	432
GCA_002214385@Thermococcus_gorgonarius_W_12	0	20	782	41	761	531	559	632	689	445
GCA_002214465@Thermococcus_barossii_SHCK_94	0	23	832	53	806	575	622	702	747	493
GCA_002214485@Thermococcus_pacificus_P4	0	16	796	49	772	551	587	667	714	463
GCA_002214505@Thermococcus_siculi_RG_20	0	20	812	50	785	546	591	670	727	454
GCA_002214525@Thermococcus_sp_P6	0	12	729	43	706	468	516	589	642	385
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	26	857	77	837	631	668	749	797	535
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	18	836	53	809	575	620	710	759	497
