	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	33	866	23	853	706	726	746	805	623
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	24	859	24	842	580	628	691	777	492
GCA_000011105@Pyrococcus_horikoshii_OT3	0	21	855	25	839	707	715	749	797	632
GCA_000018365@Thermococcus_onnurineus_NA1	0	13	778	21	760	539	572	653	698	451
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	24	817	23	796	535	582	655	719	460
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	784	20	758	519	546	607	697	398
GCA_000151105@Thermococcus_barophilus_MP	0	11	832	22	809	617	637	681	751	510
GCA_000151205@Thermococcus_sp_AM4	0	28	818	20	799	554	591	664	731	488
GCA_000195935@Pyrococcus_abyssi_GE5	0	31	879	18	863	731	745	778	817	653
GCA_000211475@Pyrococcus_sp_NA2	0	34	889	26	873	725	745	780	827	659
GCA_000215995@Pyrococcus_yayanosii_CH1	0	29	827	23	802	596	638	689	732	537
GCA_000221185@Thermococcus_sp_4557	0	14	809	17	789	514	548	644	706	433
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	854	19	832	612	646	698	764	485
GCA_000258515@Thermococcus_zilligii_AN1	0	16	782	23	765	501	567	621	690	435
GCA_000263735@Pyrococcus_sp_ST04	0	27	888	29	879	761	776	796	829	715
GCA_000265525@Thermococcus_cleftensis_CL1	0	15	814	18	797	523	571	645	714	450
GCA_000275605@Pyrococcus_furiosus_COM1	0	33	865	23	851	704	719	743	803	618
GCA_000517445@Thermococcus_paralvinellae_ES1	0	11	825	23	803	595	618	683	736	499
GCA_000585495@Thermococcus_nautili_30_1	0	25	834	19	818	564	599	688	755	488
GCA_000725425@Palaeococcus_pacificus_DY20341	0	6	783	21	763	542	576	643	703	425
GCA_000769655@Thermococcus_eurythermalis_A501	0	21	835	18	814	543	590	668	743	453
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	17	807	18	796	535	573	659	713	457
GCA_001433455@Thermococcus_barophilus_CH5	0	20	876	24	852	642	673	726	787	532
GCA_001484685@Thermococcus_sp_2319x1	0	10	803	21	780	590	622	675	729	477
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	48	899	25	886	808	812	824	846	795
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	16	810	20	789	546	583	664	718	456
GCA_001647085@Thermococcus_piezophilus_CDGS	0	18	792	21	766	526	579	642	692	450
GCA_002197185@Thermococcus_sp_5_4	0	10	801	21	781	542	590	671	720	455
GCA_002214365@Thermococcus_celer_Vu_13	0	13	809	19	791	513	558	659	723	440
GCA_002214385@Thermococcus_gorgonarius_W_12	0	20	770	23	748	511	541	617	686	433
GCA_002214465@Thermococcus_barossii_SHCK_94	0	10	811	23	792	532	586	669	721	457
GCA_002214485@Thermococcus_pacificus_P4	0	13	782	16	761	511	574	634	691	441
GCA_002214505@Thermococcus_siculi_RG_20	0	18	811	16	790	534	570	649	721	468
GCA_002214525@Thermococcus_sp_P6	0	8	715	16	695	477	513	585	637	395
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	13	819	17	795	557	586	662	730	456
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	13	813	19	795	529	586	677	732	464
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	801	18	782	548	576	647	711	454
GCA_002214605@Thermococcus_chitonophagus	1	76	952	17	943	895	896	905	918	893
GCA_006274605@Thermococcus_indicus_IOH1	0	26	844	17	822	547	614	687	754	476
GCA_008152015@Thermococcus_aciditolerans_SY113	0	21	829	19	807	549	592	682	744	478
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	33	865	23	852	702	725	746	805	622
GCA_020386975@Thermococcus_bergensis_T7324	0	11	792	16	765	549	573	641	699	445
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	9	800	21	780	557	579	655	718	429
GCA_024022995@Thermococcus_aggregans_TY	0	16	805	14	783	565	591	646	717	433
GCA_024707485@Thermococcus_sp_813A4	0	18	829	21	811	553	595	676	731	465
GCA_028471785@Thermococcus_kodakarensis_TS900	0	24	857	24	841	580	629	687	775	493
GCA_028471865@Thermococcus_kodakarensis_TS901	0	24	857	24	841	579	629	691	773	493
GCA_035621495@Thermococcus_sp_SY098	0	15	849	25	826	623	650	699	756	516
GCA_900012635@Thermococcus_chitonophagus_isolate_1	1	76	953	17	944	896	897	906	919	894
GCA_900198835@Thermococcus_henrietii_EXT12c	0	32	857	18	836	573	618	706	782	504
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	8	791	20	771	579	606	656	720	465
GCA_904067545@Thermococcus_camini_IRI35c	0	25	814	20	796	524	580	665	724	441
Palaeococcus_helgesoni_DSM_15127	0	14	819	18	791	545	574	662	723	415
Pyrococcus_31_3	6	122	1000	16	1000	999	998	1000	1000	998
Pyrococcus_32_1	6	122	1000	16	1000	999	998	1000	1000	998
Pyrococcus_abyssi_GE2	0	34	875	26	860	716	733	770	809	643
Pyrococcus_endeavori_ES4	0	26	886	28	879	762	779	799	828	710
Pyrococcus_EXT16	1	76	970	16	963	940	938	946	951	937
Pyrococcus_sp_32_3	6	122	1000	459	1000	1000	1000	1000	1000	1000
Pyrococcus_sp_32_4	5	119	999	16	999	999	999	999	999	999
Pyrococcus_sp_EXT_15c	0	39	887	24	875	817	817	830	842	803
Pyrococcus_sp_GE_23	0	29	873	22	862	713	736	769	808	647
Pyrococcus_sp_IRI_42C	0	23	860	23	837	657	680	719	774	580
Thermococcus_15_2	0	14	829	20	807	576	607	687	739	484
Thermococcus_23_2	0	10	800	20	780	538	590	670	718	450
Thermococcus_29_3	0	26	829	20	813	558	607	688	745	480
Thermococcus_31_3	0	17	821	19	802	548	597	663	727	461
Thermococcus_aegaeus_DSM_12767	0	11	798	18	774	574	597	656	712	457
Thermococcus_aggregans_DSM_12819	0	16	805	14	784	563	589	647	719	438
Thermococcus_alcaliphilus_DSM_10322	0	7	819	21	795	590	622	668	728	486
