	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0		876	65	865	726	739	784	829	628
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	25	841	40	832	570	616	702	777	451
GCA_000011105@Pyrococcus_horikoshii_OT3	0	33	867	70	856	709	728	771	815	630
GCA_000018365@Thermococcus_onnurineus_NA1	0	16	795	38	779	537	586	669	726	417
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	21	814	32	796	509	559	667	728	409
GCA_000022545@Thermococcus_sibiricus_MM_739	0	14		41	779	583	610	656	727	449
GCA_000151105@Thermococcus_barophilus_MP	0	22	840	50	827	633	655	721	785	535
GCA_000151205@Thermococcus_sp_AM4	0	23	819	33	806	499	576	678	748	404
GCA_000195935@Pyrococcus_abyssi_GE5	0	25	876	69	868	722	757	791	838	639
GCA_000211475@Pyrococcus_sp_NA2	0	32	905	71	895	768	790	825	864	683
GCA_000215995@Pyrococcus_yayanosii_CH1	0	24	853	68	848	678	710	772	813	566
GCA_000221185@Thermococcus_sp_4557	0	19	828	34	817	514	553	670	748	380
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	858	48	839	635	665	724	792	504
GCA_000258515@Thermococcus_zilligii_AN1	0		790	30	775	518	563	649	714	396
GCA_000263735@Pyrococcus_sp_ST04	0	26	860	79	853	734	757	781	822	655
GCA_000265525@Thermococcus_cleftensis_CL1	0	26	811	33	793	498	545	656	732	376
GCA_000275605@Pyrococcus_furiosus_COM1	0	29	875	64	864	726	739	785	828	624
GCA_000517445@Thermococcus_paralvinellae_ES1	0	17	818	43	805	634	651	713	762	523
GCA_000585495@Thermococcus_nautili_30_1	0		833	37	818	504	547	675	756	396
GCA_000725425@Palaeococcus_pacificus_DY20341	0	11	802	35	789	590	615	681	742	444
GCA_000769655@Thermococcus_eurythermalis_A501	0	20	859	46	839	555	605	695	783	419
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	23	807	51	798	532	585	658	730	413
GCA_001433455@Thermococcus_barophilus_CH5	0	22	875	58	863	659	683	746	820	547
GCA_001484685@Thermococcus_sp_2319x1	0	10	828	49	812	608	622	699	761	457
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	33	881	82	872	741	759	793	842	647
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	19	824	36	811	561	599	693	765	444
GCA_001647085@Thermococcus_piezophilus_CDGS	0	14	798	40	782	529	589	675	728	430
GCA_002197185@Thermococcus_sp_5_4	0	16	815	31	799	524	582	674	737	407
GCA_002214365@Thermococcus_celer_Vu_13	0	17	810	34	793	497	553	659	735	383
GCA_002214385@Thermococcus_gorgonarius_W_12	0	16	756	31	743	500	546	618	687	389
GCA_002214465@Thermococcus_barossii_SHCK_94	0	16	822	30	805	528	580	665	746	397
GCA_002214485@Thermococcus_pacificus_P4	0	18	796	33	775	500	552	654	725	362
GCA_002214505@Thermococcus_siculi_RG_20	0	17	817	32	797	520	576	662	744	407
GCA_002214525@Thermococcus_sp_P6	0	11	763	32	743	464	513	613	693	356
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	24	849	46	834	528	597	713	777	406
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	14	819	31	800	513	568	662	742	389
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	804	33	793	519	551	668	737	390
GCA_002214605@Thermococcus_chitonophagus	0	27	869	70	860	723	751	783	829	632
GCA_006274605@Thermococcus_indicus_IOH1	0	30	869	41	854	546	595	707	791	424
GCA_008152015@Thermococcus_aciditolerans_SY113	0	20	846	45	833	537	599	701	783	430
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	29	875	62	864	728	742	785	828	631
GCA_020386975@Thermococcus_bergensis_T7324	0	9	798	48	781	592	618	678	737	450
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	13	816	44	808	615	636	698	761	486
GCA_024022995@Thermococcus_aggregans_TY	0	17	820	44	807	613	640	696	754	474
GCA_024707485@Thermococcus_sp_813A4	0	18	835	41	820	526	591	704	771	410
GCA_028471785@Thermococcus_kodakarensis_TS900	0	25	840	40	832	567	612	703	775	450
GCA_028471865@Thermococcus_kodakarensis_TS901	0	25	840	40	832	563	615	701	773	448
GCA_035621495@Thermococcus_sp_SY098	0	22	850	41	836	634	666	732	795	539
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	27	869	70	861	726	751	785	831	635
GCA_900198835@Thermococcus_henrietii_EXT12c	0	30	850	37	836	519	584	703	775	406
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	12	830	43	810	614	634	701	766	470
