	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	32	894	19	879	763	767	806	843	682
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	22	878	19	863	632	677	754	803	539
GCA_000011105@Pyrococcus_horikoshii_OT3	0	32	893	14	880	808	812	834	855	754
GCA_000018365@Thermococcus_onnurineus_NA1	0	15	816	12	801	593	628	690	745	496
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	19	846	10	821	600	630	702	771	515
GCA_000022545@Thermococcus_sibiricus_MM_739	0	8	829	18	808	576	592	666	737	439
GCA_000151105@Thermococcus_barophilus_MP	0	14	873	17	849	651	672	742	800	508
GCA_000151205@Thermococcus_sp_AM4	0	22	839	11	814	598	639	707	762	507
GCA_000195935@Pyrococcus_abyssi_GE5	1	90	1000	356	1000	1000	1000	1000	1000	1000
GCA_000211475@Pyrococcus_sp_NA2	0	47	929	17	917	838	845	867	891	796
GCA_000215995@Pyrococcus_yayanosii_CH1	0	23	872	13	854	685	714	761	813	605
GCA_000221185@Thermococcus_sp_4557	0	19	852	13	829	580	625	709	761	497
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	11	883	18	865	667	699	764	807	536
GCA_000258515@Thermococcus_zilligii_AN1	0	17	820	11	802	575	610	682	748	476
GCA_000263735@Pyrococcus_sp_ST04	0	30	912	21	897	798	796	841	867	716
GCA_000265525@Thermococcus_cleftensis_CL1	0	18	833	13	808	583	629	691	749	503
GCA_000275605@Pyrococcus_furiosus_COM1	0	32	894	19	877	760	766	803	841	679
GCA_000517445@Thermococcus_paralvinellae_ES1	0	11	844	12	825	623	653	734	778	512
GCA_000585495@Thermococcus_nautili_30_1	0	21	864	14	846	614	663	736	795	527
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	838	12	812	605	623	700	762	459
GCA_000769655@Thermococcus_eurythermalis_A501	0	22	872	13	850	616	660	732	789	515
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	19	844	12	822	603	647	719	769	512
GCA_001433455@Thermococcus_barophilus_CH5	0	17	898	16	880	680	699	763	829	533
GCA_001484685@Thermococcus_sp_2319x1	0	10	847	13	831	652	660	730	767	522
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	32	894	15	884	783	783	831	851	711
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	21	853	14	838	614	653	740	782	526
GCA_001647085@Thermococcus_piezophilus_CDGS	0	13	825	13	793	582	626	684	735	497
GCA_002197185@Thermococcus_sp_5_4	0	8	836	11	808	608	636	710	764	497
GCA_002214365@Thermococcus_celer_Vu_13	0	15	848	13	829	612	644	724	778	498
GCA_002214385@Thermococcus_gorgonarius_W_12	0	17	810	11	787	589	622	685	728	497
GCA_002214465@Thermococcus_barossii_SHCK_94	0	12	864	14	839	605	659	735	781	522
GCA_002214485@Thermococcus_pacificus_P4	0	19	827	14	806	582	632	702	751	502
GCA_002214505@Thermococcus_siculi_RG_20	0	19	841	15	815	587	644	710	766	513
GCA_002214525@Thermococcus_sp_P6	0	9	791	14	771	543	573	668	710	464
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	17	857	11	837	585	639	707	770	497
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	11	849	11	829	616	652	729	776	511
GCA_002214585@Thermococcus_profundus_DT_5432	0	19	844	11	817	597	640	708	771	515
GCA_002214605@Thermococcus_chitonophagus	0	25	919	18	912	800	817	850	879	735
GCA_006274605@Thermococcus_indicus_IOH1	0	28	876	14	854	596	676	743	795	515
GCA_008152015@Thermococcus_aciditolerans_SY113	0	25	870	19	843	587	644	725	775	497
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	32	894	19	879	762	769	807	846	685
GCA_020386975@Thermococcus_bergensis_T7324	0	8	832	14	813	629	646	724	757	478
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	10	825	14	803	586	613	683	736	445
GCA_024022995@Thermococcus_aggregans_TY	0	14	850	11	831	640	668	726	777	510
GCA_024707485@Thermococcus_sp_813A4	0	18	858	11	837	598	646	724	780	503
GCA_028471785@Thermococcus_kodakarensis_TS900	0	22	877	19	861	629	678	749	801	539
GCA_028471865@Thermococcus_kodakarensis_TS901	0	22	877	19	861	625	674	747	800	539
GCA_035621495@Thermococcus_sp_SY098	0	15	869	13	851	657	676	746	803	516
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	25	920	18	913	804	819	852	882	739
GCA_900198835@Thermococcus_henrietii_EXT12c	0	27	884	12	865	611	679	754	807	527
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	11	840	14	825	636	657	719	771	504
GCA_904067545@Thermococcus_camini_IRI35c	0	24	856	14	830	593	637	717	773	496
Palaeococcus_helgesoni_DSM_15127	0	15	859	10	834	593	624	703	775	438
Pyrococcus_31_3	0	26	927	19	922	810	826	864	888	755
Pyrococcus_32_1	0	26	927	19	922	809	823	863	888	758
Pyrococcus_abyssi_GE2	0	80	980	13	975	963	963	967	969	958
Pyrococcus_endeavori_ES4	0	28	897	21	884	773	776	824	850	693
Pyrococcus_EXT16	0	25	926	17	920	812	817	864	891	747
Pyrococcus_sp_32_3	0	26	927	19	922	810	824	862	888	756
Pyrococcus_sp_32_4	0	26	927	19	922	812	825	864	888	752
Pyrococcus_sp_EXT_15c	0	26	904	21	890	785	791	835	860	717
Pyrococcus_sp_GE_23	0	59	921	7	914	888	886	892	900	874
Pyrococcus_sp_IRI_42C	0	23	899	20	887	756	774	805	849	657
Thermococcus_15_2	0	12	838	15	820	592	643	711	764	498
