	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	27	795	32	759	511	546	623	697	402
GCA_000009965@Thermococcus_kodakarensis_KOD1	1	225	1000	520	1000	1000	1000	1000	1000	999
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	789	25	762	492	518	602	679	383
GCA_000018365@Thermococcus_onnurineus_NA1	0	44	809	90	778	603	642	685	719	575
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	65	855	90	816	627	663	714	758	600
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	781	36	747	470	517	608	662	348
GCA_000151105@Thermococcus_barophilus_MP	0	29	824	40	798	552	600	675	729	460
GCA_000151205@Thermococcus_sp_AM4	0	68	840	85	816	625	668	713	750	595
GCA_000195935@Pyrococcus_abyssi_GE5	0	19	791	33	765	511	555	622	690	439
GCA_000211475@Pyrococcus_sp_NA2	0	24	816	33	785	510	536	630	707	397
GCA_000215995@Pyrococcus_yayanosii_CH1	0	25	810	49	777	517	553	626	690	476
GCA_000221185@Thermococcus_sp_4557	0	66	827	100	793	607	635	691	732	581
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	25	864	51	833	601	631	709	773	510
GCA_000258515@Thermococcus_zilligii_AN1	0	43	816	87	784	583	626	663	718	567
GCA_000263735@Pyrococcus_sp_ST04	0	24	775	48	745	496	533	601	670	414
GCA_000265525@Thermococcus_cleftensis_CL1	0	75	834	99	798	605	643	690	721	583
GCA_000275605@Pyrococcus_furiosus_COM1	0	27	795	32	758	510	545	625	697	402
GCA_000517445@Thermococcus_paralvinellae_ES1	0	27	803	41	771	546	569	650	706	450
GCA_000585495@Thermococcus_nautili_30_1	0	82	849	116	822	650	689	722	761	638
GCA_000725425@Palaeococcus_pacificus_DY20341	0	16	791	40	759	522	542	630	687	432
GCA_000769655@Thermococcus_eurythermalis_A501	0	94	881	112	857	695	728	775	804	669
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	67	840	104	816	601	648	700	744	582
GCA_001433455@Thermococcus_barophilus_CH5	0	44	865	46	840	584	623	706	760	490
GCA_001484685@Thermococcus_sp_2319x1	0	27	819	53	782	570	597	670	724	484
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	27	832	42	793	531	562	640	721	459
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	77	851	284	823	735	741	755	779	726
GCA_001647085@Thermococcus_piezophilus_CDGS	0	54	834	76	774	584	619	673	705	561
GCA_002197185@Thermococcus_sp_5_4	0	45	787	102	754	606	636	682	713	584
GCA_002214365@Thermococcus_celer_Vu_13	0	38	821	88	784	609	643	694	734	578
GCA_002214385@Thermococcus_gorgonarius_W_12	0	46	792	103	753	594	614	660	697	554
GCA_002214465@Thermococcus_barossii_SHCK_94	0	51	814	100	786	614	648	695	736	580
GCA_002214485@Thermococcus_pacificus_P4	0	55	811	107	779	634	663	698	728	612
GCA_002214505@Thermococcus_siculi_RG_20	0	57	826	121	798	626	651	702	743	594
GCA_002214525@Thermococcus_sp_P6	0	29	745	59	703	541	568	607	640	503
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	87	861	104	831	645	670	735	771	610
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	43	797	95	772	602	634	685	718	577
GCA_002214585@Thermococcus_profundus_DT_5432	0	63	832	133	808	650	677	725	754	633
GCA_002214605@Thermococcus_chitonophagus	0	24	829	39	790	542	570	646	720	461
GCA_006274605@Thermococcus_indicus_IOH1	0	83	867	107	836	674	706	757	792	643
GCA_008152015@Thermococcus_aciditolerans_SY113	0	100	884	114	859	658	707	754	792	630
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	27	795	32	758	510	545	627	698	401
GCA_020386975@Thermococcus_bergensis_T7324	0	14	787	46	749	528	556	627	688	460
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	21	803	37	778	490	531	631	699	369
GCA_024022995@Thermococcus_aggregans_TY	0	23	793	48	756	524	555	630	683	449
GCA_024707485@Thermococcus_sp_813A4	0	67	843	101	813	618	652	714	754	591
GCA_028471785@Thermococcus_kodakarensis_TS900	2	226	1000	520	1000	998	999	999	1000	998
GCA_028471865@Thermococcus_kodakarensis_TS901	2	226	1000	520	1000	1000	1000	1000	1000	1000
GCA_035621495@Thermococcus_sp_SY098	0	40	847	38	821	553	617	684	743	481
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	24	831	39	792	545	573	648	720	463
GCA_900198835@Thermococcus_henrietii_EXT12c	0	78	857	114	835	663	707	746	782	650
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	21	817	53	785	560	588	653	714	474
GCA_904067545@Thermococcus_camini_IRI35c	0	80	845	103	820	609	648	703	761	596
Palaeococcus_helgesoni_DSM_15127	0	23	801	38	771	507	555	635	704	447
Pyrococcus_31_3	0	22	831	37	801	544	572	644	733	477
Pyrococcus_32_1	0	22	831	37	801	543	569	646	731	478
Pyrococcus_abyssi_GE2	0	21	808	33	783	523	570	635	706	450
Pyrococcus_endeavori_ES4	0	22	775	46	745	489	536	602	676	403
Pyrococcus_EXT16	0	32	840	38	812	551	578	651	738	477
Pyrococcus_sp_32_3	0	22	831	36	801	546	569	645	732	474
Pyrococcus_sp_32_4	0	22	831	37	801	544	570	645	733	479
Pyrococcus_sp_EXT_15c	0	28	810	41	777	533	564	638	710	454
Pyrococcus_sp_GE_23	0	20	800	30	769	515	545	615	681	437
Pyrococcus_sp_IRI_42C	0	23	797	38	764	468	514	590	675	367
Thermococcus_15_2	0	53	803	85	773	613	653	690	715	588
Thermococcus_23_2	0	45	787	102	754	605	636	682	712	583
Thermococcus_29_3	0	76	849	108	821	649	699	722	763	636
Thermococcus_31_3	0	68	846	98	812	615	656	708	749	589
Thermococcus_aegaeus_DSM_12767	0	16	793	41	763	526	557	632	700	444
Thermococcus_aggregans_DSM_12819	0	23	793	48	757	528	551	630	689	450
Thermococcus_alcaliphilus_DSM_10322	0	22	804	50	775	533	575	637	704	454
Thermococcus_AMTc11	0	119	905	117	888	699	729	796	834	657
Thermococcus_AMTc30	0	65	832	100	801	640	679	709	743	618
Thermococcus_AMTc51	0	60	832	103	815	647	679	714	758	626
Thermococcus_AMTc85	0	80	840	101	809	644	671	717	747	623
Thermococcus_atlanticus_DSM_15226	0	57	840	70	811	606	637	699	745	558
Thermococcus_barophilus_423_3_23	0	26	814	40	787	557	587	655	719	454
Thermococcus_barophilus_CH1	0	34	848	46	824	566	617	707	755	485
Thermococcus_barophilus_DT4	0	35	830	44	796	568	585	664	719	472
Thermococcus_coalescens_TS1	0	65	843	100	814	630	658	710	749	600
Thermococcus_E15P35	0	82	872	117	841	670	713	739	780	654
Thermococcus_EXT11c	0	67	837	102	804	633	670	707	745	621
Thermococcus_fumicolans_ST557	0	78	856	105	825	629	667	722	754	617
Thermococcus_IRI_06c	0	91	865	113	828	635	668	711	759	611
Thermococcus_IRI15c	0	81	852	101	825	612	658	712	766	578
Thermococcus_marinus_DSM_15227	0	92	895	111	872	701	730	782	818	675
Thermococcus_prieuri_Col3	0	69	834	87	806	629	674	715	749	603
Thermococcus_profundus_DSM_9503	0	63	832	133	809	649	677	723	754	631
Thermococcus_sp_23_4	0	45	787	103	754	606	635	682	712	582
Thermococcus_sp_26_2	0	89	860	104	832	666	703	738	776	640
Thermococcus_sp_33_3	0	85	859	114	830	657	691	726	764	639
Thermococcus_sp_9_3	0	95	861	117	832	658	698	730	768	647
Thermococcus_sp_AMTc09	0	90	858	104	832	660	696	729	769	636
Thermococcus_sp_AMTc102	0	82	846	103	819	656	688	721	759	627
Thermococcus_sp_AMTc71	0	61	825	105	795	621	657	705	737	595
Thermococcus_sp_AMTc72	0	61	825	104	795	618	655	705	737	596
Thermococcus_sp_AMTc79	0	76	860	113	827	657	694	729	766	636
Thermococcus_sp_AMTc94	0	73	856	109	830	658	698	727	765	637
Thermococcus_sp_CIR_03a	0	62	849	107	821	650	685	729	767	615
Thermococcus_sp_CIR_10a	0	43	856	40	831	587	625	709	757	493
Thermococcus_sp_DS1	0	85	849	103	811	641	670	727	765	602
Thermococcus_sp_E10P11	0	81	871	115	845	665	713	742	783	660
Thermococcus_sp_E10P8	0	81	871	115	843	668	712	746	783	659
Thermococcus_sp_E15p33	0	82	871	117	841	669	711	739	777	653
Thermococcus_sp_EXT09c	0	80	862	106	831	660	698	740	780	636
Thermococcus_sp_IRI_05c	0	65	841	104	812	624	650	710	746	594
Thermococcus_sp_IRI10c	0	81	854	99	827	611	656	713	766	572
Thermococcus_sp_IRI14c	0	81	852	101	825	611	656	712	764	581
Thermococcus_sp_IRI24c	0	79	841	105	819	617	657	707	753	584
Thermococcus_sp_IRI25c	0	82	853	101	826	611	656	713	766	577
Thermococcus_sp_IRI27c2	0	79	841	105	819	617	657	708	754	591
