	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	7	823	39	798	486	545	652	739	382
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	28	870	98	854	671	712	764	806	653
GCA_000011105@Pyrococcus_horikoshii_OT3	0	8	822	36	800	506	566	669	736	403
GCA_000018365@Thermococcus_onnurineus_NA1	0	37	877	195	863	753	769	794	820	721
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	30	863	92	851	680	700	750	797	652
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	855	47	830	543	585	711	770	393
GCA_000151105@Thermococcus_barophilus_MP	0	17	889	55	877	625	671	773	835	532
GCA_000151205@Thermococcus_sp_AM4	0		856	96	841	683	705	758	788	653
GCA_000195935@Pyrococcus_abyssi_GE5	0	10	823	37	810	552	608	688	751	467
GCA_000211475@Pyrococcus_sp_NA2	0	8	817	35	797	528	577	671	738	434
GCA_000215995@Pyrococcus_yayanosii_CH1	0	12	821	49	801	578	613	686	732	506
GCA_000221185@Thermococcus_sp_4557	0	57	928	284	917	843	847	872	879	821
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	14	876	42	861	645	685	773	810	531
GCA_000258515@Thermococcus_zilligii_AN1	0	14	820	78	799	616	659	704	749	593
GCA_000263735@Pyrococcus_sp_ST04	0	9	821	37	809	522	574	672	756	428
GCA_000265525@Thermococcus_cleftensis_CL1	0	54	888	214	873	770	786	815	834	753
GCA_000275605@Pyrococcus_furiosus_COM1	0	7	822	38	797	488	546	655	739	381
GCA_000517445@Thermococcus_paralvinellae_ES1	0	15	865	53	850	596	652	737	803	498
GCA_000585495@Thermococcus_nautili_30_1	0	30	876	114	863	706	738	774	815	679
GCA_000725425@Palaeococcus_pacificus_DY20341	0	13	871	44	850	604	659	772	810	509
GCA_000769655@Thermococcus_eurythermalis_A501	0		865	107	850	690	722	765	805	675
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	22	853	112	835	663	697	756	788	648
GCA_001433455@Thermococcus_barophilus_CH5	0	17	898	55	887	644	678	785	840	536
GCA_001484685@Thermococcus_sp_2319x1	0	11	847	42	828	608	654	741	777	517
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	8	836	38	818	562	614	702	760	482
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	25	849	97	834	678	709	757	791	652
GCA_001647085@Thermococcus_piezophilus_CDGS	0	37	848	164	828	697	723	756	776	677
GCA_002197185@Thermococcus_sp_5_4	0	72	964	359	955	913	915	925	935	911
