	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	20	821	41	783	466	523	614	703	342
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	50	891	121	852	676	703	755	792	644
GCA_000011105@Pyrococcus_horikoshii_OT3	0	23	824	39	783	480	542	629	707	386
GCA_000018365@Thermococcus_onnurineus_NA1	0	48	864	153	836	705	729	767	789	680
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	50	872	95	838	638	662	736	779	608
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	820	40	792	517	555	660	730	376
GCA_000151105@Thermococcus_barophilus_MP	0	28	872	49	844	581	626	711	770	476
GCA_000151205@Thermococcus_sp_AM4	0	50	881	92	852	655	688	748	793	620
GCA_000195935@Pyrococcus_abyssi_GE5	0	19	817	33	782	510	581	645	713	435
GCA_000211475@Pyrococcus_sp_NA2	0	19	810	39	780	492	540	628	706	393
GCA_000215995@Pyrococcus_yayanosii_CH1	0	18	823	46	784	534	579	673	709	494
GCA_000221185@Thermococcus_sp_4557	0	74	919	243	897	796	823	850	866	787
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	25	854	49	825	588	618	705	765	484
GCA_000258515@Thermococcus_zilligii_AN1	0	32	845	101	804	610	649	692	735	590
GCA_000263735@Pyrococcus_sp_ST04	0	19	816	42	777	478	533	625	697	371
GCA_000265525@Thermococcus_cleftensis_CL1	0	84	914	227	892	766	789	815	841	751
GCA_000275605@Pyrococcus_furiosus_COM1	0	20	821	39	782	473	524	612	704	339
GCA_000517445@Thermococcus_paralvinellae_ES1	0	28	844	49	813	533	596	672	747	425
GCA_000585495@Thermococcus_nautili_30_1	0	60	888	117	856	674	709	759	783	644
GCA_000725425@Palaeococcus_pacificus_DY20341	0	23	836	54	811	570	607	696	745	469
GCA_000769655@Thermococcus_eurythermalis_A501	0	64	898	121	865	680	711	759	793	654
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	41	862	110	835	649	677	732	776	620
GCA_001433455@Thermococcus_barophilus_CH5	0	37	890	52	858	578	651	717	786	480
GCA_001484685@Thermococcus_sp_2319x1	0	22	832	47	796	559	601	677	732	489
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	20	852	44	814	542	595	674	746	442
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	40	867	115	831	670	696	745	774	638
GCA_001647085@Thermococcus_piezophilus_CDGS	0	47	873	148	827	694	718	750	777	667
GCA_002197185@Thermococcus_sp_5_4	0	60	897	211	875	776	796	822	837	760
GCA_002214365@Thermococcus_celer_Vu_13	0	48	866	157	833	712	738	768	788	695
GCA_002214385@Thermococcus_gorgonarius_W_12	0	41	838	110	799	626	661	704	744	603
