	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	14	861	77	823	643	651	708	765	522
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	20	863	62	835	615	651	727	779	534
GCA_000011105@Pyrococcus_horikoshii_OT3	0	3	802	51	775	561	584	650	708	447
GCA_000018365@Thermococcus_onnurineus_NA1	0	9	819	63	787	596	647	698	740	531
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	10	806	51	779	557	589	650	712	471
GCA_000022545@Thermococcus_sibiricus_MM_739	0	18	843	189	816	736	742	753	774	712
GCA_000151105@Thermococcus_barophilus_MP	0	20	855	101	829	705	731	762	798	647
GCA_000151205@Thermococcus_sp_AM4	0	12	817	49	784	552	593	663	719	479
GCA_000195935@Pyrococcus_abyssi_GE5	0	10	812	51	779	573	603	668	719	453
GCA_000211475@Pyrococcus_sp_NA2	1	20	817	53	795	580	634	673	720	453
GCA_000215995@Pyrococcus_yayanosii_CH1	0	7	807	64	767	554	589	659	714	469
GCA_000221185@Thermococcus_sp_4557	0	12	843	64	812	601	648	711	754	514
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	46	925	330	903	850	861	869	886	841
GCA_000258515@Thermococcus_zilligii_AN1	0	11	825	59	792	571	597	678	735	491
GCA_000263735@Pyrococcus_sp_ST04	1	5	814	54	780	592	614	655	722	483
GCA_000265525@Thermococcus_cleftensis_CL1	0	10	820	53	788	577	606	686	732	489
GCA_000275605@Pyrococcus_furiosus_COM1	0	14	860	77	820	644	652	704	760	518
GCA_000517445@Thermococcus_paralvinellae_ES1	0	11	840	89	812	688	700	738	776	633
GCA_000585495@Thermococcus_nautili_30_1	0	4	814	56	776	555	593	674	717	493
GCA_000725425@Palaeococcus_pacificus_DY20341	0	9	820	83	798	667	683	720	754	589
GCA_000769655@Thermococcus_eurythermalis_A501	0	14	844	61	810	580	617	697	748	499
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	19	816	55	792	567	605	672	722	496
GCA_001433455@Thermococcus_barophilus_CH5	0	32	865	96	844	710	729	769	808	653
GCA_001484685@Thermococcus_sp_2319x1	6	108	1000	572	1000	1000	1000	1000	1000	1000
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	7	820	54	789	576	603	662	728	459
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	15	834	62	806	620	644	710	754	528
GCA_001647085@Thermococcus_piezophilus_CDGS	0	18	835	76	777	573	631	692	728	510
GCA_002197185@Thermococcus_sp_5_4	0	5	830	58	799	619	642	703	754	535
GCA_002214365@Thermococcus_celer_Vu_13	0	8	839	68	811	609	638	721	770	521
GCA_002214385@Thermococcus_gorgonarius_W_12	0	12	783	58	747	552	580	639	693	470
GCA_002214465@Thermococcus_barossii_SHCK_94	0	10	827	63	802	608	639	712	754	532
GCA_002214485@Thermococcus_pacificus_P4	0	6	820	57	786	583	627	687	736	510
GCA_002214505@Thermococcus_siculi_RG_20	0	16	832	59	791	601	627	685	728	508
GCA_002214525@Thermococcus_sp_P6	0	6	786	59	752	542	577	648	693	484
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	31	861	73	833	636	677	746	786	551
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	7	832	58	799	606	637	705	746	531
GCA_002214585@Thermococcus_profundus_DT_5432	0	7	809	56	778	586	600	677	729	498
GCA_002214605@Thermococcus_chitonophagus	0	8	835	47	805	597	624	687	744	478
GCA_006274605@Thermococcus_indicus_IOH1	0	23	866	69	831	622	653	729	770	526
GCA_008152015@Thermococcus_aciditolerans_SY113	0	13	856	66	824	607	650	720	767	531
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	14	859	75	822	645	649	706	763	518
GCA_020386975@Thermococcus_bergensis_T7324	0	18	870	279	844	778	787	796	817	774
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	12	852	165	823	742	752	768	792	715
GCA_024022995@Thermococcus_aggregans_TY	0	20	840	228	812	731	734	760	777	722
GCA_024707485@Thermococcus_sp_813A4	0	27	854	71	825	634	682	736	785	539
GCA_028471785@Thermococcus_kodakarensis_TS900	0	20	861	62	832	615	651	726	775	529
GCA_028471865@Thermococcus_kodakarensis_TS901	0	20	860	62	833	616	653	727	776	536
GCA_035621495@Thermococcus_sp_SY098	0	22	849	100	828	707	725	761	794	654
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	8	836	48	805	600	622	690	747	482
GCA_900198835@Thermococcus_henrietii_EXT12c	0	9	843	51	814	571	604	705	758	497
GCA_902813195@Thermococcus_sp_2319x1_Essen	1	75	942	468	925	901	903	908	911	896
GCA_904067545@Thermococcus_camini_IRI35c	0	12	847	67	817	605	650	717	765	522
Palaeococcus_helgesoni_DSM_15127	0	18	856	90	823	667	687	731	768	586
Pyrococcus_31_3	0	5	834	47	801	604	630	687	748	484
Pyrococcus_32_1	0	5	834	47	802	603	628	688	748	483
Pyrococcus_abyssi_GE2	0	10	811	49	780	568	608	665	718	460
Pyrococcus_endeavori_ES4	1	4	812	54	780	585	612	652	721	487
Pyrococcus_EXT16	0	7	831	47	795	600	620	680	739	490
Pyrococcus_sp_32_3	0	5	834	47	802	607	630	687	748	483
Pyrococcus_sp_32_4	0	4	834	47	801	604	631	687	750	488
Pyrococcus_sp_EXT_15c	0	3	797	51	765	564	597	659	711	447
Pyrococcus_sp_GE_23	0	7	794	48	758	552	595	648	698	457
Pyrococcus_sp_IRI_42C	0	6	816	65	770	561	593	653	712	463
Thermococcus_15_2	0	6	820	52	797	587	631	691	735	519
Thermococcus_23_2	0	5	830	57	798	620	642	706	755	533
Thermococcus_29_3	0	4	805	56	770	538	579	664	713	484
Thermococcus_31_3	0	11	829	63	799	623	649	715	750	531
Thermococcus_aegaeus_DSM_12767	0	29	880	295	858	810	812	830	839	808
Thermococcus_aggregans_DSM_12819	0	20	840	227	813	731	734	759	779	722
Thermococcus_alcaliphilus_DSM_10322	0	27	877	309	855	814	819	828	835	813
Thermococcus_AMTc11	0	22	873	70	845	644	681	746	788	569
Thermococcus_AMTc30	0	3	802	47	762	528	580	652	709	480
Thermococcus_AMTc51	0	2	798	49	765	541	586	665	713	485
Thermococcus_AMTc85	0	2	802	48	765	538	579	653	712	477
Thermococcus_atlanticus_DSM_15226	0	12	856	68	833	669	705	743	791	607
Thermococcus_barophilus_423_3_23	0	26	853	102	831	705	725	759	795	646
Thermococcus_barophilus_CH1	0	18	854	104	838	726	741	777	810	665
Thermococcus_barophilus_DT4	0	17	831	98	792	676	688	720	753	623
