	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	19	755	45	735	454	514	600	673	357
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	62	846	114	829	674	709	754	786	653
GCA_000011105@Pyrococcus_horikoshii_OT3	0	14	749	39	738	470	514	600	678	362
GCA_000018365@Thermococcus_onnurineus_NA1	0	46	815	108	801	650	686	732	753	620
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	70	847	156	837	677	706	745	782	643
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	751	43	737	450	489	598	674	341
GCA_000151105@Thermococcus_barophilus_MP	0	31	833	49	816	530	597	702	753	454
GCA_000151205@Thermococcus_sp_AM4	0	74	873	166	860	737	753	802	823	710
GCA_000195935@Pyrococcus_abyssi_GE5	0	21	771	41	762	523	570	644	693	456
GCA_000211475@Pyrococcus_sp_NA2	0	13	772	45	754	477	543	621	689	402
GCA_000215995@Pyrococcus_yayanosii_CH1	0	28	788	45	773	548	593	670	710	503
GCA_000221185@Thermococcus_sp_4557	0	59	832	124	812	665	688	738	763	632
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	15	797	41	777	523	561	661	716	446
GCA_000258515@Thermococcus_zilligii_AN1	0	36	785	84	768	590	623	666	701	564
GCA_000263735@Pyrococcus_sp_ST04	0	27	783	46	770	495	549	642	699	409
GCA_000265525@Thermococcus_cleftensis_CL1	0	65	844	139	830	683	696	751	790	648
GCA_000275605@Pyrococcus_furiosus_COM1	0	20	753	47	737	454	508	593	674	353
GCA_000517445@Thermococcus_paralvinellae_ES1	0	24	786	48	765	513	565	650	710	430
GCA_000585495@Thermococcus_nautili_30_1	0	108	905	311	894	852	859	870	877	846
GCA_000725425@Palaeococcus_pacificus_DY20341	0	14	793	43	777	531	567	647	706	436
GCA_000769655@Thermococcus_eurythermalis_A501	0	70	854	206	844	751	766	785	807	738
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	48	817	136	806	641	668	713	750	620
GCA_001433455@Thermococcus_barophilus_CH5	0	35	842	52	827	544	614	713	771	468
GCA_001484685@Thermococcus_sp_2319x1	0	9	760	40	742	510	551	632	686	445
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	21	795	44	774	519	579	660	714	462
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	57	846	128	834	694	713	767	794	657
GCA_001647085@Thermococcus_piezophilus_CDGS	0	31	807	96	788	628	658	711	745	601
GCA_002197185@Thermococcus_sp_5_4	0	50	827	121	809	681	704	753	773	650
GCA_002214365@Thermococcus_celer_Vu_13	0	43	802	101	788	628	667	721	750	612
GCA_002214385@Thermococcus_gorgonarius_W_12	0	48	783	107	766	611	638	683	722	581
GCA_002214465@Thermococcus_barossii_SHCK_94	0	50	841	115	828	673	699	753	783	650
GCA_002214485@Thermococcus_pacificus_P4	0	46	797	106	782	629	669	711	739	614
GCA_002214505@Thermococcus_siculi_RG_20	0	60	826	118	812	667	682	734	763	640
GCA_002214525@Thermococcus_sp_P6	0	23	731	72	715	570	585	640	672	532
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	63	840	123	826	656	685	748	779	628
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	43	822	124	809	666	696	740	762	635
GCA_002214585@Thermococcus_profundus_DT_5432	0	50	850	104	837	658	698	757	786	626
GCA_002214605@Thermococcus_chitonophagus	0	18	798	47	780	526	577	664	719	447
GCA_006274605@Thermococcus_indicus_IOH1	0	69	866	127	846	701	716	775	806	664
GCA_008152015@Thermococcus_aciditolerans_SY113	0	51	861	126	845	693	718	772	802	656
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	20	755	46	736	454	508	595	675	357
