	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	24	813	36	767	475	526	629	709	369
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	78	893	104	868	679	714	763	811	645
GCA_000011105@Pyrococcus_horikoshii_OT3	0	17	785	29	743	441	501	587	671	352
GCA_000018365@Thermococcus_onnurineus_NA1	0	53	854	173	814	712	736	761	775	689
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	66	864	90	826	631	662	714	761	610
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	810	43	773	506	561	649	717	383
GCA_000151105@Thermococcus_barophilus_MP	0	23	861	59	831	576	632	703	774	494
GCA_000151205@Thermococcus_sp_AM4	0	75	866	95	832	657	687	739	775	637
GCA_000195935@Pyrococcus_abyssi_GE5	0	24	799	36	758	490	542	619	689	416
GCA_000211475@Pyrococcus_sp_NA2	0	26	815	34	774	496	546	626	697	404
GCA_000215995@Pyrococcus_yayanosii_CH1	0	25	817	51	779	553	605	652	706	511
GCA_000221185@Thermococcus_sp_4557	0	103	929	355	912	850	856	867	878	842
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	22	862	40	827	583	646	719	775	509
GCA_000258515@Thermococcus_zilligii_AN1	0	48	843	87	795	619	651	705	741	600
GCA_000263735@Pyrococcus_sp_ST04	0	24	797	38	768	474	539	612	681	380
GCA_000265525@Thermococcus_cleftensis_CL1	0	113	916	242	896	810	817	837	860	795
GCA_000275605@Pyrococcus_furiosus_COM1	0	24	810	36	767	474	527	626	708	370
GCA_000517445@Thermococcus_paralvinellae_ES1	0	25	821	52	784	536	592	660	724	455
GCA_000585495@Thermococcus_nautili_30_1	0	76	880	118	849	689	720	762	800	675
GCA_000725425@Palaeococcus_pacificus_DY20341	0	21	830	43	800	571	612	692	755	473
GCA_000769655@Thermococcus_eurythermalis_A501	0	71	879	120	850	677	707	749	788	658
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	59	846	101	809	624	666	695	744	618
GCA_001433455@Thermococcus_barophilus_CH5	0	29	862	59	831	592	644	714	777	494
GCA_001484685@Thermococcus_sp_2319x1	0	23	838	44	799	570	620	694	755	486
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	31	839	37	798	511	567	641	712	438
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	52	865	111	842	678	714	757	787	647
GCA_001647085@Thermococcus_piezophilus_CDGS	0	51	859	166	812	696	718	750	772	678
GCA_002197185@Thermococcus_sp_5_4	0	59	862	246	838	763	773	796	812	750
GCA_002214365@Thermococcus_celer_Vu_13	0	56	861	168	827	727	740	765	799	707
GCA_002214385@Thermococcus_gorgonarius_W_12	0	45	827	91	787	619	649	701	730	579
GCA_002214465@Thermococcus_barossii_SHCK_94	0	67	887	234	866	772	789	812	831	762
GCA_002214485@Thermococcus_pacificus_P4	0	58	874	196	846	727	748	771	797	704
GCA_002214505@Thermococcus_siculi_RG_20	0	81	909	225	887	804	821	842	859	791
GCA_002214525@Thermococcus_sp_P6	0	32	792	104	761	634	649	674	714	610
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	91	917	260	894	799	830	852	869	790
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	62	873	239	847	758	775	793	807	745
GCA_002214585@Thermococcus_profundus_DT_5432	0	57	861	106	830	652	677	734	771	620
GCA_002214605@Thermococcus_chitonophagus	0	20	816	35	764	498	551	624	696	411
GCA_006274605@Thermococcus_indicus_IOH1	0	97	932	311	909	817	831	861	884	808
GCA_008152015@Thermococcus_aciditolerans_SY113	0	91	917	307	892	814	828	841	861	810
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	24	810	36	770	475	531	633	707	368
GCA_020386975@Thermococcus_bergensis_T7324	0	12	817	48	775	546	598	669	722	478
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	19	842	50	811	517	581	685	756	383
GCA_024022995@Thermococcus_aggregans_TY	0	28	840	43	797	561	610	691	741	478
GCA_024707485@Thermococcus_sp_813A4	0	81	914	242	896	810	837	861	875	799
GCA_028471785@Thermococcus_kodakarensis_TS900	0	78	893	104	868	680	714	761	809	647
GCA_028471865@Thermococcus_kodakarensis_TS901	0	78	892	104	868	676	715	762	810	646
GCA_035621495@Thermococcus_sp_SY098	0	25	860	57	833	578	640	712	782	497
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	20	817	35	766	500	556	625	697	410
GCA_900198835@Thermococcus_henrietii_EXT12c	0	70	875	124	841	675	708	753	782	650
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	21	842	44	805	578	637	704	764	493
GCA_904067545@Thermococcus_camini_IRI35c	2	177	1000	520	1000	1000	1000	1000	1000	1000
Palaeococcus_helgesoni_DSM_15127	0	29	835	48	805	566	611	693	738	503
Pyrococcus_31_3	0	23	829	37	785	521	573	643	707	434
Pyrococcus_32_1	0	23	829	37	784	525	576	644	707	433
Pyrococcus_abyssi_GE2	0	28	792	36	754	493	527	616	681	402
Pyrococcus_endeavori_ES4	0	19	795	35	761	480	520	607	676	372
Pyrococcus_EXT16	0	23	829	37	787	519	563	643	709	440
Pyrococcus_sp_32_3	0	23	829	37	785	521	574	639	708	434
Pyrococcus_sp_32_4	0	23	829	37	785	518	574	642	709	433
Pyrococcus_sp_EXT_15c	0	26	825	37	787	520	565	650	711	437
Pyrococcus_sp_GE_23	0	24	797	32	760	501	533	611	685	417
Pyrococcus_sp_IRI_42C	0	20	819	40	773	471	528	614	690	358
Thermococcus_15_2	0	58	865	146	834	698	720	749	789	681
Thermococcus_23_2	0	59	862	245	836	761	771	796	810	750
Thermococcus_29_3	0	75	869	109	839	678	711	752	793	658
Thermococcus_31_3	0	83	901	214	881	767	789	813	837	747
Thermococcus_aegaeus_DSM_12767	0	17	847	44	815	581	637	706	769	496
Thermococcus_aggregans_DSM_12819	0	28	840	43	798	563	609	692	741	477
Thermococcus_alcaliphilus_DSM_10322	0	14	831	40	806	588	632	706	762	498
Thermococcus_AMTc11	0	91	920	253	896	801	819	843	871	786
Thermococcus_AMTc30	0	70	860	108	833	659	696	729	771	650
Thermococcus_AMTc51	0	58	855	119	833	670	701	747	783	663
