Environment created
Processing GCA_020386975@Thermococcus_bergensis_T7324


Calculating de novo conservation...
Extracted 2 de novo genes for the focal species GCA_020386975@Thermococcus_bergensis_T7324

Species GCA_002214525@Thermococcus_sp_P6: 0 matches
Species GCA_002197185@Thermococcus_sp_5_4: 0 matches
Species GCA_001577775@Pyrococcus_kukulkanii_NCB100: 0 matches
Species GCA_000151205@Thermococcus_sp_AM4: 0 matches
Species GCA_000011105@Pyrococcus_horikoshii_OT3: 0 matches
Species GCA_006274605@Thermococcus_indicus_IOH1: 0 matches
Species GCA_000263735@Pyrococcus_sp_ST04: 0 matches
Species GCA_000215995@Pyrococcus_yayanosii_CH1: 0 matches
Species GCA_000258515@Thermococcus_zilligii_AN1: 0 matches
Species GCA_002214565@Thermococcus_radiotolerans_EJ2: 0 matches
Species GCA_000009965@Thermococcus_kodakarensis_KOD1: 0 matches
Species GCA_000151105@Thermococcus_barophilus_MP: 0 matches
Species GCA_002214385@Thermococcus_gorgonarius_W_12: 0 matches
Species GCA_000211475@Pyrococcus_sp_NA2: 0 matches
Species GCA_002214465@Thermococcus_barossii_SHCK_94: 0 matches
Species GCA_001592435@Thermococcus_peptonophilus_OG_1: 0 matches
Species GCA_002214485@Thermococcus_pacificus_P4: 0 matches
Species GCA_001484685@Thermococcus_sp_2319x1: 1 matches
Species GCA_000007305@Pyrococcus_furiosus_DSM_3638: 0 matches
Species GCA_000585495@Thermococcus_nautili_30_1: 0 matches
Species GCA_000195935@Pyrococcus_abyssi_GE5: 0 matches
Species GCA_000018365@Thermococcus_onnurineus_NA1: 0 matches
Species GCA_000221185@Thermococcus_sp_4557: 0 matches
Species GCA_000265525@Thermococcus_cleftensis_CL1: 0 matches
Species GCA_002214605@Thermococcus_chitonophagus: 0 matches
Species GCA_002214585@Thermococcus_profundus_DT_5432: 0 matches
Species GCA_000517445@Thermococcus_paralvinellae_ES1: 0 matches
Species GCA_001647085@Thermococcus_piezophilus_CDGS: 0 matches
Species GCA_000022545@Thermococcus_sibiricus_MM_739: 0 matches
Species GCA_000816105@Thermococcus_guaymasensis_DSM_11113: 0 matches
Species GCA_000022365@Thermococcus_gammatolerans_EJ3: 0 matches
Species GCA_000769655@Thermococcus_eurythermalis_A501: 0 matches
Species GCA_000725425@Palaeococcus_pacificus_DY20341: 0 matches
Species GCA_008152015@Thermococcus_aciditolerans_SY113: 0 matches
Species GCA_000275605@Pyrococcus_furiosus_COM1: 0 matches
Species GCA_002214505@Thermococcus_siculi_RG_20: 0 matches
Species GCA_002214365@Thermococcus_celer_Vu_13: 0 matches
Species GCA_000246985@Thermococcus_litoralis_DSM_5473: 1 matches
Species GCA_001433455@Thermococcus_barophilus_CH5: 0 matches
Species GCA_002214545@Thermococcus_thioreducens_OGL_20P: 0 matches
Species GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg: 0 matches
Species GCA_024022995@Thermococcus_aggregans_TY: 0 matches
Species GCA_028471865@Thermococcus_kodakarensis_TS901: 0 matches
Species GCA_023746595@Thermococcus_argininiproducens_IOH2: 0 matches
Species GCA_024707485@Thermococcus_sp_813A4: 0 matches
Species GCA_028471785@Thermococcus_kodakarensis_TS900: 0 matches
Species GCA_035621495@Thermococcus_sp_SY098: 0 matches
Species GCA_900012635@Thermococcus_chitonophagus_isolate_1: 0 matches
Species GCA_900198835@Thermococcus_henrietii_EXT12c: 0 matches
Species Pyrococcus_EXT16: 0 matches
Species Pyrococcus_abyssi_GE2: 0 matches
Species GCA_904067545@Thermococcus_camini_IRI35c: 0 matches
Species GCA_902813195@Thermococcus_sp_2319x1_Essen: 1 matches
Species Pyrococcus_endeavori_ES4: 0 matches
Species Palaeococcus_helgesoni_DSM_15127: 0 matches
Species Thermococcus_IRI_06c: 0 matches
Species Pyrococcus_31_3: 0 matches
Species Pyrococcus_32_1: 0 matches
Species Thermococcus_IRI15c: 0 matches
Species Thermococcus_atlanticus_DSM_15226: 0 matches
Species Thermococcus_E15P35: 0 matches
Species Thermococcus_marinus_DSM_15227: 0 matches
Species Thermococcus_EXT11c: 0 matches
Species Pyrococcus_sp_32_4: 0 matches
Species Thermococcus_aegaeus_DSM_12767: 1 matches
Species Thermococcus_coalescens_TS1: 0 matches
Species Pyrococcus_sp_EXT_15c: 0 matches
