	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	11	780	44	766	574	592	626	699	468
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	33	842	58	819	561	602	695	748	468
GCA_000011105@Pyrococcus_horikoshii_OT3	0	20	789	39	771	539	567	617	694	444
GCA_000018365@Thermococcus_onnurineus_NA1	0	26	784	66	771	598	619	696	732	518
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	35	823	48	799	545	581	665	731	456
GCA_000022545@Thermococcus_sibiricus_MM_739	0	21	796	78	774	636	648	678	727	580
GCA_000151105@Thermococcus_barophilus_MP	1	76	915	449	909	885	885	888	897	879
GCA_000151205@Thermococcus_sp_AM4	0	29	815	51	794	547	590	673	735	440
GCA_000195935@Pyrococcus_abyssi_GE5	0	12	781	49	763	540	575	622	688	432
GCA_000211475@Pyrococcus_sp_NA2	0	18	790	53	773	569	579	644	704	456
GCA_000215995@Pyrococcus_yayanosii_CH1	0	30	784	57	769	550	574	651	706	475
GCA_000221185@Thermococcus_sp_4557	0	27	808	60	791	547	587	653	732	456
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	32	859	98	840	698	713	754	791	632
GCA_000258515@Thermococcus_zilligii_AN1	0	19	771	42	751	508	540	615	685	424
GCA_000263735@Pyrococcus_sp_ST04	0	11	777	49	753	559	582	629	694	459
GCA_000265525@Thermococcus_cleftensis_CL1	0	28	807	55	788	523	560	657	727	431
GCA_000275605@Pyrococcus_furiosus_COM1	0	12	779	43	765	572	591	627	700	466
GCA_000517445@Thermococcus_paralvinellae_ES1	0	42	852	278	837	769	777	788	808	759
GCA_000585495@Thermococcus_nautili_30_1	0	24	814	59	795	532	554	659	724	438
GCA_000725425@Palaeococcus_pacificus_DY20341	0	23	805	79	788	679	689	712	745	605
GCA_000769655@Thermococcus_eurythermalis_A501	0	17	805	62	781	528	554	649	709	426
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	29	802	60	784	531	577	649	716	447
GCA_001433455@Thermococcus_barophilus_CH5	2	87	952	443	946	918	916	919	926	909
GCA_001484685@Thermococcus_sp_2319x1	0	18	799	84	779	643	662	698	742	593
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	18	813	55	791	573	593	655	720	471
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	21	814	51	789	550	588	667	719	472
GCA_001647085@Thermococcus_piezophilus_CDGS	0	27	776	56	743	566	596	658	696	490
GCA_002197185@Thermococcus_sp_5_4	0	24	815	62	798	585	626	694	751	488
GCA_002214365@Thermococcus_celer_Vu_13	0	22	791	53	776	523	578	661	720	422
GCA_002214385@Thermococcus_gorgonarius_W_12	0	22	763	39	737	502	538	609	674	439
GCA_002214465@Thermococcus_barossii_SHCK_94	0	29	819	57	805	575	606	694	746	477
GCA_002214485@Thermococcus_pacificus_P4	0	22	776	54	764	524	572	644	705	443
GCA_002214505@Thermococcus_siculi_RG_20	0	26	815	55	801	529	580	670	736	441
GCA_002214525@Thermococcus_sp_P6	0	18	721	45	705	483	505	594	649	399
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	38	861	89	847	618	660	729	787	524
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	22	823	58	799	578	613	685	741	480
GCA_002214585@Thermococcus_profundus_DT_5432	0	26	804	52	784	514	562	654	708	432
GCA_002214605@Thermococcus_chitonophagus	0	20	808	48	784	564	582	639	710	474
GCA_006274605@Thermococcus_indicus_IOH1	0	30	826	75	805	553	606	677	739	470
GCA_008152015@Thermococcus_aciditolerans_SY113	0	30	835	79	817	572	612	703	750	485
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	12	781	44	766	577	590	629	703	467
GCA_020386975@Thermococcus_bergensis_T7324	0	18	802	86	781	641	662	709	742	591
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	18	820	84	802	683	692	724	762	621
GCA_024022995@Thermococcus_aggregans_TY	0	17	797	87	786	663	675	703	743	596
GCA_024707485@Thermococcus_sp_813A4	0	28	851	76	838	632	664	740	794	528
GCA_028471785@Thermococcus_kodakarensis_TS900	0	33	841	58	816	561	600	694	750	470
GCA_028471865@Thermococcus_kodakarensis_TS901	0	33	840	58	816	563	602	693	746	466
GCA_035621495@Thermococcus_sp_SY098	1	79	934	401	929	885	891	893	909	876
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	20	809	48	785	567	584	641	714	475
GCA_900198835@Thermococcus_henrietii_EXT12c	0	26	836	59	811	527	565	664	740	430
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	18	818	85	799	663	678	714	759	596
GCA_904067545@Thermococcus_camini_IRI35c	0	25	814	68	798	555	606	670	735	463
Palaeococcus_helgesoni_DSM_15127	0	18	812	76	796	656	665	710	749	568
Pyrococcus_31_3	0	17	818	48	794	587	591	657	717	486
Pyrococcus_32_1	0	17	818	48	793	584	594	654	717	488
Pyrococcus_abyssi_GE2	0	13	792	48	775	544	580	629	692	452
Pyrococcus_endeavori_ES4	0	13	780	50	756	557	585	628	704	454
Pyrococcus_EXT16	0	17	816	51	796	587	605	660	720	487
Pyrococcus_sp_32_3	0	17	818	48	792	588	594	654	717	488
Pyrococcus_sp_32_4	0	17	818	48	793	586	594	653	717	489
Pyrococcus_sp_EXT_15c	0	18	806	57	788	574	594	654	722	474
Pyrococcus_sp_GE_23	0	14	789	49	767	528	567	621	688	444
Pyrococcus_sp_IRI_42C	0	21	776	58	763	570	582	631	692	470
Thermococcus_15_2	0	26	808	42	788	548	587	666	728	450
Thermococcus_23_2	0	24	815	62	798	585	626	692	753	490
Thermococcus_29_3	0	32	825	53	806	527	562	664	733	436
Thermococcus_31_3	0	38	843	67	825	592	635	700	777	508
Thermococcus_aegaeus_DSM_12767	0	20	820	90	803	670	694	724	771	627
Thermococcus_aggregans_DSM_12819	0	17	796	87	784	664	675	705	746	597
Thermococcus_alcaliphilus_DSM_10322	0	20	831	98	813	692	704	740	782	630
Thermococcus_AMTc11	0	35	856	76	842	621	644	733	781	517
Thermococcus_AMTc30	0	24	808	58	785	519	570	658	727	430
Thermococcus_AMTc51	0	22	815	61	791	527	560	666	726	447
Thermococcus_AMTc85	0	22	814	56	791	525	568	659	724	429
Thermococcus_atlanticus_DSM_15226	0	34	879	98	867	699	733	776	812	633
Thermococcus_barophilus_423_3_23	0	54	892	378	877	838	838	847	854	828
