	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	11	865	41	830	591	612	690	763	457
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	11	879	39	848	581	636	712	770	521
GCA_000011105@Pyrococcus_horikoshii_OT3	0	13	825	38	786	539	569	647	706	391
GCA_000018365@Thermococcus_onnurineus_NA1	0	8	851	45	809	586	633	700	745	517
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	10	844	39	803	555	595	668	726	476
GCA_000022545@Thermococcus_sibiricus_MM_739	0	11	854	71	823	665	675	727	761	560
GCA_000151105@Thermococcus_barophilus_MP	0	7	895	78	870	727	750	803	829	644
GCA_000151205@Thermococcus_sp_AM4	0	16	843	37	802	545	588	672	725	478
GCA_000195935@Pyrococcus_abyssi_GE5	0	11	835	32	794	565	591	656	728	432
GCA_000211475@Pyrococcus_sp_NA2	0	15	852	33	803	565	598	659	724	439
GCA_000215995@Pyrococcus_yayanosii_CH1	0	13	837	33	789	539	595	667	721	476
GCA_000221185@Thermococcus_sp_4557	0	10	877	52	844	611	646	732	771	535
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	17	889	72	858	712	726	772	806	617
GCA_000258515@Thermococcus_zilligii_AN1	0	7	834	40	790	536	578	661	726	472
GCA_000263735@Pyrococcus_sp_ST04	0	7	842	40	799	565	607	658	727	436
GCA_000265525@Thermococcus_cleftensis_CL1	0	12	857	46	818	574	622	707	748	503
GCA_000275605@Pyrococcus_furiosus_COM1	0	11	864	42	828	586	607	689	759	456
GCA_000517445@Thermococcus_paralvinellae_ES1	0	10	881	65	849	703	719	756	798	613
GCA_000585495@Thermococcus_nautili_30_1	0	13	838	37	798	535	583	664	723	471
GCA_000725425@Palaeococcus_pacificus_DY20341	0	15	875	132	854	752	769	791	815	708
GCA_000769655@Thermococcus_eurythermalis_A501	0	16	863	43	820	553	603	689	750	471
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	13	840	50	807	548	602	679	738	489
GCA_001433455@Thermococcus_barophilus_CH5	0	15	908	77	886	733	755	810	837	642
GCA_001484685@Thermococcus_sp_2319x1	0	13	885	72	851	691	715	761	795	610
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	10	840	37	801	550	599	660	733	442
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	11	853	40	815	572	618	707	754	500
GCA_001647085@Thermococcus_piezophilus_CDGS	0	16	869	49	815	601	650	709	761	542
GCA_002197185@Thermococcus_sp_5_4	0	10	866	49	830	629	666	733	773	559
GCA_002214365@Thermococcus_celer_Vu_13	0	26	889	89	863	637	683	754	802	568
GCA_002214385@Thermococcus_gorgonarius_W_12	0	7	818	36	771	539	572	637	701	476
GCA_002214465@Thermococcus_barossii_SHCK_94	0	13	864	48	828	612	667	722	771	526
GCA_002214485@Thermococcus_pacificus_P4	0	8	840	47	810	587	629	703	760	527
GCA_002214505@Thermococcus_siculi_RG_20	0	21	865	41	832	609	658	718	764	538
GCA_002214525@Thermococcus_sp_P6	0	16	824	65	788	571	610	669	726	517
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	28	885	52	853	623	665	744	796	533
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	8	862	43	835	625	668	733	783	557
GCA_002214585@Thermococcus_profundus_DT_5432	0	7	832	43	796	575	598	681	737	500
GCA_002214605@Thermococcus_chitonophagus	0	8	847	36	806	555	599	662	728	447
GCA_006274605@Thermococcus_indicus_IOH1	0	21	879	46	834	589	636	722	777	512
GCA_008152015@Thermococcus_aciditolerans_SY113	0	18	891	53	850	612	655	735	788	532
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	11	864	41	829	592	605	689	760	454
GCA_020386975@Thermococcus_bergensis_T7324	0	8	852	66	815	657	676	724	757	582
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	6	876	70	850	692	712	766	802	591
GCA_024022995@Thermococcus_aggregans_TY	0	12	849	66	822	661	674	718	762	589
GCA_024707485@Thermococcus_sp_813A4	0	20	888	56	861	629	667	747	794	537
GCA_028471785@Thermococcus_kodakarensis_TS900	0	11	878	39	846	582	632	711	769	518
GCA_028471865@Thermococcus_kodakarensis_TS901	0	11	878	39	846	583	631	708	769	518
GCA_035621495@Thermococcus_sp_SY098	0	15	896	78	874	726	749	797	821	642
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	8	848	36	808	556	604	666	730	450
GCA_900198835@Thermococcus_henrietii_EXT12c	0	20	869	41	836	545	596	698	753	474
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	17	890	74	856	699	709	760	800	600
GCA_904067545@Thermococcus_camini_IRI35c	0	18	881	47	837	595	647	728	780	536
Palaeococcus_helgesoni_DSM_15127	1	86	1000	595	1000	1000	1000	1000	1000	1000
Pyrococcus_31_3	0	11	853	36	811	567	608	673	735	438
Pyrococcus_32_1	0	11	853	36	812	573	607	674	734	442
Pyrococcus_abyssi_GE2	0	12	842	34	798	551	587	660	731	428
Pyrococcus_endeavori_ES4	0	8	842	37	801	563	601	655	727	427
Pyrococcus_EXT16	0	10	855	35	813	568	604	674	734	447
Pyrococcus_sp_32_3	0	11	853	36	812	563	607	674	733	440
Pyrococcus_sp_32_4	0	11	852	36	811	570	609	673	732	440
Pyrococcus_sp_EXT_15c	0	10	833	34	789	556	584	653	720	447
Pyrococcus_sp_GE_23	0	10	826	32	783	542	566	643	718	431
Pyrococcus_sp_IRI_42C	0	13	840	36	783	576	590	658	727	442
Thermococcus_15_2	0	15	847	38	815	590	625	701	745	504
Thermococcus_23_2	0	10	866	46	829	627	663	733	771	559
Thermococcus_29_3	0	15	837	38	792	534	582	667	728	469
Thermococcus_31_3	0	16	856	40	824	608	652	716	769	536
Thermococcus_aegaeus_DSM_12767	0	8	865	66	841	692	714	755	789	608
Thermococcus_aggregans_DSM_12819	0	12	849	66	823	663	674	718	762	591
Thermococcus_alcaliphilus_DSM_10322	0	8	873	65	854	712	727	775	814	623
Thermococcus_AMTc11	0	22	899	53	866	637	680	754	802	561
Thermococcus_AMTc30	0	14	840	37	794	545	591	678	733	468
Thermococcus_AMTc51	0	14	831	38	794	541	589	674	730	473
Thermococcus_AMTc85	0	12	837	34	793	536	583	670	729	462
Thermococcus_atlanticus_DSM_15226	0	19	911	69	886	716	749	800	836	656
Thermococcus_barophilus_423_3_23	0	10	891	74	867	728	758	801	828	633
Thermococcus_barophilus_CH1	0	15	897	80	874	724	745	793	823	637
Thermococcus_barophilus_DT4	0	15	873	66	842	682	697	750	781	599
Thermococcus_coalescens_TS1	0	24	886	55	858	637	667	751	797	554
Thermococcus_E15P35	0	18	840	37	798	534	586	669	725	467
Thermococcus_EXT11c	0	15	837	37	788	542	585	673	730	469
Thermococcus_fumicolans_ST557	0	11	844	46	801	563	607	682	734	488
Thermococcus_IRI_06c	0	15	870	52	832	590	641	725	762	522
Thermococcus_IRI15c	0	16	882	47	841	595	645	726	784	525
Thermococcus_marinus_DSM_15227	0	14	866	47	823	550	601	690	752	473
Thermococcus_prieuri_Col3	0	16	848	40	816	590	632	703	747	508
Thermococcus_profundus_DSM_9503	0	6	831	43	795	569	598	681	736	498
Thermococcus_sp_23_4	0	10	866	47	829	627	666	734	771	558
Thermococcus_sp_26_2	0	17	839	34	794	532	588	665	726	460
Thermococcus_sp_33_3	0	16	848	40	803	533	581	676	728	468
Thermococcus_sp_9_3	0	21	840	37	795	532	585	673	726	463
Thermococcus_sp_AMTc09	0	17	836	36	791	524	582	663	720	463
Thermococcus_sp_AMTc102	0	16	838	35	795	535	583	666	727	456
Thermococcus_sp_AMTc71	0	17	857	43	819	577	622	703	754	507
Thermococcus_sp_AMTc72	0	17	857	43	821	580	619	704	752	511
Thermococcus_sp_AMTc79	0	14	840	35	795	540	594	674	729	478
Thermococcus_sp_AMTc94	0	16	839	38	799	530	581	671	726	461
Thermococcus_sp_CIR_03a	0	15	884	51	850	622	668	746	792	542
Thermococcus_sp_CIR_10a	0	13	898	74	872	718	752	791	823	629
Thermococcus_sp_DS1	0	16	878	48	847	631	676	743	787	537
Thermococcus_sp_E10P11	0	16	838	38	793	527	587	667	725	470
Thermococcus_sp_E10P8	0	16	838	38	792	529	587	668	726	472
Thermococcus_sp_E15p33	0	18	841	37	798	536	587	671	724	469
