	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	13	828	46	796	599	613	667	723	493
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	34	854	48	805	581	625	687	734	491
GCA_000011105@Pyrococcus_horikoshii_OT3	0	26	815	42	765	553	564	622	686	450
GCA_000018365@Thermococcus_onnurineus_NA1	0	25	836	64	794	609	648	693	734	546
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	33	833	49	789	532	583	653	718	464
GCA_000022545@Thermococcus_sibiricus_MM_739	0	18	827	73	779	631	643	677	723	564
GCA_000151105@Thermococcus_barophilus_MP	1	59	939	419	926	884	889	890	910	881
GCA_000151205@Thermococcus_sp_AM4	0	39	833	55	785	536	577	653	716	459
GCA_000195935@Pyrococcus_abyssi_GE5	0	16	820	49	781	559	593	655	710	462
GCA_000211475@Pyrococcus_sp_NA2	0	15	826	52	785	588	612	655	711	479
GCA_000215995@Pyrococcus_yayanosii_CH1	0	21	820	54	778	558	580	649	698	472
GCA_000221185@Thermococcus_sp_4557	0	34	847	66	808	564	618	666	741	481
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	32	890	93	852	715	730	759	802	657
GCA_000258515@Thermococcus_zilligii_AN1	0	19	807	46	761	512	542	621	684	433
GCA_000263735@Pyrococcus_sp_ST04	0	22	815	43	777	586	611	651	708	473
GCA_000265525@Thermococcus_cleftensis_CL1	0	34	843	62	796	563	600	671	729	468
GCA_000275605@Pyrococcus_furiosus_COM1	0	13	826	45	792	599	610	666	720	489
GCA_000517445@Thermococcus_paralvinellae_ES1	0	50	894	276	863	790	794	806	824	775
GCA_000585495@Thermococcus_nautili_30_1	0	36	837	59	789	532	574	661	717	450
GCA_000725425@Palaeococcus_pacificus_DY20341	0	28	859	91	830	697	707	740	779	627
GCA_000769655@Thermococcus_eurythermalis_A501	0	27	835	60	786	558	574	665	717	446
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	32	820	53	776	544	579	643	701	475
GCA_001433455@Thermococcus_barophilus_CH5	1	88	957	403	940	893	900	905	914	885
GCA_001484685@Thermococcus_sp_2319x1	0	23	851	83	812	666	680	709	758	609
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	21	837	52	793	595	611	664	718	468
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	22	848	48	802	568	611	675	726	474
GCA_001647085@Thermococcus_piezophilus_CDGS	0	27	845	67	775	572	610	670	717	507
GCA_002197185@Thermococcus_sp_5_4	0	30	852	62	819	607	641	712	761	516
GCA_002214365@Thermococcus_celer_Vu_13	0	27	841	58	804	550	585	675	740	450
GCA_002214385@Thermococcus_gorgonarius_W_12	0	26	809	47	750	516	548	615	670	444
GCA_002214465@Thermococcus_barossii_SHCK_94	0	28	864	65	834	602	645	714	775	522
GCA_002214485@Thermococcus_pacificus_P4	0	21	829	53	783	548	591	650	702	474
GCA_002214505@Thermococcus_siculi_RG_20	0	32	843	53	797	553	608	677	738	473
GCA_002214525@Thermococcus_sp_P6	0	17	768	42	723	480	517	593	651	410
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	47	889	72	861	645	674	743	796	550
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	25	854	62	819	602	634	694	760	527
GCA_002214585@Thermococcus_profundus_DT_5432	0	28	834	55	789	529	574	655	712	452
GCA_002214605@Thermococcus_chitonophagus	0	23	838	49	795	581	592	656	717	481
GCA_006274605@Thermococcus_indicus_IOH1	0	31	858	70	813	573	628	691	747	482
GCA_008152015@Thermococcus_aciditolerans_SY113	0	39	870	69	825	594	637	707	758	502
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	13	827	46	795	598	615	670	725	491
GCA_020386975@Thermococcus_bergensis_T7324	0	22	831	79	792	652	665	700	734	589
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	21	866	76	830	695	709	747	778	626
GCA_024022995@Thermococcus_aggregans_TY	0	25	839	79	802	653	671	709	748	595
GCA_024707485@Thermococcus_sp_813A4	0	36	885	76	860	649	682	746	796	555
GCA_028471785@Thermococcus_kodakarensis_TS900	0	34	853	48	805	582	622	689	732	488
GCA_028471865@Thermococcus_kodakarensis_TS901	0	34	853	48	803	581	620	687	733	489
GCA_035621495@Thermococcus_sp_SY098	4	150	1000	514	1000	1000	1000	1000	1000	1000
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	23	838	49	796	582	597	660	717	482
GCA_900198835@Thermococcus_henrietii_EXT12c	0	29	847	55	801	535	584	661	722	451
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	25	857	88	819	671	686	722	768	616
GCA_904067545@Thermococcus_camini_IRI35c	0	32	858	66	818	590	631	693	753	509
Palaeococcus_helgesoni_DSM_15127	0	33	855	70	814	664	675	722	766	598
Pyrococcus_31_3	0	24	843	47	805	603	622	687	732	506
Pyrococcus_32_1	0	24	843	47	805	608	624	689	735	506
Pyrococcus_abyssi_GE2	0	23	827	47	786	560	596	648	715	466
Pyrococcus_endeavori_ES4	0	22	811	44	773	589	610	649	707	465
Pyrococcus_EXT16	0	24	844	50	804	600	616	678	730	497
Pyrococcus_sp_32_3	0	24	843	47	805	606	625	691	733	507
Pyrococcus_sp_32_4	0	24	843	47	804	604	623	688	730	506
Pyrococcus_sp_EXT_15c	0	26	830	51	790	582	612	666	714	480
Pyrococcus_sp_GE_23	0	18	822	47	782	550	590	644	714	459
Pyrococcus_sp_IRI_42C	0	20	818	45	776	579	600	646	717	470
Thermococcus_15_2	0	33	857	51	813	570	609	673	744	487
Thermococcus_23_2	0	30	852	61	818	607	641	715	762	517
Thermococcus_29_3	0	33	839	58	794	528	571	663	719	443
Thermococcus_31_3	0	41	869	66	838	636	667	720	779	528
Thermococcus_aegaeus_DSM_12767	0	23	864	91	835	694	707	739	789	639
Thermococcus_aggregans_DSM_12819	0	25	839	79	802	654	669	710	747	595
Thermococcus_alcaliphilus_DSM_10322	0	21	866	97	831	710	728	743	794	649
Thermococcus_AMTc11	0	35	884	72	850	634	663	743	783	533
Thermococcus_AMTc30	0	30	825	56	782	532	569	664	715	440
Thermococcus_AMTc51	0	26	839	50	798	536	582	662	720	448
Thermococcus_AMTc85	0	35	835	55	793	520	568	657	718	439
Thermococcus_atlanticus_DSM_15226	0	52	917	89	891	736	750	793	842	648
Thermococcus_barophilus_423_3_23	0	68	937	398	919	876	880	884	893	870
Thermococcus_barophilus_CH1	1	75	955	404	946	895	905	913	925	892
Thermococcus_barophilus_DT4	0	74	908	294	880	800	800	818	836	779
Thermococcus_coalescens_TS1	0	36	883	70	860	638	674	744	803	537
Thermococcus_E15P35	0	34	831	57	787	528	571	664	714	446
Thermococcus_EXT11c	0	34	839	55	792	527	571	652	711	436
Thermococcus_fumicolans_ST557	0	30	848	59	798	536	583	664	726	453
Thermococcus_IRI_06c	0	36	862	70	815	581	621	689	746	491
Thermococcus_IRI15c	0	32	870	68	829	600	651	705	762	502
Thermococcus_marinus_DSM_15227	0	28	839	60	794	562	574	664	719	449
Thermococcus_prieuri_Col3	0	35	859	55	817	577	614	681	750	490
Thermococcus_profundus_DSM_9503	0	29	833	55	789	532	573	654	711	449
Thermococcus_sp_23_4	0	30	852	62	817	610	641	711	763	520
Thermococcus_sp_26_2	0	28	824	53	769	505	548	638	693	438
Thermococcus_sp_33_3	0	37	841	57	798	529	582	673	718	450
Thermococcus_sp_9_3	0	40	846	60	801	523	577	668	718	455
Thermococcus_sp_AMTc09	0	34	815	55	761	509	552	634	694	439
Thermococcus_sp_AMTc102	0	27	819	55	764	503	552	637	691	432
Thermococcus_sp_AMTc71	0	25	842	62	797	560	603	662	725	466
Thermococcus_sp_AMTc72	0	25	842	62	796	561	604	663	722	466
Thermococcus_sp_AMTc79	0	32	828	57	784	529	575	663	713	457
Thermococcus_sp_AMTc94	0	33	839	59	795	530	572	661	708	451
Thermococcus_sp_CIR_03a	0	30	887	64	852	644	680	733	785	549
Thermococcus_sp_CIR_10a	0	67	932	382	911	852	862	868	883	844
Thermococcus_sp_DS1	0	44	890	64	857	648	697	741	808	555
Thermococcus_sp_E10P11	0	31	833	59	788	531	566	654	713	443
Thermococcus_sp_E10P8	0	31	833	59	789	530	566	653	713	441
Thermococcus_sp_E15p33	0	34	831	58	786	528	568	664	714	439
Thermococcus_sp_EXT09c	0	31	844	56	805	545	587	669	729	456
Thermococcus_sp_IRI_05c	0	40	885	70	859	653	678	743	796	563
Thermococcus_sp_IRI10c	0	32	868	70	827	600	654	705	763	502
Thermococcus_sp_IRI14c	0	32	870	68	830	597	651	704	764	500
Thermococcus_sp_IRI24c	0	32	863	67	824	600	639	699	759	509
Thermococcus_sp_IRI25c	0	32	875	68	835	603	653	708	768	501
Thermococcus_sp_IRI27c2	0	31	863	66	821	596	640	703	758	503
Thermococcus_sp_IRI29c	0	31	863	67	820	595	639	703	756	509
Thermococcus_sp_IRI_33c	0	45	893	65	859	649	703	743	807	552
Thermococcus_sp_TPV	0	29	861	54	809	539	588	672	726	444
Thermococcus_sp_unknown	0	31	847	56	802	538	574	670	730	454
Thermococcus_stetteri_DSM_5262	0	26	851	55	800	551	605	676	738	477
Thermococcus_waiotapuensis_WT1	0	17	814	46	753	518	544	614	683	437
