	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	23	745	14	729	459	493	597	665	351
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	68	827	32	813	657	686	733	783	629
GCA_000011105@Pyrococcus_horikoshii_OT3	0	19	746	11	725	459	506	587	661	341
GCA_000018365@Thermococcus_onnurineus_NA1	0	39	771	28	751	644	671	696	713	635
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	64	777	19	759	582	611	665	708	568
GCA_000022545@Thermococcus_sibiricus_MM_739	0	12	748	24	726	479	530	617	680	366
GCA_000151105@Thermococcus_barophilus_MP	0	27	794	28	776	543	587	671	736	460
GCA_000151205@Thermococcus_sp_AM4	0	68	817	26	793	631	662	704	740	615
GCA_000195935@Pyrococcus_abyssi_GE5	0	26	747	16	733	473	526	598	660	398
GCA_000211475@Pyrococcus_sp_NA2	0	25	767	15	743	491	552	616	674	394
GCA_000215995@Pyrococcus_yayanosii_CH1	0	23	759	24	739	547	583	638	686	500
GCA_000221185@Thermococcus_sp_4557	0	89	837	20	814	744	746	766	778	735
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	22	815	27	787	580	623	687	746	481
GCA_000258515@Thermococcus_zilligii_AN1	0	36	773	21	756	593	612	664	705	556
GCA_000263735@Pyrococcus_sp_ST04	0	20	742	19	726	472	509	586	655	369
GCA_000265525@Thermococcus_cleftensis_CL1	0	84	817	33	802	705	715	730	762	694
GCA_000275605@Pyrococcus_furiosus_COM1	0	25	742	14	724	460	496	596	665	351
GCA_000517445@Thermococcus_paralvinellae_ES1	0	24	759	18	738	516	565	622	689	426
GCA_000585495@Thermococcus_nautili_30_1	0	64	829	42	816	658	687	728	763	642
GCA_000725425@Palaeococcus_pacificus_DY20341	0	19	758	15	740	540	567	648	693	424
GCA_000769655@Thermococcus_eurythermalis_A501	0	64	847	40	837	686	720	759	795	659
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	46	772	26	751	594	618	661	698	583
GCA_001433455@Thermococcus_barophilus_CH5	0	37	826	22	808	566	611	698	754	474
GCA_001484685@Thermococcus_sp_2319x1	0	20	765	16	737	537	564	639	681	463
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	30	779	15	757	505	548	618	676	413
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	45	805	27	785	616	652	696	736	589
GCA_001647085@Thermococcus_piezophilus_CDGS	0	47	784	28	755	623	648	683	705	600
GCA_002197185@Thermococcus_sp_5_4	0	58	788	24	773	683	693	719	738	675
GCA_002214365@Thermococcus_celer_Vu_13	0	41	781	23	760	640	656	688	719	624
GCA_002214385@Thermococcus_gorgonarius_W_12	0	33	737	21	715	576	586	635	671	539
GCA_002214465@Thermococcus_barossii_SHCK_94	0	63	804	30	791	685	697	724	749	667
GCA_002214485@Thermococcus_pacificus_P4	0	50	755	35	739	656	670	692	710	640
GCA_002214505@Thermococcus_siculi_RG_20	0	66	824	29	805	717	731	749	773	687
GCA_002214525@Thermococcus_sp_P6	0	25	698	22	676	560	587	609	640	543
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	86	844	34	826	723	735	759	784	709
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	58	791	21	775	667	677	710	735	655
GCA_002214585@Thermococcus_profundus_DT_5432	0	42	796	23	780	615	642	711	740	585
GCA_002214605@Thermococcus_chitonophagus	0	23	756	11	741	483	536	601	665	403
GCA_006274605@Thermococcus_indicus_IOH1	3	198	1000	584	1000	1000	1000	1000	1000	1000
GCA_008152015@Thermococcus_aciditolerans_SY113	0	105	869	34	858	800	807	820	842	795
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	25	745	14	729	461	497	599	669	354
GCA_020386975@Thermococcus_bergensis_T7324	0	12	754	18	730	537	581	641	683	468
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	12	766	21	745	493	545	639	703	362
GCA_024022995@Thermococcus_aggregans_TY	0	21	764	19	742	540	574	644	689	445
GCA_024707485@Thermococcus_sp_813A4	0	81	849	38	832	724	745	769	790	711
GCA_028471785@Thermococcus_kodakarensis_TS900	0	68	826	32	812	656	684	733	780	629
GCA_028471865@Thermococcus_kodakarensis_TS901	0	68	826	32	812	655	684	734	781	628
GCA_035621495@Thermococcus_sp_SY098	0	27	800	19	780	535	582	664	736	449
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	23	758	11	743	481	539	606	669	403
GCA_900198835@Thermococcus_henrietii_EXT12c	0	74	835	36	825	656	686	728	767	634
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	23	769	22	736	534	567	632	684	461
GCA_904067545@Thermococcus_camini_IRI35c	0	97	843	24	827	752	764	776	800	744
Palaeococcus_helgesoni_DSM_15127	0	20	762	13	734	510	557	632	682	446
Pyrococcus_31_3	0	25	776	16	755	493	553	614	677	423
Pyrococcus_32_1	0	25	776	16	756	493	551	613	679	423
Pyrococcus_abyssi_GE2	0	33	754	18	734	476	527	595	660	395
Pyrococcus_endeavori_ES4	0	19	737	19	722	472	512	587	656	368
Pyrococcus_EXT16	0	24	779	15	765	501	555	623	683	428
Pyrococcus_sp_32_3	0	25	776	15	756	495	552	613	677	418
Pyrococcus_sp_32_4	0	25	776	15	755	490	552	611	678	417
Pyrococcus_sp_EXT_15c	0	32	764	13	748	493	544	615	673	405
Pyrococcus_sp_GE_23	0	26	754	18	732	478	527	594	659	401
Pyrococcus_sp_IRI_42C	0	17	769	14	740	466	526	602	674	373
Thermococcus_15_2	0	51	770	22	753	627	651	681	715	606
Thermococcus_23_2	0	58	787	26	772	680	692	718	735	672
Thermococcus_29_3	0	63	819	38	809	654	681	727	758	629
Thermococcus_31_3	0	67	787	31	777	681	696	718	738	664
Thermococcus_aegaeus_DSM_12767	0	17	769	24	743	538	590	643	697	450
Thermococcus_aggregans_DSM_12819	0	21	763	19	742	541	577	647	689	454
Thermococcus_alcaliphilus_DSM_10322	0	13	770	25	747	554	594	654	704	467
Thermococcus_AMTc11	0	96	880	36	870	798	808	830	841	780
Thermococcus_AMTc30	0	61	804	32	784	627	659	698	737	602
Thermococcus_AMTc51	0	53	822	23	804	660	687	734	756	625
Thermococcus_AMTc85	0	62	803	33	786	623	658	703	739	606
Thermococcus_atlanticus_DSM_15226	0	43	812	29	793	633	661	705	748	593
Thermococcus_barophilus_423_3_23	0	27	788	23	759	525	567	648	704	439
