	n_denovo	n_trg	n_cds	n_intergenic	ssearch_f0	ssearch_f1	ssearch_f2	ssearch_f0_comp	ssearch_f1_comp	ssearch_f2_comp
GCA_000007305@Pyrococcus_furiosus_DSM_3638	0	31	880	92	855	721	740	755	808	628
GCA_000009965@Thermococcus_kodakarensis_KOD1	0	34	878	44	846	582	628	705	769	501
GCA_000011105@Pyrococcus_horikoshii_OT3	0	23	864	87	832	685	700	730	783	610
GCA_000018365@Thermococcus_onnurineus_NA1	0	17	812	47	766	540	585	647	697	450
GCA_000022365@Thermococcus_gammatolerans_EJ3	0	28	834	44	800	527	569	649	723	458
GCA_000022545@Thermococcus_sibiricus_MM_739	0	13	808	45	766	547	564	628	693	417
GCA_000151105@Thermococcus_barophilus_MP	0	13	834	51	803	612	628	673	742	496
GCA_000151205@Thermococcus_sp_AM4	0	30	842	43	805	542	591	668	731	488
GCA_000195935@Pyrococcus_abyssi_GE5	0	35	889	100	862	728	733	773	816	652
GCA_000211475@Pyrococcus_sp_NA2	0	35	892	93	874	737	754	788	835	656
GCA_000215995@Pyrococcus_yayanosii_CH1	0	27	847	71	803	615	651	704	754	534
GCA_000221185@Thermococcus_sp_4557	0	21	823	44	780	520	558	643	708	444
GCA_000246985@Thermococcus_litoralis_DSM_5473	0	13	861	45	825	615	643	699	762	494
GCA_000258515@Thermococcus_zilligii_AN1	0	13	803	42	756	500	548	616	684	432
GCA_000263735@Pyrococcus_sp_ST04	0	30	879	156	854	757	768	786	816	698
GCA_000265525@Thermococcus_cleftensis_CL1	0	19	820	42	783	527	572	635	708	440
GCA_000275605@Pyrococcus_furiosus_COM1	0	31	878	94	853	716	741	753	807	625
GCA_000517445@Thermococcus_paralvinellae_ES1	0	14	831	48	803	599	625	672	733	487
GCA_000585495@Thermococcus_nautili_30_1	0	33	852	51	813	563	605	684	749	485
GCA_000725425@Palaeococcus_pacificus_DY20341	0	8	803	41	767	544	554	623	706	410
GCA_000769655@Thermococcus_eurythermalis_A501	0	30	870	51	830	555	598	680	762	474
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	0	22	833	49	791	537	571	645	713	452
GCA_001433455@Thermococcus_barophilus_CH5	0	24	881	55	855	653	676	730	801	531
GCA_001484685@Thermococcus_sp_2319x1	0	13	822	37	788	594	609	666	741	470
GCA_001577775@Pyrococcus_kukulkanii_NCB100	0	50	900	245	872	808	812	823	841	784
GCA_001592435@Thermococcus_peptonophilus_OG_1	0	19	841	44	808	546	583	663	737	454
GCA_001647085@Thermococcus_piezophilus_CDGS	0	18	814	43	759	532	570	630	688	447
GCA_002197185@Thermococcus_sp_5_4	0	13	818	44	771	546	583	653	712	456
GCA_002214365@Thermococcus_celer_Vu_13	0	14	817	42	788	505	569	636	712	452
GCA_002214385@Thermococcus_gorgonarius_W_12	0	25	804	42	759	513	557	627	687	450
GCA_002214465@Thermococcus_barossii_SHCK_94	0	18	822	44	784	534	570	654	715	460
GCA_002214485@Thermococcus_pacificus_P4	0	18	796	42	754	514	558	633	689	442
GCA_002214505@Thermococcus_siculi_RG_20	0	24	832	41	788	536	575	648	715	456
GCA_002214525@Thermococcus_sp_P6	0	8	741	41	704	464	513	575	640	397
GCA_002214545@Thermococcus_thioreducens_OGL_20P	0	22	832	49	794	525	580	644	723	447
GCA_002214565@Thermococcus_radiotolerans_EJ2	0	15	831	44	788	533	578	646	716	464
GCA_002214585@Thermococcus_profundus_DT_5432	0	20	817	43	786	533	560	645	710	454
GCA_002214605@Thermococcus_chitonophagus	0	80	960	345	947	915	914	924	931	908
GCA_006274605@Thermococcus_indicus_IOH1	0	28	859	50	825	552	612	686	769	487
GCA_008152015@Thermococcus_aciditolerans_SY113	0	27	854	50	814	548	606	686	753	477
GCA_008245085@Pyrococcus_furiosus_DSM_3638_Reg	0	31	879	94	854	719	739	755	807	629
GCA_020386975@Thermococcus_bergensis_T7324	0	13	802	45	763	552	562	618	699	447
GCA_023746595@Thermococcus_argininiproducens_IOH2	0	16	831	47	802	557	587	652	730	418
GCA_024022995@Thermococcus_aggregans_TY	0	17	823	37	778	561	585	653	714	458
GCA_024707485@Thermococcus_sp_813A4	0	26	835	50	803	544	583	661	730	469
GCA_028471785@Thermococcus_kodakarensis_TS900	0	34	876	44	844	577	625	703	767	502
GCA_028471865@Thermococcus_kodakarensis_TS901	0	34	876	44	844	578	626	703	766	502
GCA_035621495@Thermococcus_sp_SY098	0	19	847	50	821	617	641	692	761	511
GCA_900012635@Thermococcus_chitonophagus_isolate_1	0	80	960	343	947	915	916	925	931	910
GCA_900198835@Thermococcus_henrietii_EXT12c	0	34	875	47	842	573	627	711	789	504
GCA_902813195@Thermococcus_sp_2319x1_Essen	0	11	816	40	777	574	589	655	721	451
GCA_904067545@Thermococcus_camini_IRI35c	0	31	829	45	797	531	576	662	719	461
Palaeococcus_helgesoni_DSM_15127	0	19	823	39	792	542	567	641	721	416
Pyrococcus_31_3	1	87	980	383	970	953	953	959	963	948
Pyrococcus_32_1	1	87	980	383	970	953	952	958	963	948
Pyrococcus_abyssi_GE2	0	40	892	102	866	722	733	772	817	645
Pyrococcus_endeavori_ES4	0	27	877	158	855	753	758	787	815	696
Pyrococcus_EXT16	4	114	1000	450	1000	1000	1000	1000	1000	1000
Pyrococcus_sp_32_3	1	87	980	383	970	952	952	958	963	947
Pyrococcus_sp_32_4	1	87	980	383	970	953	952	959	962	948
